"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Employment.Private Non-farm Employment","Employment.Private Non-farm Employment Percent Change","Employment.Private Non-farm Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Housing.Units in Multi-Unit Structures","Income.Median Houseold Income","Income.Per Capita Income","Income.Persons Below Poverty Level","Miscellaneous.Building Permits","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2010 Population","Population.2014 Population","Population.Population Percent Change","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Merchant Wholesaler Sales","Sales.Retail Sales","Sales.Retail Sales per Capita","Employment.Firms.American Indian-Owned","Employment.Firms.Asian-Owned","Employment.Firms.Black-Owned","Employment.Firms.Hispanic-Owned","Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned","Employment.Firms.Total","Employment.Firms.Women-Owned"
"Conway County","AR","18.3","23.1","5.9","14.7","84.5","1337","4894","-2.5","409","0.8","0.6","11.4","4.0","0.0","2.1","85.0","81.5","74.0","8154","9720","86100","2.57","8.4","35225","20040","24.0","10","1.9","552.25","4.5","87.1","4325","22.2","50.9","1534","21273","21083","-0.9","38.5","162","1249","2703","13074","0.0","0.0","0.0","0.0","0.0","1876","16.9"
"Craighead County","AR","13.0","24.9","6.9","24.4","84.9","7113","38113","0.6","2476","0.6","1.1","14.5","4.7","0.1","1.6","82.2","78.0","58.3","37834","43311","120700","2.51","21.1","41393","23138","20.6","671","3.7","707.21","5.2","76.9","18303","17.5","51.3","6727","96443","102518","6.3","136.4","1466","6059","14409","15768","0.0","1.2","0.0","1.3","0.0","8387","0.0"
"Crawford County","AR","15.3","25.1","6.0","14.3","82.2","3573","20016","-0.8","1061","2.5","1.6","1.6","6.7","0.1","2.8","91.5","85.6","74.3","23368","26458","102800","2.62","10.4","39479","19477","20.2","43","4.1","593.09","6.6","85.1","8479","22.0","50.7","5321","61948","61697","-0.4","104.4","532","0","4525","7666","1.7","1.1","0.0","1.8","0.0","4489","21.5"
"Crittenden County","AR","12.1","27.9","7.7","13.9","79.1","3542","13445","1.2","824","0.4","0.7","51.8","2.3","0.0","1.2","45.9","44.1","56.3","18309","21624","99500","2.72","21.5","37751","19665","26.3","95","1.7","609.76","2.9","82.3","7012","20.2","52.6","3541","50902","49548","-2.7","83.5","651","7958","7505","14399","0.9","3.4","22.6","0.0","0.0","3399","25.2"
"Cross County","AR","17.6","24.0","6.9","11.4","79.0","1381","4100","1.8","359","0.3","0.5","22.9","1.9","0.0","1.3","74.9","73.3","65.4","6818","7888","78400","2.57","10.4","38085","18701","17.4","18","0.7","616.38","1.2","88.6","0","23.8","51.4","1189","17870","17227","-3.6","29.0","125","1747","1857","9970","0.0","0.0","0.0","0.0","0.0","1589","26.3"
"Dallas County","AR","20.5","22.3","5.5","10.2","82.1","364","2305","-7.1","195","0.5","0.2","41.3","2.7","0.0","1.5","56.4","54.1","66.4","3269","4289","59200","2.32","8.9","28931","16838","19.7","1","2.5","667.39","3.4","88.1","1845","20.2","51.7","444","8116","7755","-4.4","12.2","46","108","796","9727","0.0","0.0","9.6","0.0","0.0","459","12.9"
"Desha County","AR","17.1","25.6","6.8","12.7","76.9","732","3412","1.0","312","0.4","0.4","47.9","4.8","0.1","1.0","50.1","46.6","55.9","5305","6306","55100","2.39","17.3","28680","19822","30.1","7","1.8","768.15","4.1","89.1","4008","21.5","53.2","754","13008","12264","-5.7","16.9","97","2309","1192","8691","0.0","0.0","0.0","0.0","0.0","840","27.4"
"Drew County","AR","16.1","22.4","6.3","19.1","81.3","1006","4478","-0.9","405","0.4","0.9","28.0","2.9","0.0","1.1","69.6","67.0","61.2","7496","8481","83300","2.37","13.4","31171","17057","28.5","4","1.9","828.36","3.4","85.9","1561","20.8","51.2","983","18509","18622","0.6","22.3","196","875","1989","10645","0.0","0.0","6.4","0.0","0.0","1460","0.0"
"Faulkner County","AR","11.2","23.9","6.6","27.2","89.4","7738","35228","-1.6","2439","0.7","1.2","11.3","4.1","0.1","2.0","84.6","81.1","65.2","42413","48849","137800","2.62","19.6","50314","24401","14.6","341","2.9","647.88","4.8","81.8","15876","24.2","51.1","8027","113237","120768","6.7","174.8","1378","2660","12276","11730","0.0","0.7","4.5","3.6","0.0","9464","24.4"
"Franklin County","AR","18.0","23.6","5.9","12.4","82.1","1025","3424","1.1","278","1.3","0.9","0.9","3.0","0.1","1.6","95.2","92.5","74.0","6769","8024","93000","2.61","3.4","36766","19135","20.5","0","0.8","608.86","1.8","85.0","3276","25.0","50.5","1643","18125","17805","-1.8","29.8","104","31","1402","7748","0.0","0.0","0.0","0.0","0.0","1139","19.6"
"Fulton County","AR","25.4","20.4","4.8","10.0","83.7","790","1460","-4.5","162","0.7","0.3","0.6","1.2","0.0","1.6","96.8","95.8","78.1","5140","6762","88200","2.35","4.3","35522","19326","18.7","1","1.1","618.19","1.5","83.2","0","25.5","50.5","1358","12245","12125","-1.0","19.8","52","81","424","3598","0.0","0.0","0.0","0.0","0.0","1047","21.9"
"Garland County","AR","21.7","20.9","5.7","20.9","86.8","7724","32235","-0.3","2696","0.7","0.8","8.5","5.3","0.1","2.3","87.7","82.9","68.6","39881","50542","130500","2.37","17.2","39162","23170","20.7","43","3.6","677.78","5.6","83.5","6616","21.7","51.7","10575","96024","97322","1.4","141.7","2032","0","14434","14958","0.9","0.0","2.0","2.3","0.0","10369","22.8"
"Grant County","AR","16.1","23.5","5.7","17.6","84.9","1155","2876","2.8","274","0.5","0.4","2.8","2.6","0.0","1.4","94.8","92.7","77.8","6855","7837","100800","2.59","4.7","49004","23239","9.9","9","1.9","631.81","3.1","90.3","4898","29.9","50.3","1594","17853","18144","1.6","28.3","101","485","1076","6148","0.0","0.0","0.0","0.0","0.0","1696","25.4"
"Greene County","AR","15.0","24.6","6.6","14.7","82.8","2718","15717","6.3","767","0.5","0.3","0.9","2.7","0.0","1.4","96.9","94.5","63.3","16603","18439","99100","2.53","15.1","38413","19652","17.1","193","1.1","577.7","2.5","81.6","14340","20.4","50.8","3801","42090","43694","3.8","72.9","376","0","3730","9257","0.0","0.0","0.0","0.0","0.0","3205","25.4"
"Hempstead County","AR","16.3","26.4","7.3","14.1","81.7","1060","6036","-9.3","386","0.7","0.5","29.9","12.6","0.1","1.9","66.8","55.3","68.0","8296","10423","73100","2.67","9.5","32056","17376","27.4","3","5.7","727.52","10.3","87.6","0","19.7","51.6","1556","22609","22327","-1.2","31.1","212","327","2044","8807","0.0","0.0","0.0","0.0","0.0","1578","25.9"
"Hot Spring County","AR","17.2","21.6","5.3","12.3","83.4","1793","5876","-3.7","472","0.6","0.4","11.6","3.3","0.1","1.8","85.6","82.7","72.5","12231","14283","81300","2.58","4.8","41193","19286","14.2","0","0.9","615.2","1.7","87.8","8584","27.7","48.1","3202","32923","33368","1.4","53.5","168","770","2074","6511","0.0","0.0","0.0","0.0","0.0","2636","23.8"
"Howard County","AR","16.9","26.1","6.9","12.0","76.0","740","5881","-1.0","300","1.0","0.7","20.9","11.0","0.1","1.4","75.8","65.7","63.3","5208","6236","74500","2.6","7.9","35879","18707","23.2","3","6.2","588.55","12.4","88.8","10810","18.7","51.3","875","13789","13500","-2.1","23.4","91","451","1608","11402","0.0","0.0","0.0","0.0","0.0","955","0.0"
"Independence County","AR","17.0","24.0","6.4","14.4","82.5","2431","13970","-8.9","779","0.7","0.8","2.3","5.9","0.2","1.5","94.5","89.3","70.6","14544","16260","88900","2.46","6.8","35026","20289","23.7","48","3.6","763.95","4.3","83.4","9200","19.7","51.3","2826","36647","36959","0.9","48.0","346","1749","3842","11132","0.0","0.0","0.0","0.8","0.0","3110","26.3"
"Izard County","AR","25.0","18.2","4.5","11.7","79.8","847","1988","3.2","206","1.1","0.3","1.8","1.9","0.0","1.4","95.4","93.8","78.0","5682","7214","73900","2.26","4.5","30661","18040","18.7","3","2.3","580.58","2.5","86.6","0","23.4","47.6","1605","13696","13486","-1.5","23.6","32","0","1046","8035","0.0","0.0","0.0","0.0","0.0","0","0.0"
"Jackson County","AR","16.7","20.4","5.6","8.8","75.6","842","3890","1.9","327","0.7","0.4","17.6","2.9","0.1","1.6","79.6","77.1","67.2","6541","7589","56500","2.28","11.4","30284","15609","28.4","5","0.8","633.94","1.7","79.1","0","19.1","50.3","1352","17997","17534","-2.6","28.4","96","954","1908","11203","0.0","0.0","0.0","0.0","0.0","1110","17.0"
"Jefferson County","AR","15.1","23.3","6.2","17.5","83.0","3802","21243","-3.4","1371","0.4","0.9","55.5","1.9","0.1","1.3","41.7","40.3","64.5","28367","33242","81100","2.47","14.8","37140","19353","23.9","55","1.4","870.75","3.1","85.1","0","21.3","50.8","5858","77435","72297","-6.6","88.9","870","0","8673","10922","0.0","2.9","28.1","0.0","0.0","4083","25.6"
"Johnson County","AR","15.8","24.8","7.1","14.7","79.7","1376","7204","-4.5","394","1.2","1.2","2.1","13.5","0.1","1.9","93.4","81.1","66.2","10046","11351","88700","2.49","11.9","31003","19366","20.1","3","6.3","659.8","12.1","86.2","5467","20.5","50.3","1887","25540","26005","1.8","38.7","205","442","1967","7942","0.0","0.0","0.0","0.0","0.0","2100","28.6"
"Lafayette County","AR","21.5","20.2","4.7","10.7","77.5","321","780","0.8","111","0.4","0.5","37.1","2.0","0.0","1.0","61.1","59.7","72.7","2722","4342","52200","2.7","6.5","29732","17212","24.1","0","0.7","528.27","1.2","89.7","0","24.9","51.7","534","7645","7111","-7.0","14.5","15","0","328","4257","0.0","0.0","0.0","0.0","0.0","0","0.0"
"Lawrence County","AR","19.3","22.6","5.6","10.4","77.4","1154","2790","-1.0","274","0.5","0.2","1.0","1.3","0.0","1.2","97.1","96.0","70.7","6580","7979","59800","2.52","8.7","32239","15971","25.4","3","0.6","587.61","1.4","88.8","0","25.1","50.5","1443","17415","16931","-2.8","29.6","92","579","1636","9703","0.0","0.0","0.0","0.0","0.0","1434","24.1"
"Lee County","AR","16.7","19.6","5.4","7.1","70.1","643","907","-5.1","127","0.6","0.5","54.2","2.7","0.0","1.6","43.1","41.0","57.0","3491","4364","54700","2.54","14.8","25034","12529","31.5","0","0.8","602.62","1.0","87.7","0","20.4","44.0","485","10424","9860","-5.4","17.3","27","846","357","3345","0.0","0.0","0.0","0.0","0.0","532","23.7"
"Lincoln County","AR","13.5","17.8","4.4","7.9","73.5","575","1636","6.9","155","0.4","0.3","30.3","3.6","0.0","1.2","67.7","64.8","69.7","4188","4858","59300","2.53","7.1","32697","15023","27.0","0","1.5","561.52","3.3","88.2","0","26.2","38.9","901","14134","13970","-1.2","25.2","0","0","575","4202","0.0","0.0","0.0","0.0","0.0","586","32.8"
"Little River County","AR","19.5","22.2","5.3","10.6","83.4","598","2713","0.0","162","1.9","0.4","19.7","3.1","0.0","2.2","75.7","73.3","78.0","5315","6446","80900","2.41","8.0","39673","19880","14.0","1","1.4","532.25","3.0","84.9","0","23.4","50.9","1218","13171","12532","-4.8","24.7","61","135","882","6846","0.0","0.0","0.0","0.0","0.0","863","21.4"
"Logan County","AR","19.2","22.4","5.6","11.7","81.3","1218","4054","3.7","377","1.2","1.9","1.5","2.7","0.0","1.7","93.7","91.4","75.4","8233","10125","81100","2.63","6.0","34996","19046","17.6","8","1.2","708.13","2.6","84.9","6920","26.0","50.2","2058","22353","21958","-1.8","31.6","100","0","1780","7855","0.0","0.0","0.0","0.0","0.0","1924","0.0"
"Lonoke County","AR","12.6","26.4","6.7","18.2","86.7","4220","10181","2.7","1002","0.7","0.9","6.2","4.0","0.1","1.8","90.4","86.8","73.2","25052","28618","120600","2.74","9.3","52582","23218","13.2","263","2.1","770.73","2.5","85.3","0","25.6","50.5","7426","68356","71557","4.7","88.7","463","1615","4972","7821","0.0","0.7","4.1","2.2","0.0","5253","21.5"
"Madison County","AR","17.5","23.5","6.2","10.3","76.6","1237","2422","1.7","189","1.7","0.8","0.4","5.4","0.4","1.6","95.2","90.4","76.5","6048","7485","92800","2.58","3.1","35771","18754","22.6","0","2.3","834.26","4.7","88.3","0","29.6","49.9","1279","15717","15740","0.1","18.8","32","0","1146","7381","0.0","0.0","0.0","0.0","0.0","1202","0.0"
"Marion County","AR","26.8","17.3","4.4","12.9","83.6","1165","3002","2.6","213","0.9","0.3","0.4","2.3","0.1","1.8","96.5","94.6","79.5","7036","9333","92700","2.34","5.1","34494","18188","18.9","2","2.4","597.01","1.9","88.5","3501","24.1","50.3","2267","16653","16367","-1.7","27.9","86","0","878","5291","0.0","0.0","0.0","0.0","0.0","2094","0.0"
"Miller County","AR","15.2","24.1","7.0","13.9","85.1","2423","10926","-3.1","704","0.8","0.6","25.1","3.1","0.1","1.8","71.7","69.3","67.2","16950","19415","92900","2.49","19.2","41319","20636","19.5","37","0.9","625.58","3.2","80.8","7128","20.2","50.8","3406","43462","43428","-0.1","69.5","436","0","4076","9503","0.0","1.1","11.3","0.0","0.0","3160","18.9"
"Mississippi County","AR","13.4","26.7","7.0","13.0","77.8","2083","17787","17.0","836","0.5","0.5","34.9","4.0","0.0","1.3","62.8","59.4","58.8","17058","20506","75300","2.64","17.3","36428","18905","24.9","30","1.8","900.57","4.2","82.1","50102","18.2","51.3","3002","46480","44235","-4.8","51.6","458","0","4218","9051","0.0","0.0","13.4","0.0","0.0","2231","28.9"
"Monroe County","AR","20.3","21.2","5.8","11.3","75.3","534","1723","1.4","197","0.7","0.6","40.3","2.2","0.0","1.7","56.7","55.1","63.5","3393","4432","52200","2.33","14.6","27263","16939","28.8","1","0.8","607.12","1.5","87.6","0","19.5","52.5","629","8149","7582","-7.0","13.4","81","646","822","9599","0.0","0.0","0.0","0.0","0.0","832","0.0"
"Montgomery County","AR","25.4","19.2","4.3","12.9","82.3","740","920","2.6","141","1.3","0.7","0.6","3.6","0.0","2.3","95.1","92.3","79.8","3873","5747","76400","2.39","3.2","31345","19021","22.0","0","1.7","779.88","3.8","86.1","0","25.9","50.1","1139","9487","9082","-4.3","12.2","181","0","323","3570","0.0","0.0","0.0","0.0","0.0","922","0.0"
"Nevada County","AR","19.4","22.7","6.4","12.8","82.1","471","1948","3.1","123","0.5","0.4","30.5","3.3","0.1","1.6","67.1","64.1","73.1","3622","4542","64600","2.41","5.9","33694","18695","26.5","0","1.0","617.84","2.7","87.0","0","25.1","50.6","762","8997","8723","-3.0","14.6","32","0","1367","14660","0.0","0.0","0.0","0.0","0.0","622","0.0"
"Newton County","AR","24.3","19.5","4.8","12.7","79.8","697","759","15.3","83","1.5","0.3","0.3","1.8","0.0","2.4","95.5","94.0","82.5","3507","4667","74600","2.32","3.3","30038","17884","23.5","1","0.8","820.9","0.9","94.2","0","37.7","49.5","838","8330","7904","-5.1","10.1","32","0","132","1596","0.0","0.0","0.0","0.0","0.0","1027","0.0"
"Ouachita County","AR","18.3","23.0","6.2","15.5","84.7","1292","7423","-2.4","530","0.4","0.5","40.3","2.2","0.1","1.8","57.0","55.4","66.3","10733","13067","70000","2.36","8.9","32015","18975","23.1","3","1.0","732.78","1.6","89.4","0","22.7","52.6","2039","26120","24828","-5.0","35.6","146","0","1856","7135","0.0","0.0","13.6","0.0","0.0","2153","0.0"
"Perry County","AR","17.9","22.1","5.2","11.9","84.6","700","816","0.5","107","0.8","0.2","2.2","2.8","0.0","2.0","94.8","92.4","79.5","3903","4900","77700","2.61","2.5","42455","22047","15.6","1","0.8","551.4","0.8","87.6","0","34.8","50.3","1002","10445","10245","-1.9","18.9","17","15","327","3162","0.0","0.0","0.0","0.0","0.0","636","0.0"
"Phillips County","AR","16.3","27.2","8.0","12.0","72.8","1419","4195","1.2","414","0.4","0.4","61.6","1.7","0.0","1.2","36.5","35.6","54.5","8339","10163","59500","2.52","17.2","26737","16830","33.5","34","0.6","695.66","1.9","82.1","0","18.3","53.0","1271","21757","19930","-8.4","31.3","134","0","2294","10468","0.0","0.0","26.7","0.0","0.0","1791","33.4"
"Pike County","AR","18.6","22.8","5.8","13.8","80.1","866","1792","5.0","201","1.1","0.7","3.5","6.6","0.0","1.5","93.3","87.6","73.1","4325","5569","75200","2.55","6.1","32206","18377","24.8","0","3.7","600.62","5.5","84.3","0","24.1","50.2","862","11291","11024","-2.4","18.8","68","921","527","4876","0.0","0.0","0.0","0.0","0.0","964","15.1"
"Poinsett County","AR","17.1","23.7","6.4","8.6","73.3","1424","3546","-1.9","365","0.3","0.3","8.0","2.7","0.0","1.6","89.8","87.5","62.5","9369","10937","71300","2.56","12.7","32089","16919","28.1","9","1.3","758.39","2.3","81.7","1720","23.5","51.4","1835","24583","24246","-1.4","32.4","116","0","1931","7762","0.0","0.0","0.0","0.0","0.0","1682","20.3"
"Polk County","AR","21.7","23.4","5.9","12.3","85.1","1461","5036","-2.0","453","2.0","0.6","0.5","6.4","0.0","2.4","94.5","88.6","77.0","8069","10034","82700","2.53","5.3","32835","19116","23.1","2","2.8","857.68","4.7","88.1","3034","20.3","50.8","2163","20662","20225","-2.1","24.1","144","478","1768","8785","0.0","0.0","0.0","0.0","0.0","1931","22.6"
"Pope County","AR","14.4","22.8","6.2","20.7","81.9","3684","23438","0.5","1536","1.0","1.2","3.2","8.4","0.1","2.1","92.4","84.8","69.8","22603","25915","110200","2.63","14.2","40453","19918","19.3","53","3.5","812.55","6.9","83.4","14366","19.5","50.1","4459","61754","63201","2.3","76.0","794","2344","9192","15530","0.0","0.0","0.0","1.8","0.0","5192","21.3"
"Prairie County","AR","22.0","20.2","5.0","9.3","78.6","496","905","0.3","157","0.4","0.1","11.7","1.2","0.0","1.0","86.7","85.7","72.9","3737","4493","72400","2.26","7.6","34855","18137","21.2","11","0.3","647.96","0.8","90.2","0","24.4","50.6","824","8715","8304","-4.7","13.4","42","283","394","4481","0.0","0.0","0.0","0.0","0.0","572","9.3"
"Pulaski County","AR","13.5","23.7","7.0","31.2","89.2","26975","204171","0.7","12010","0.5","2.2","36.0","6.0","0.1","2.0","59.2","54.0","60.4","153720","181406","140500","2.47","26.3","46013","27414","17.2","1142","5.2","759.76","7.9","83.3","59695","19.8","52.0","31984","382748","392702","2.6","503.8","8099","134189","61630","16435","1.2","2.0","14.1","2.1","0.0","35392","26.7"
"Randolph County","AR","19.9","22.5","5.7","12.3","80.4","1252","3500","5.4","325","0.5","0.4","0.9","1.9","0.0","1.3","96.8","95.2","75.3","7244","8522","74100","2.42","7.7","34418","18871","21.8","11","0.6","652.19","1.6","85.4","1480","29.2","50.9","1405","17969","17571","-2.2","27.6","139","392","1374","7618","0.0","0.0","0.0","0.0","0.0","1427","14.2"
"St. Francis County","AR","13.9","22.5","6.4","11.7","76.0","1882","5148","-5.0","462","0.7","0.6","52.7","4.4","0.0","1.5","44.5","41.1","55.3","9358","10929","65600","2.57","15.6","30873","15511","28.4","0","2.4","634.77","5.9","83.8","0","20.6","45.1","1905","28258","26899","-4.8","44.5","285","0","3537","13206","0.0","0.0","33.3","1.4","0.0","2007","38.8"
"Saline County","AR","17.1","23.8","6.0","23.4","89.2","7532","19290","1.5","1837","0.6","1.1","6.6","4.2","0.1","1.4","90.3","86.6","77.7","41287","46701","138600","2.62","8.0","55348","25962","8.6","326","2.2","723.6","4.3","88.4","3669","25.6","51.0","10509","107118","115719","8.0","148.0","812","2651","11577","12137","0.0","1.5","1.7","0.0","0.0","9517","23.9"
"Scott County","AR","18.7","23.6","5.7","11.6","77.0","613","2178","0.3","154","2.3","3.8","0.7","7.6","0.0","2.1","91.1","84.3","73.0","4324","5183","82100","2.55","8.3","37448","18934","20.0","42","4.8","892.32","9.4","85.6","2030","23.0","49.6","961","11233","10693","-4.8","12.6","30","91","486","4308","0.0","0.0","0.0","0.0","0.0","776","0.0"
"Searcy County","AR","23.6","20.3","5.0","12.0","74.1","754","1083","3.3","116","1.4","0.2","0.3","2.1","0.0","2.5","95.5","93.7","77.5","3296","4895","85100","2.43","5.1","30779","16731","26.1","0","0.8","666.1","1.5","91.8","0","29.4","49.6","745","8195","7929","-3.2","12.3","28","0","591","7339","0.0","0.0","0.0","0.0","0.0","728","19.8"
"Sebastian County","AR","14.5","24.5","6.8","19.2","82.2","8225","61045","-2.4","3482","2.3","4.5","6.8","13.4","0.3","3.4","82.9","71.1","62.8","49294","56034","114500","2.53","22.6","40471","23222","21.2","414","9.5","531.91","14.5","84.7","56765","17.7","51.0","10175","125744","126776","0.8","236.4","2077","13138","18255","14995","1.5","3.4","2.5","2.2","0.0","10763","0.0"
"Sevier County","AR","13.6","28.8","7.7","8.6","66.3","779","4148","-21.1","270","3.3","0.5","4.5","32.7","0.3","2.4","89.0","58.6","69.6","5745","6882","68800","2.95","5.2","35153","16021","24.4","8","16.9","565.13","28.6","83.8","0","21.4","50.3","1055","17058","17426","2.2","30.2","69","0","1605","9806","0.0","0.0","0.0","3.6","0.0","908","25.3"
"Sharp County","AR","25.7","20.4","5.2","11.0","83.0","1276","2394","-1.8","309","1.0","0.4","0.8","2.1","0.0","1.9","95.9","94.0","80.0","7023","9821","73800","2.42","5.1","30861","16714","23.9","8","1.4","604.44","3.4","87.6","0","27.9","50.6","2092","17264","16906","-2.1","28.6","129","0","1559","8792","0.0","0.0","0.0","0.0","0.0","0","0.0"
"Stone County","AR","25.4","20.1","4.9","14.2","78.9","1183","2024","-2.0","234","0.8","0.4","0.4","1.8","0.0","1.8","96.6","95.0","78.3","5135","6757","88100","2.41","4.1","29832","17403","25.5","8","0.8","606.41","1.3","84.5","0","21.1","50.4","1342","12394","12494","0.8","20.4","120","325","1083","9100","0.0","0.0","0.0","0.0","0.0","1918","17.8"
"Union County","AR","16.6","23.9","6.5","16.1","82.4","2733","16689","2.3","1140","0.6","0.8","32.6","3.6","0.1","1.5","64.4","61.5","69.3","16596","19676","75000","2.45","8.2","37435","20718","21.5","87","2.1","1039.21","4.0","86.1","39018","18.2","51.4","3090","41639","40227","-3.4","40.1","399","0","5263","12261","0.0","0.7","10.5","0.0","0.0","3612","27.4"
"Van Buren County","AR","24.6","19.7","4.9","13.6","81.4","1259","3484","-4.2","338","0.9","0.4","0.5","3.1","0.0","1.9","96.3","93.5","78.1","7063","10341","86700","2.4","9.5","32517","18782","24.5","3","1.6","708.14","2.8","88.0","0","28.7","50.3","1901","17295","16851","-2.6","24.4","125","507","1520","9238","0.0","0.0","0.0","0.0","0.0","1819","0.0"
"Washington County","AR","10.7","25.3","7.4","28.7","82.6","14580","79392","0.5","4934","1.5","2.6","3.5","16.2","2.5","2.6","87.3","72.2","55.9","79214","89775","148800","2.53","31.3","41248","23264","20.7","1131","11.6","941.97","18.0","75.2","34975","20.6","49.9","12056","203065","220792","8.7","215.6","3556","13281","27232","13987","1.5","1.2","0.0","4.4","0.0","17653","22.4"
"White County","AR","15.1","23.8","6.5","18.1","82.6","5198","22276","-4.6","1519","0.7","0.7","4.6","4.2","0.1","1.9","92.2","88.4","68.4","29632","33198","100100","2.5","14.2","42487","21793","17.5","116","2.5","1035.08","4.3","82.8","11681","22.8","51.1","6022","77076","78592","2.0","74.5","797","0","8035","10907","0.6","0.0","1.0","0.7","0.0","7525","17.2"
"Woodruff County","AR","21.2","21.9","5.7","10.1","73.6","393","1307","1.0","138","0.3","0.2","26.9","1.5","0.1","1.7","70.7","69.5","62.9","3070","3882","58400","2.29","13.5","28259","19087","24.3","0","0.7","586.79","0.5","89.8","0","19.3","52.0","581","7260","6910","-4.9","12.4","13","909","647","8451","0.0","0.0","0.0","0.0","0.0","391","24.6"
"Yell County","AR","17.1","25.1","6.5","9.4","71.3","1159","4940","1.0","307","1.0","1.6","2.1","18.9","0.1","1.4","93.9","76.1","66.4","7917","9732","91200","2.74","10.2","35535","16992","22.7","1","12.7","929.98","19.1","84.7","4495","20.4","50.2","1426","22185","21951","-1.1","23.9","91","58","1092","5001","0.0","0.0","0.0","0.0","0.0","1297","24.3"
"Alameda County","CA","12.5","21.4","6.1","41.8","86.4","124216","598309","1.9","37108","1.1","28.9","12.1","22.7","1.0","5.2","51.7","32.8","53.2","545071","592355","493800","2.76","38.2","72112","35763","12.5","3438","30.8","739.02","43.1","84.1","252368","28.8","51.0","63738","1510271","1610921","6.7","2043.6","28077","356740","179090","12359","0.0","24.4","6.8","8.9","0.0","140342","32.2"
"Alpine County","CA","21.1","20.0","3.3","31.2","90.4","101","176","-71.5","36","24.7","1.3","0.3","9.6","0.0","3.4","70.3","64.7","81.5","394","1765","333600","2.9","35.7","58636","25527","16.6","3","3.8","738.33","9.9","84.8","0","23.7","48.0","177","1175","1116","-5.0","1.6","0","0","0","0","0.0","0.0","0.0","0.0","0.0","122","0.0"
"Amador County","CA","25.1","15.3","3.7","19.3","88.1","2678","7768","2.9","786","2.2","1.4","2.1","13.0","0.2","3.3","90.7","79.6","76.1","14262","18249","270500","2.32","8.5","53684","27347","12.6","22","5.7","594.58","9.6","86.1","1429","30.0","46.9","4631","38091","36742","-3.5","64.1","612","0","18007","46797","0.0","0.0","0.0","0.0","0.0","3491","23.0"
"Butte County","CA","17.0","20.2","5.4","24.4","87.7","13031","56166","4.6","4637","2.5","4.6","1.8","15.5","0.3","4.2","86.6","73.5","60.1","84816","97486","225900","2.53","20.0","43752","23787","20.4","550","7.5","1636.46","13.6","79.1","9873","20.3","50.5","18453","220000","224241","1.9","134.4","3558","7963","24006","11025","0.0","2.7","1.2","0.0","0.0","17307","30.9"
"Calaveras County","CA","25.1","17.7","3.9","21.2","92.8","3521","5729","1.3","881","1.9","1.5","1.0","11.5","0.2","3.5","91.9","82.1","78.4","18702","28053","254800","2.38","4.6","55295","29329","10.9","70","4.2","1020.01","7.0","89.3","0","35.5","50.0","5216","45578","44624","-2.1","44.7","423","241","2927","6249","0.0","0.0","0.0","0.0","0.0","5365","24.7"
"Colusa County","CA","13.1","28.0","7.4","13.8","69.4","974","3956","1.3","376","2.6","1.8","1.2","58.1","0.6","2.3","91.6","36.7","63.3","6853","7938","181600","3.07","12.0","52158","21579","12.5","58","23.3","1150.73","46.3","82.4","2884","21.2","48.6","1126","21419","21419","0.0","18.6","916","1832","2085","9884","0.0","0.0","0.0","0.0","0.0","1234","25.9"
"Contra Costa County","CA","14.2","23.4","5.8","39.0","88.8","82405","306661","3.5","22338","1.0","16.4","9.6","25.2","0.6","5.1","67.3","45.6","65.9","375855","406772","404000","2.81","23.6","78756","38219","10.5","2001","23.5","715.94","33.3","85.3","320214","33.3","51.3","57474","1049025","1111339","5.9","1465.2","15622","66439","117637","11641","1.4","14.8","4.1","10.9","0.3","95688","31.2"
"Del Norte County","CA","15.6","21.2","5.8","14.0","79.1","1210","3966","-0.1","417","9.0","3.7","3.5","19.0","0.2","5.0","78.6","63.3","60.2","9593","11336","198400","2.58","12.1","37909","19072","21.8","9","6.5","1006.37","15.3","78.5","0","14.2","45.2","2770","28610","27212","-4.9","28.4","321","0","2062","7176","0.0","0.0","0.0","0.0","0.0","1604","28.0"
