total_cup_points,species,owner,country_of_origin,farm_name,company,region,producer,number_of_bags,bag_weight,harvest_year,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,sweetness,moisture,color,altitude_low_meters,altitude_high_meters,altitude_mean_meters
80.17,Arabica,israel eduardo paz garcia,Mexico,el carrizo,cafeorganico.mx,zaragoza itundujia,CIRILO JOSE JOSE,15,1 kg,2012,Typica,Washed / Wet,7.58,7.42,7.33,7.5,7.08,7.17,8.67,10,0.14,Green,1550,1550,1550
80.17,Arabica,marco virgilio ramirez teliz,Mexico,el aguacate,cafes de naranjal s.a. de c.v,veracruz,MARCO VIRGILIO RAMIREZ TELIZ,15,1 kg,2012,Bourbon,Washed / Wet,7.33,7.33,7.17,7.08,7.25,7,10,10,0.12,Green,1000,1000,1000
80.17,Arabica,juan luis alvarado romero,Guatemala,agropecuaria quiagral,"unex guatemala, s.a.",oriente,AGROPECUARIA QUIAGRAL,250,1 kg,2012,Bourbon,Washed / Wet,7.33,7.33,7,7.33,7,7,10,10,0.11,Green,1310.64,1310.64,1310.64
80.08,Arabica,israel eduardo paz garcia,Mexico,el tabaco,cafeorganico.mx,zaragoza itundujia,ALBERTA TEODORO ANALCO,13,1 kg,2012,Typica,Washed / Wet,7.33,7.17,7.25,7.08,7.08,7.08,10,10,0.15,None,1300,1300,1300
80.08,Arabica,federico pacheco perez,Mexico,NA,NA,escuitla,FEDERICO PACHECO PEREZ,10,1 kg,2012,Typica,Washed / Wet,7.25,7.08,7,7.17,7.33,7.17,10,10,0.14,Green,1300,1300,1300
80,Arabica,doi tung development project,Thailand,doi tung development project,doi tung development project,thailand,Doi Tung Development Project,2,1 kg,2012,NA,Washed / Wet,7.33,6.67,7.08,7.42,7.42,7.08,10,10,0,Green,800,800,800
80,Arabica,pablo enrique martinez gama,Mexico,"la orduña, coatepec, veracruz",NA,coatepec,PABLO ENRIQUE MARTINEZ GAMA,20,1 kg,2012,Typica,Washed / Wet,7.25,7.25,7.08,7.17,7.33,7.33,9.33,10,0.12,Green,1250,1250,1250
80,Arabica,semiramis casas velazquez,Mexico,"santa clara, california y camila",NA,san miguel del puerto,SEMIRAMIS CASAS VELAZQUEZ,256,1 kg,2012,Other,Washed / Wet,7.08,7.33,7,7.33,7.08,7,10,10,0.11,Green,1100,1100,1100
79.92,Arabica,alejandro garcia palacios,Mexico,finca buenos aires,industrializadora de kaffee andes s.a. de c.v.,"motozintla, chiapas",MARTHA PALACIOS,10,1 kg,2012,Other,Washed / Wet,7.17,7.17,6.92,7.25,7.33,7.08,10,10,0.12,Green,1100,1100,1100
79.92,Arabica,christina dusing,Mexico,rancho san francisco iii,NA,veracruz,DELMAR MORENO GUILLEN,82,1 kg,2012,Bourbon,Washed / Wet,7.5,7.17,7,7.17,7.25,7.08,10,10,0,NA,1100,1100,1100
79.92,Arabica,montegrande,Mexico,finca monte grande,NA,jaltenango,MARIA ELENA TERESA FERNANDEZ CEJA,250,1 kg,2012,Catuai,Washed / Wet,7.17,7.08,7.08,7.08,7.5,7.33,9.33,10,0.11,Green,1100,1100,1100
79.92,Arabica,pablo enrique martinez gama,Mexico,finca la orduña,NA,coatepec,PABLO ENRIQUE MARTINEZ GAMA,100,1 kg,2012,Typica,Natural / Dry,7.33,7.25,7,7.42,7.17,7.17,9.33,10,0.12,Green,1250,1250,1250
79.92,Arabica,jesus carlos cadena valdivia,Mexico,finca huehuetecpan,cafetalera la asunción s.a. de c.v.,veracruz,MARIA DEL ROSARIO IRAIS VALDIVIA ORTIZ,209,1 kg,2012,Mundo Novo,Washed / Wet,7.17,7.33,7.08,7.58,7.33,7.08,10,10,0.11,Green,1250,1250,1250
79.83,Arabica,sergio de la vequia bernardi,Mexico,la cuchilla,NA,veracruz,CIRO DE LA VEQUIA CESSA,250,1 kg,2012,Typica,Washed / Wet,7.17,7.08,7,7.25,7.5,7,10,10,0.12,Green,1300,1300,1300
79.83,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,kona pacific farmers cooperative,kona,NA,12,100 lbs,2012,Hawaiian Kona,Natural / Dry,7.58,7.08,6.83,7.17,7.5,7.17,9.33,10,0.12,Blue-Green,NA,NA,NA
79.75,Arabica,israel eduardo paz garcia,Mexico,peña negra,cafeorganico.mx,zaragoza itundujia,MINERVA ZUÑIGA GARCIA,12,1 kg,2012,Bourbon,Washed / Wet,7.25,7.17,7.17,7.08,7.17,7,10,10,0.14,None,1450,1450,1450
79.75,Arabica,alfredo bojalil,Mexico,el vergel,ecomtrading,pochutla,ANGEL GONZALES,250,1 kg,2012,Typica,Washed / Wet,7.33,7.25,7,7.08,7.08,7,10,10,0.1,Green,1050,1050,1050
79.75,Arabica,lusso lab,Guatemala,genuine antigua medina,lusso coffee lab,antigua,Jorge Bolanos,275,69 kg,2012,Bourbon,Washed / Wet,7.58,7.33,7.5,7.33,7,7.33,9.33,9.33,0,Green,NA,NA,NA
79.75,Arabica,montegrande,Mexico,finca monte grande,cafe montegrande,tuxtla gutierrez,ALFREDO MOISES CEJA,36,1 kg,2012,Typica,Washed / Wet,7.25,6.83,6.92,7.08,7.25,7.08,10,10,0.12,NA,1100,1100,1100
79.67,Arabica,saul m. hernandez ramirez,Mexico,el encinal,NA,"tenango de doria, hidalgo","GOMEZ GRANILLO, VERONICO",10,1 kg,2012,Caturra,Washed / Wet,7.33,7.17,7,6.75,7.08,7,10,10,0.13,None,975,975,975
79.67,Arabica,alfredo bojalil,Mexico,consolapa,ecomtrading,"coatepec, coatepec",CECILIA AVILA CAMBEROS,253,1 kg,2012,Mundo Novo,Washed / Wet,6.92,7.17,7.17,7.17,7.08,7.08,10,10,0,NA,1264,1264,1264
79.58,Arabica,obed rendon ponce,Mexico,tepetzingo,cafetera el grande s.a. de c.v.,tepetzingo,ROGELIO JACOME MORALES,50,1 kg,2012,Typica,Washed / Wet,7.08,7,6.92,7.33,7.25,7.08,10,10,0.12,None,1250,1250,1250
79.58,Arabica,armando luis pohlenz martinez,Mexico,NA,beneficio custepec s.a. de c.v.,la concordia,ARMANDO LUIS POHLENZ MARTINEZ,250,1 kg,2012,Caturra,Washed / Wet,7.25,6.92,6.92,7.33,7.25,7,10,10,0.13,Green,1550,1550,1550
79.5,Arabica,armando luis pohlenz martinez,Mexico,NA,beneficio custepec s.a. de c.v.,la concordia,ARMANDO LUIS POHLENZ MARTINEZ,250,1 kg,2012,Caturra,Washed / Wet,7.25,7.08,6.92,7.25,7.58,7.08,9.33,10,0.12,Green,1550,1550,1550
79.5,Arabica,mario jose fernandez,Mexico,casa blanca,NA,"coatepec, coatepec",MARIA DE LA LUZ SANCHEZ TODD,127,1 kg,2012,Typica,Washed / Wet,7.25,7.33,7,7.25,7.17,7.17,9.33,10,0.12,Bluish-Green,1100,1100,1100
79.42,Arabica,adriana torres rico quevedo,Mexico,cre-leg l-4,cafessisimo compañia s.a. de c.v.,xicotepec de juarez,ADRIANA TORRES RICO QUEVEDO,10,1 kg,2012,Typica,Washed / Wet,7,6.83,6.83,7.42,7.33,7.17,10,10,0.13,Green,800,800,800
79.33,Arabica,eric jesus cordoba arroyo,Mexico,el encanto,NA,zentla,ERIC JESUS CORDOBA ARROYO,30,1 kg,2012,Typica,Washed / Wet,7,7,6.83,7.33,7.42,6.92,10,10,0.14,None,950,950,950
79.33,Arabica,eric jesus cordoba arroyo,Mexico,la gloria,NA,zentla,ANTONIO CORDOBA MURILLO,50,1 kg,2012,Typica,Washed / Wet,7.42,7.17,7.08,7.17,7.08,7.08,9.33,10,0.14,Green,750,750,750
79.33,Arabica,juan luis alvarado romero,Guatemala,conquista / morito,"unex guatemala, s.a.",oriente,Conquista/ Morito,250,1 kg,2012,Bourbon,Washed / Wet,7.17,6.5,6.33,7.25,7.58,7.33,10,10,0.11,Green,NA,NA,NA
79.25,Arabica,marco virgilio ramirez teliz,Mexico,el aguacate,cafes de naranjal s.a. de c.v,veracruz,MARCO VIRGILIO RAMIREZ TELIZ,12,1 kg,2012,Bourbon,Washed / Wet,7,7,6.92,7.17,7.17,7.08,10,10,0.13,Green,1000,1000,1000
79.17,Arabica,brent hall,Costa Rica,NA,s&d coffee and tea,san rafael,NA,1,2 kg,2012,Catuai,Washed / Wet,7.17,7.42,7.5,8,7.25,7.83,10,6.67,0.1,None,NA,NA,NA
79.17,Arabica,israel eduardo paz garcia,Mexico,la tejeria,cafeorganico.mx,zaragoza itundujia,HILARIO GARCÍA SANDOVAL,10,1 kg,2012,Typica,Washed / Wet,7.25,7.08,6.92,7.08,7.17,7.17,9.33,10,0.14,None,1550,1550,1550
79.17,Arabica,julio cesar robles flores,Mexico,el delirio,NA,yajalon,SOCIEADAD COOPERATIVA INDUSTRIAL CAFES YAJALON S. C. L.,53,1 kg,2012,Typica,Washed / Wet,7.17,6.92,6.92,7.08,7.17,7,10,10,0.14,Green,1450,1450,1450
79.08,Arabica,israel eduardo paz garcia,Mexico,huanacaxtle,cafeorganico.mx,zaragoza itundujia,GUADALUPE HERAS HERNANDEZ,13,1 kg,2012,Typica,Washed / Wet,7.33,7,6.92,7.25,7.33,7.08,9.33,10,0.16,None,1500,1500,1500
79.08,Arabica,juana rodriguez gutierrez,Mexico,las palmas,productores e industrializadores de café orgánico la fe s.c. de r.l.,tlacuilotepec,JUANA RODRIGUEZ GUTIERREZ,10,1 kg,2012,Mundo Novo,Washed / Wet,7.25,7.08,6.75,7.33,7.42,7,9.33,10,0.11,Green,1100,1100,1100
79.08,Arabica,balbino ramirez flores,Mexico,el desmoronado,NA,talpa de allende,BALBINO RAMIREZ FLORES,10,1 kg,2012,Typica,Washed / Wet,7.17,7.25,7.25,7.17,7.25,7.08,9.33,10,0.1,Bluish-Green,1200,1200,1200
79,Arabica,sustainable harvest coffee,Peru,NA,sustainable harvest,san ignacio,Frontera,280,69 kg,2012,Typica,Washed / Wet,7.67,7.17,7.08,7.25,8,7.5,8.67,9.33,0,NA,1400,1400,1400
79,Arabica,gonzalo de aquino flores,Mexico,NA,café monteabuelo s.a. de c.v.,"iliatenco, guerrero",GONZALO DE AQUINO FLORES,14,1 kg,2012,Mundo Novo,Natural / Dry,6.75,7.08,6.67,7.25,7.17,7.08,10,10,0.12,None,1300,1300,1300
79,Arabica,israel eduardo paz garcia,Mexico,el sauce,cafeorganico.mx,zaragoza itundujia,JUAN CRUZ RIAÑO,16,1 kg,2012,Typica,Semi-washed / Semi-pulped,7.5,7.17,6.92,7.5,7.25,7,8.67,10,0.14,Green,1550,1550,1550
79,Arabica,juan avenamar rodriguez funez,Mexico,pico del oro,café pico de loro,amatenango de la frontera,JUAN AVENAMAR RODRIGUEZ FUNEZ,120,1 kg,2012,Typica,Washed / Wet,7.17,6.83,6.83,7.25,7.17,6.92,10,10,0.14,Green,12,12,12
78.92,Arabica,israel eduardo paz garcia,Mexico,la pandora,cafeorganico.mx,zaragoza itundujia,LUISA ZUÑIGA GARCÍA,14,1 kg,2012,Typica,Washed / Wet,7.5,7,6.92,7.08,6.92,6.75,10,10,0.16,None,1400,1400,1400
78.75,Arabica,octavio augusto diaz trejo,Mexico,"la patrona, el trebol, la cadena",empagri s.p.r. de r.l. de c.v.,veracruz,"JOSE VAZQUEZ CANTON, JOSE ANTONIO JIMENEZ GONZALEZ, IRENEO GARCIA VALDIVIA",20,1 kg,2012,Typica,Washed / Wet,7.25,6.83,6.83,7,7.17,7,10,10,0.14,Green,1320,1320,1320
78.75,Arabica,damaso martinez perez,Mexico,el tesoro,NA,veracruz,DAMASO MARTINEZ PEREZ,35,1 kg,2012,Typica,Semi-washed / Semi-pulped,7.25,7.33,7.17,7.25,7.08,7,8.67,10,0.14,None,1250,1250,1250
78.75,Arabica,"productores de especialidad emiliano zapeata, spr.",Mexico,los encinos,NA,"ohuapan, tlaltetela","PEDRO HERRERA GUZMAN, AURELIO GABRIEL HERNANDEZ ,MARIA DE LOURDES DERISTAIN TRESS",10,1 kg,2012,Bourbon,Washed / Wet,7.67,7.17,6.83,7.33,7.58,7.17,9.33,8.67,0.12,NA,1350,1350,1350
78.67,Arabica,juan garcia hernandez,Mexico,los pinos,NA,yecuatla,JUAN GARCIA HERNANDEZ,20,1 kg,2012,Caturra,Washed / Wet,6.92,6.92,6.67,7.25,7.17,6.92,10,10,0.13,None,1150,1150,1150
78.58,Arabica,alfredo bojalil,Mexico,grapos el porvenir,ecomtrading,tapachula,EPIFANIO GARCIA DE MIGUEL,250,1 kg,2012,Typica,Washed / Wet,7,7,6.75,7.33,6.92,6.92,10,10,0.13,Green,1400,1400,1400
78.58,Arabica,organizaciones de productores de cafe colimense,Mexico,cofradia,organizaciones de productores de cafe colimense sa de cv,cofradia de suchitlan,"J. CARMEN GUZMAN CONCEPCION, IGNACIO RAMIREZ BARAJAS, DIONICIO GARCIA RAMIREZ",50,1 kg,2012,Typica,Washed / Wet,7.92,7.58,7.58,7.92,7.92,7.5,8,10,0.1,NA,1300,1300,1300
78.5,Arabica,rosario miguel hernandez,Mexico,finca sego,villa talea café,villa talea de castro,REYNALDO OLIVERA RIOS,10,1 kg,2012,Typica,Washed / Wet,7.08,6.83,6.83,7,7,6.92,10,10,0.12,None,1400,1400,1400
78.5,Arabica,francisco ruiz nunez,Mexico,cerca de los angeles,NA,los angeles,FRANCISCO RUIZ NUÑEZ,20,1 kg,2012,Caturra,Washed / Wet,7.25,7.17,7,6.83,7.58,7.08,8.67,10,0.13,Green,1200,1200,1200
78.42,Arabica,israel eduardo paz garcia,Mexico,el naranjo,cafeorganico.mx,zaragoza itundujia,LAMBERTO JOSÉ GARCÍA,10,1 kg,2012,Typica,Washed / Wet,7.58,7.17,7,7.17,7.33,7,8,10,0.14,None,1500,1500,1500
78.33,Arabica,juan luis alvarado romero,Guatemala,el sacramento,"unex guatemala, s.a.",oriente,LUIS RODRIGUEZ,250,1 kg,2012,Bourbon,Washed / Wet,7.17,7.17,6.5,7.17,7,6.83,10,10,0.11,Green,1310.64,1310.64,1310.64
78.33,Arabica,pablo cervantes morelos,Mexico,llano hermoso,asociación agricola local de productores de café de huautla de jimenez,"xochitonalco, huautla",PABLO CERVANTES MORELOS,100,1 kg,2012,Typica,Natural / Dry,7.25,7.25,7,7.5,7.33,7.42,8,10,0.13,Green,1300,1300,1300
78.33,Arabica,juan luis alvarado romero,Guatemala,conquista / morito,"unex guatemala, s.a.",oriente,Conquista/ Morito,250,1 kg,2012,Bourbon,Washed / Wet,7.17,6.08,6.17,7.25,7.33,7.33,10,10,0.11,Green,NA,NA,NA
78.25,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,kona pacific farmers cooperative,kona,NA,5,100 lbs,2012,Hawaiian Kona,Natural / Dry,7.42,7.33,7.33,7.5,7.67,7.75,8,9.33,0.11,Green,NA,NA,NA
78.08,Arabica,gustavo amieva gonzalez,Mexico,NA,NA,cordoba,CONSUELO GONZALEZ GOMEZ,320,1 kg,2012,Typica,Washed / Wet,7.08,6.83,6.67,7.25,7.25,6.92,10,10,0.11,Green,1050,1050,1050
78,Arabica,alejandro garcia palacios,Mexico,finca la fortuna,industrializadora de kaffee andes s.a. de c.v.,"motozintla, chiapas",MARIO GARCÍA,10,1 kg,2012,Other,Washed / Wet,7.25,7.33,7,7,7.25,7.08,10,8,0.12,Green,850,850,850
77.92,Arabica,gustavo abarca solis,Mexico,el regadito,NA,petatlan,GUSTAVO ABARCA SOLIS,50,1 kg,2012,Typica,Washed / Wet,7.42,7.25,7,7,7.25,7.08,8,10,0.11,Green,1248,1248,1248
77.92,Arabica,juan luis alvarado romero,Guatemala,conquista / morito,"unex guatemala, s.a.",oriente,Conquista/ Morito,250,1 kg,2012,Bourbon,Washed / Wet,7.17,6.17,6.17,7.08,7.33,6.83,10,10,0.11,Green,NA,NA,NA
77.67,Arabica,"lin, che-hao krude 林哲豪",Taiwan,"dongshan gaoyuan village chief manor coffee tainan, taiwan 台灣台南東山高原村長莊園咖啡","red on tree co., ltd.","dongshan dist., tainan city 臺南市東山區",Chen Shuei Lian 陳水連,100,10 kg,2012,Typica,Washed / Wet,7.17,6.75,6.58,7.33,7.33,7.17,9.33,10,0.11,Bluish-Green,750,800,775
77.5,Arabica,stephany escamilla femat,Mexico,rancho los laureles,NA,coatepec,RUBRIA OCHOA BELLO,23,1 kg,2012,Typica,Washed / Wet,7.17,6.75,6.58,6.75,6.83,6.75,10,10,0.13,Green,1300,1300,1300
77.33,Arabica,israel eduardo paz garcia,Mexico,el naranjo,cafeorganico.mx,zaragoza itundujia,AQUILINO GARCÍA RIAÑO,10,1 kg,2012,Typica,Washed / Wet,7.33,7,6.67,7,6.92,6.92,9.33,10,0.15,None,1500,1500,1500
77.17,Arabica,alejandro garcia palacios,Mexico,finca los andes,industrializadora de kaffee andes s.a. de c.v.,"motozintla, chiapas",ALEJANDRO GARCÍA PALACIOS,10,1 kg,2012,Other,Washed / Wet,7.08,7,7,7.25,7.33,7.25,8.67,10,0.12,Green,1200,1200,1200
76.5,Arabica,juan luis alvarado romero,Guatemala,conquista / morito,asociación nacional del café - anacafe -,oriente,Conquista/Morito,250,2 kg,2012,Bourbon,Washed / Wet,6.42,6.5,6.5,7.33,6.33,6.92,10,10,0.12,None,NA,NA,NA
76.42,Arabica,homero antonio de anda andrade,Mexico,NA,exportadora moretto s.a. de c.v.,coatepec,CASTULO GUTIERREZ,10,1 kg,2012,Typica,Washed / Wet,7.17,6.58,6.58,7,7.25,6.58,9.33,10,0.13,Green,1100,1100,1100
76.33,Arabica,juan luis alvarado romero,Guatemala,agropecuaria quiagral,"unex guatemala, s.a.",oriente,AGROPECUARIA QUIAGRAL,250,69 kg,2012,Bourbon,Washed / Wet,7.5,7,6.83,7.5,7.17,7.33,8.67,8.67,0.11,Green,1310.64,1310.64,1310.64
76.17,Arabica,israel eduardo paz garcia,Mexico,agua de la mariposa,cafeorganico.mx,zaragoza itundujia,ISIDORA HERAS HERNANDEZ,11,1 kg,2012,Typica,Washed / Wet,7.42,7,6.83,7.08,6.92,6.83,7.33,10,0.16,None,1400,1400,1400
76.08,Arabica,guillermo eduardo bobadilla muguira,Mexico,finca tepictla,el mejor café,tepictla,GUILLERMO EDUARDO BOBADILLA MUGUIRA,20,1 kg,2012,Bourbon,Washed / Wet,7.08,6.83,6.83,7.17,7.17,7.08,10,10,0.12,Green,1250,1250,1250
75.83,Arabica,ana gonzales,Philippines,various,prime3,"benguet, mountain province",various smallholders,1,2 kg,2012,NA,Washed / Wet,6.83,6.5,6.5,6.92,6.75,7,9.33,9.33,0.12,Green,1000,1000,1000
75.58,Arabica,juan luis alvarado romero,Guatemala,agropecuaria quiagral,"unex guatemala, s.a.",oriente,AGROPECUARIA QUIAGRAL,250,1 kg,2012,Bourbon,Washed / Wet,7.92,7.58,7.17,7.58,7.33,7.17,8,8,0.11,Green,1310.64,1310.64,1310.64
75.58,Arabica,juan luis alvarado romero,Guatemala,conquista / morito,"unex guatemala, s.a.",oriente,Conquista / Morito,250,1 kg,2012,Bourbon,Washed / Wet,6.67,6.5,6.33,7,7.17,6.75,8.67,10,0.12,NA,NA,NA,NA
75.5,Arabica,juana rodriguez gutierrez,Mexico,la joya,productores e industrializadores de café orgánico la fe s.c. de r.l.,tlacuilotepec,JUANA RODRIGUEZ GUTIERREZ,10,1 kg,2012,Pacamara,Washed / Wet,7.5,7.25,6.92,7,7.17,6.83,8,10,0.11,Green,1100,1100,1100
75.17,Arabica,francisco hernandez lorenzo,Mexico,"zaragoza, montelibano, pamal navil",sposel s. de s.s.,ocosingo,SPOSEL S. DE S.S.,100,1 kg,2012,Mundo Novo,Washed / Wet,7.17,6.92,6.67,6.83,7.25,7.75,10,10,0.11,Green,1200,1200,1200
75.17,Arabica,montegrande,Mexico,finca monte grande,cafe montegrande,NA,SURAYA MAGDALENA LOTFE CALDERON,36,1 kg,2012,Other,Washed / Wet,7.25,6.83,6.67,7.08,7.17,6.83,10,10,0.12,NA,1100,1100,1100
75.17,Arabica,martin jimenez casiano,Mexico,peña campana,union regional de cafeticultores de la mazateca alta,huautla de jimenez,"MARTÍN JIMENEZ CASIANO, PAULINA CERQUEDA ALVAREZ, JULIO MARTINEZ TERAN",18,1 kg,2012,Typica,Washed / Wet,7.17,7.17,6.83,7.17,7.42,6.67,8.67,10,0.13,Bluish-Green,1280,1280,1280
75,Arabica,"grupo juvenil magtayani, ac",Mexico,la cruz,grupo juvenil magtayani ac,menglian,MIGUEL LOPEZ TIRZO,43,1 kg,2012,Typica,Washed / Wet,7,6.92,6.75,6.92,7.17,6.83,10,10,0.14,Green,850,850,850
74.92,Arabica,israel eduardo paz garcia,Mexico,el limón,cafeorganico.mx,zaragoza itundujia,GEREMIAS RIAÑO LOPEZ,14,1 kg,2012,Typica,Washed / Wet,7.08,6.75,6.58,7,7,6.75,8.67,10,0.17,None,1500,1500,1500
74.83,Arabica,pablo enrique martinez gama,Mexico,la orduña,NA,coatepec,PABLO ENRIQUE MARTINEZ GAMA,20,1 kg,2012,Typica,Washed / Wet,7.33,6.75,6.67,7.25,7.5,7,10,10,0.12,Green,1250,1250,1250
74.75,Arabica,juan luis alvarado romero,Guatemala,conquista / morito,"unex guatemala, s.a.",oriente,Conquista / Morito,250,1 kg,2012,Bourbon,Washed / Wet,6.75,6.5,6.17,7,7.25,6.75,8,10,0.11,NA,NA,NA,NA
74.75,Arabica,juan luis alvarado romero,Guatemala,conquista / morito,"unex guatemala, s.a.",oriente,Conquista/Morito,250,1 kg,2012,Bourbon,Washed / Wet,6.75,6.67,6.17,7.17,7,6.58,8,10,0.11,NA,NA,NA,NA
74.33,Arabica,jorge octavio escamilla prado,Mexico,las ceibas,NA,"chocaman, veracruz",JORGE OCTAVIO ESCAMILLA PRADO,20,1 kg,2012,Typica,Washed / Wet,7,6.58,6.67,6.83,7.08,6.83,10,10,0.14,Green,1140,1140,1140
74,Arabica,myrna roxana galvez gonzalez,Mexico,la marina-el orizabeño,NA,xalapa,MYRNA ROXANA GÁLVEZ GONZÁLEZ,100,1 kg,2012,Typica,Washed / Wet,6.92,6.42,6.17,7.33,7.25,6.75,10,10,0.13,None,1200,1200,1200
73.83,Arabica,eugene holman pew,Mexico,rancho vigia,NA,coatepec,EUGENE HOLMAN PEW,20,1 kg,2012,Typica,Washed / Wet,7.67,7,7.17,7.58,7.33,7.33,10,10,0.12,Green,1250,1250,1250
73.67,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,kona pacific farmers cooperative,kona,NA,22,100 lbs,2012,Hawaiian Kona,Natural / Dry,7.17,7.17,7.17,7.58,7.67,6.92,9.33,6.67,0,NA,NA,NA,NA
71.08,Arabica,jose armando norberto borzani lemini,Mexico,la vuelta,cafe colonial de tlatlauquitepec,tlatlauquitepec,JOSÉ ARMANDO NORBERTO BORZANI LEMINI,10,1 kg,2012,Mundo Novo,Washed / Wet,6.92,6.92,6.92,6.92,7.17,7,10,10,0.12,Green,800,800,800
71,Arabica,ricardo aaron sampieri marini,Mexico,la morena,NA,veracruz,RICARDO AARON SAMPIERI MARINI,25,1 kg,2012,Bourbon,Washed / Wet,6.5,6.67,6.42,7.17,7.33,6.5,8,10,0.11,Green,1800,1800,1800
68.33,Arabica,juan carlos garcia lopez,Mexico,el centenario,terra mia,juchique de ferrer,JUAN CARLOS GARCÍA LOPEZ,12,1 kg,2012,Bourbon,Washed / Wet,7.08,6.83,6.25,7.42,7.25,6.75,10,10,0.11,None,900,900,900
67.92,Arabica,myriam kaplan-pasternak,Haiti,200 farms,haiti coffee,"department d'artibonite , haiti",COEB Koperativ Ekselsyo Basen,1,2 kg,2012,Typica,Natural / Dry,6.75,6.58,6.42,6.67,7.08,6.67,9.33,6,0.14,Blue-Green,350,350,350
59.83,Arabica,juan luis alvarado romero,Guatemala,finca el limon,unicafe,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1 kg,2012,Catuai,Washed / Wet,7.5,6.67,6.67,7.67,7.33,6.67,8,1.33,0.1,Green,1417.32,1417.32,1417.32
82.75,Robusta,andrew hetzel,India,NA,"cafemakers, llc",chikmagalur,Sethuraman Estates,200,1 kg,2012,NA,NA,8,7.92,7.67,8,7.75,7.92,10,7.75,0,Green,3000,3000,3000
79.33,Robusta,andrew hetzel,United States,sethuraman estates,"cafemakers, llc",chikmagalur,Sethuraman Estates,100,1 kg,2012,Arusha,Natural / Dry,7.92,7.5,7.42,7.42,7.42,7.42,9.33,7.58,0,Green,3000,3000,3000
88.83,Arabica,ji-ae ahn,Brazil,NA,NA,NA,NA,100,30 kg,2013,NA,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10,10,0.11,Bluish-Green,NA,NA,NA
87.08,Arabica,ji-ae ahn,Ethiopia,NA,NA,sidamo,NA,100,60 kg,2013,NA,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8,10,10,0.11,Bluish-Green,NA,NA,NA
86.83,Arabica,kabum trading company,Uganda,chebonet (23) women coffee,kabum trading company,kapchorwa eastern,Kabum trading company,100,60 kg,2013,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10,10,0.12,Green,1950,1950,1950
86.25,Arabica,daniel magu,Kenya,kangunu,c dorman ltd,muranga,Kangunu,320,1 kg,2013,SL34,Washed / Wet,8.08,8,8,8.25,7.92,7.92,10,10,0.12,Blue-Green,1800,1800,1800
86,Arabica,lusso lab,Colombia,ecobio colombia,lusso coffee lab,tolima,NA,1,2 kg,2013,Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10,10,0.12,Green,900,1500,1200
86,Arabica,lusso lab,Kenya,kianjavi,lusso coffee lab,kiambu,NA,1,1 kg,2013,SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10,10,0.11,Green,1520,2200,1860
85.92,Arabica,kawacom uganda ltd,Uganda,sipi organic coffee project,kawacom uganda ltd,eastern,Kawacom (U)Ltd,1,60 kg,2013,SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10,10,0.12,Green,1400,1900,1650
85.92,Arabica,exportadora de cafe condor s.a,Colombia,NA,exportadora de cafe condor s.a,huila,NA,275,70 kg,2013,Caturra,Washed / Wet,8,8,8,8.17,7.83,8,10,10,0,Blue-Green,1800,1800,1800
85.75,Arabica,dane loraas,Peru,NA,sustainable harvest,cajamarca,NA,280,5 lbs,2013,NA,Washed / Wet,8,8,8,8.08,7.92,7.75,10,10,0.1,Green,NA,NA,NA
85.58,Arabica,atlantic specialty coffee,El Salvador,el majahual,atlantic specialty coffee,apaneca,Aida Batlle,275,2 kg,2013,Bourbon,Washed / Wet,7.92,8.17,8,7.92,7.75,7.83,10,10,0.1,Blue-Green,1500,1500,1500
85.5,Arabica,kyagalanyi ltd,Uganda,buginyanya,kyagalanyi coffee ltd,bulambuli eastern region,Kyagalanyi coffee Ltd,320,60 kg,2013,SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10,10,0.12,Green,1600,1600,1600
85.5,Arabica,juan luis alvarado romero,Guatemala,asoperc,exportcafe,huehuetenango,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),250,69 kg,2013,Bourbon,Washed / Wet,8,7.83,7.67,8.33,7.83,8,10,10,0.11,Green,1706.88,1755.648,1731.264
85.42,Arabica,great lakes coffee uganda,Uganda,chesiyo farmer group,great lakes coffee,kapchorwa,Chesiyo Farmer group,150,60 kg,2013,SL14,Washed / Wet,8.08,8,7.83,7.67,8,7.83,10,10,0.12,Green,1950,1950,1950
84.83,Arabica,kawacom uganda ltd,Uganda,mt.elgon bugisu shamba 2,kawacom uganda ltd,eastern,Sipi organic coffee project,1,60 kg,2013,SL14,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10,10,0.12,Green,1400,1900,1650
