STATE GOVERNMENT FINANCES: 1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands.  Per capita amounts in dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Cash and security holdings,"2,061,507,939","23,466,316","41,008,373","31,570,957","13,344,054","269,125,315","25,067,505","26,339,471","9,544,959","77,359,658","51,019,681","11,719,346","9,829,988","66,723,738","26,046,982","22,073,490","10,057,248","28,007,395","29,631,424","6,704,450","42,235,022","46,252,146","66,027,442","44,816,421","16,484,105","35,726,293","7,240,379","8,301,315","14,244,794","8,522,069","68,959,478","23,849,833","168,409,568","59,152,652","5,320,710","123,271,843","18,712,489","26,707,232","86,782,586","9,786,539","22,234,136","6,342,204","25,329,337","145,605,309","14,363,055","4,275,953","48,807,360","54,731,330","8,203,192","64,257,714","7,915,083",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percent Distribution,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,,,,,,,,,,,,,
,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,,,,,,,,,,,,,,,
Population (thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,,
  General revenue,78.92,83.76,88.21,71.24,81.42,76.62,81.05,87.48,84.53,71.07,78.44,80.96,76.34,83.51,92.46,87.95,92.20,81.11,77.53,80.27,75.83,91.38,90.06,72.86,79.16,78.25,82.20,85.69,63.04,74.01,76.63,78.68,83.97,71.86,80.98,67.11,77.23,71.86,75.94,85.21,75.09,73.00,84.47,83.15,75.64,92.58,74.34,68.19,79.47,84.92,88.07,,,,,,,,,,,,,,,
    Intergovernmental revenue,21.97,27.09,11.95,20.08,24.96,21.31,20.63,18.26,15.78,16.04,22.08,17.39,18.34,22.14,21.30,22.09,22.06,22.53,22.87,24.81,17.19,22.87,21.36,16.07,27.77,22.32,28.90,22.75,12.46,25.52,17.27,20.38,35.15,20.46,28.53,18.60,20.65,21.45,19.81,25.83,22.64,26.59,31.57,25.27,19.29,30.75,14.59,15.18,26.85,17.74,31.61,,,,,,,,,,,,,,,
    Taxes,43.29,38.66,13.12,41.91,42.76,46.70,43.59,56.86,43.13,43.52,45.08,46.98,43.73,48.87,52.67,47.88,55.21,44.50,34.55,41.65,44.70,51.31,52.95,46.94,39.98,43.23,36.62,46.72,42.53,25.15,42.17,39.46,37.61,41.62,34.47,36.65,43.50,31.87,42.53,41.04,37.38,29.00,41.96,42.61,39.95,40.36,40.68,42.20,38.57,52.11,32.26,,,,,,,,,,,,,,,
      General sales,14.23,10.58,0.00,18.39,15.95,14.69,11.33,18.35,0.00,24.97,15.53,21.08,13.88,13.83,17.05,15.24,19.18,12.39,11.25,14.60,10.51,10.49,18.90,13.23,19.18,13.82,0.00,16.32,22.63,0.00,12.88,16.06,7.92,9.82,9.88,11.49,10.90,0.00,13.02,11.85,14.23,15.40,24.15,21.58,14.97,8.20,8.58,24.69,10.97,14.24,12.64,,,,,,,,,,,,,,,
      Selective sales,6.51,9.59,1.29,5.78,6.20,3.59,5.83,10.22,5.55,7.74,3.88,7.19,6.37,8.69,6.77,6.84,6.76,7.98,6.92,5.45,8.18,4.99,4.81,6.89,7.19,6.16,7.58,7.06,13.25,12.42,7.79,5.47,5.00,7.39,9.62,5.78,5.59,4.28,6.96,8.44,4.81,7.61,7.75,12.82,5.26,9.67,6.51,6.34,8.98,7.20,2.54,,,,,,,,,,,,,,,
      License taxes,2.71,2.93,1.04,1.41,2.50,2.16,2.06,2.18,14.13,2.80,1.54,1.37,4.17,2.98,1.17,4.52,2.53,2.79,2.59,2.08,1.71,1.60,2.76,3.57,2.83,3.02,4.33,3.00,4.59,3.11,2.04,2.08,1.01,2.53,2.55,3.03,6.13,3.22,4.50,1.98,2.66,3.65,3.94,6.11,1.37,2.76,1.76,1.89,2.04,2.98,2.98,,,,,,,,,,,,,,,
      Individual income tax,14.67,12.08,0.00,11.24,14.65,19.16,21.32,20.62,16.57,0.00,20.68,16.02,16.55,17.27,21.96,18.33,20.65,15.12,8.24,15.93,20.13,28.45,15.76,19.38,7.98,17.73,12.25,17.28,0.00,1.54,15.11,8.82,19.03,18.38,5.69,14.48,15.47,21.92,12.42,16.58,13.73,0.00,0.96,0.00,15.69,15.41,20.86,0.00,11.09,23.59,0.00,,,,,,,,,,,,,,,
      Corporate income tax,2.84,1.68,3.05,3.19,2.67,3.85,2.01,3.24,4.47,2.46,2.88,0.91,2.50,4.85,5.02,1.96,3.62,2.09,2.04,1.88,1.84,4.80,5.88,3.07,2.30,1.88,2.15,2.52,0.00,5.89,3.18,1.99,3.25,3.00,2.64,1.59,1.83,1.78,3.22,1.57,1.41,1.33,3.64,0.00,2.11,1.93,1.72,0.00,2.84,3.18,0.00,,,,,,,,,,,,,,,
      Other taxes,2.33,1.81,7.74,1.91,0.78,3.24,1.05,2.25,2.41,5.55,0.56,0.40,0.26,1.24,0.70,1.00,2.46,4.12,3.50,1.71,2.33,0.99,4.84,0.79,0.50,0.62,10.31,0.54,2.06,2.19,1.17,5.04,1.40,0.50,4.10,0.29,3.58,0.66,2.42,0.63,0.55,1.01,1.50,2.10,0.55,2.38,1.25,9.27,2.66,0.92,14.09,,,,,,,,,,,,,,,
    Current charges,6.96,12.76,3.38,4.50,8.61,5.29,9.56,5.71,11.24,4.02,6.06,11.74,6.96,5.15,11.21,11.10,9.11,7.71,12.06,5.54,7.22,6.02,9.36,4.76,7.37,6.32,8.15,8.77,4.54,10.25,8.26,7.03,4.63,5.94,13.00,6.61,8.57,8.41,7.50,6.48,10.63,6.93,7.86,7.49,10.68,12.92,11.37,6.80,7.48,8.06,3.80,,,,,,,,,,,,,,,
    Miscellaneous general revenue,6.70,5.25,59.76,4.76,5.09,3.32,7.27,6.65,14.38,7.49,5.21,4.86,7.31,7.35,7.28,6.87,5.81,6.37,8.05,8.27,6.72,11.18,6.40,5.09,4.03,6.38,8.53,7.45,3.53,13.09,8.93,11.81,6.58,3.85,4.97,5.24,4.51,10.13,6.10,11.86,4.43,10.49,3.09,7.79,5.72,8.54,7.71,4.02,6.58,7.01,20.40,,,,,,,,,,,,,,,
  Utility revenue,0.38,0.00,0.24,0.12,0.00,0.11,0.00,0.14,0.19,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.46,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,1.27,0.00,2.37,0.00,0.00,0.00,2.25,0.00,0.00,0.22,4.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
  Liquor stores revenue,0.32,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.07,0.00,0.00,0.94,0.00,0.00,0.00,1.24,0.00,0.00,1.28,0.00,1.40,0.00,0.94,0.00,0.00,6.35,0.00,0.00,0.00,0.00,0.00,0.89,0.00,1.28,1.60,0.00,0.00,0.00,0.00,0.00,1.17,1.17,1.00,1.05,0.60,0.00,1.46,,,,,,,,,,,,,,,
  Insurance trust revenue,20.38,15.28,11.55,28.63,18.58,23.27,18.95,12.38,15.29,28.92,21.56,19.04,22.60,16.49,7.54,11.11,7.80,18.89,22.44,18.49,23.71,8.35,8.66,27.14,19.44,21.75,16.86,14.31,36.59,19.64,22.10,21.32,13.66,28.14,19.02,32.00,20.52,26.86,22.46,14.57,20.13,27.00,15.53,16.85,23.19,6.25,24.66,30.76,19.93,15.08,10.47,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,,
  Intergovernmental expenditure,29.98,24.91,16.94,37.69,26.04,42.43,28.02,18.10,17.06,31.97,29.03,2.51,29.17,27.64,34.16,28.72,32.66,22.21,23.13,18.49,22.38,22.86,41.25,32.70,30.81,27.27,21.84,27.16,35.48,13.08,22.64,29.01,31.22,32.22,21.43,28.60,28.16,27.53,24.89,13.82,23.15,21.97,26.56,27.47,22.98,15.49,27.57,26.43,21.40,39.17,32.71,,,,,,,,,,,,,,,
  Direct expenditure,70.02,75.09,83.06,62.31,73.96,57.57,71.98,81.90,82.94,68.03,70.97,97.49,70.83,72.36,65.84,71.28,67.34,77.79,76.87,81.51,77.62,77.14,58.75,67.30,69.19,72.73,78.16,72.84,64.52,86.92,77.36,70.99,68.78,67.78,78.57,71.40,71.84,72.47,75.11,86.18,76.85,78.03,73.44,72.53,77.02,84.51,72.43,73.57,78.60,60.83,67.29,,,,,,,,,,,,,,,
    Current operation,48.00,55.18,60.08,42.47,55.01,40.30,50.73,54.05,58.49,48.43,50.11,67.00,47.99,47.93,50.27,52.81,46.25,54.64,54.19,61.61,52.21,50.17,41.53,46.75,47.69,51.29,51.09,54.44,40.20,60.19,50.29,53.15,45.78,47.78,57.00,40.40,50.89,44.38,52.40,56.48,57.85,51.63,53.98,51.37,50.50,64.78,51.00,47.00,52.32,39.58,39.93,,,,,,,,,,,,,,,
    Capital outlay,6.93,5.50,6.59,6.67,9.30,3.01,7.97,5.83,10.00,8.48,9.22,11.11,8.07,5.63,7.11,8.18,9.98,8.58,8.02,4.31,7.46,10.72,4.34,6.02,10.86,8.06,10.62,10.26,8.21,6.92,8.58,5.19,7.39,8.43,10.16,7.44,6.64,5.79,5.37,5.76,6.37,14.05,9.61,7.19,15.89,5.66,8.67,7.28,8.69,5.47,13.05,,,,,,,,,,,,,,,
    Insurance benefits and repayments,9.81,8.06,9.45,9.23,6.56,11.27,10.35,11.26,6.32,6.33,6.69,10.22,9.74,10.31,5.49,6.52,8.34,9.23,10.00,8.36,10.43,7.10,7.88,9.53,7.40,7.33,10.50,3.97,11.46,6.26,13.61,7.90,9.75,7.86,7.90,17.86,10.10,17.64,10.99,12.93,7.88,5.56,6.07,9.13,6.25,4.83,6.09,12.97,12.51,11.11,10.05,,,,,,,,,,,,,,,
    Assistance and subsidies,2.31,4.87,2.78,2.78,1.57,0.97,0.80,3.98,1.98,2.13,3.17,3.27,2.10,3.97,1.29,2.57,1.74,2.20,1.81,3.58,3.82,2.54,2.67,3.32,1.57,2.93,1.83,1.92,1.02,2.47,0.98,2.74,1.07,2.14,1.45,3.53,1.80,2.24,3.40,4.21,1.89,1.57,2.41,3.06,2.23,3.93,3.45,3.94,1.52,1.35,1.36,,,,,,,,,,,,,,,
    Interest on debt,2.97,1.48,4.16,1.16,1.53,2.02,2.14,6.77,6.15,2.65,1.78,5.90,2.93,4.52,1.68,1.20,1.03,3.15,2.85,3.65,3.71,6.62,2.34,1.68,1.67,3.12,4.12,2.25,3.63,11.09,3.90,2.02,4.78,1.57,2.07,2.17,2.42,2.41,2.95,6.79,2.87,5.22,1.39,1.78,2.15,5.31,3.21,2.38,3.56,3.33,2.90,,,,,,,,,,,,,,,
Exhibit: Salaries and wages,15.05,18.37,16.85,17.11,19.04,11.86,19.82,18.51,23.95,17.89,15.48,25.79,17.06,12.35,15.13,16.37,18.43,18.52,21.17,13.34,17.16,12.90,14.38,16.55,16.12,16.54,16.39,21.96,16.90,17.05,17.73,16.94,11.80,17.09,17.74,12.72,18.13,14.14,12.69,18.95,19.85,16.03,15.92,13.72,18.97,19.20,17.80,16.78,12.70,12.73,13.62,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,,
  General expenditure,88.99,90.87,90.13,90.56,93.44,88.66,89.60,87.36,92.44,93.49,93.31,89.78,89.20,89.69,94.51,92.82,91.66,90.71,89.98,90.59,87.35,92.49,91.06,90.47,91.33,92.67,88.59,96.03,87.01,87.41,81.93,92.10,84.58,92.14,92.10,81.47,87.34,81.45,87.25,86.10,87.26,94.44,93.91,90.87,92.73,93.85,92.73,85.97,86.88,88.89,88.38,,,,,,,,,,,,,,,
    Intergovernmental expenditure,29.98,24.91,16.94,37.69,26.04,42.43,28.02,18.10,17.06,31.97,29.03,2.51,29.17,27.64,34.16,28.72,32.66,22.21,23.13,18.49,22.38,22.86,41.25,32.70,30.81,27.27,21.84,27.16,35.48,13.08,22.64,29.01,31.22,32.22,21.43,28.60,28.16,27.53,24.89,13.82,23.15,21.97,26.56,27.47,22.98,15.49,27.57,26.43,21.40,39.17,32.71,,,,,,,,,,,,,,,
    Direct expenditure,59.01,65.96,73.18,52.87,67.40,46.23,61.58,69.25,75.38,61.52,64.28,87.27,60.03,62.05,60.35,64.09,58.99,68.51,66.84,72.10,64.97,69.64,49.81,57.77,60.52,65.40,66.74,68.86,51.53,74.34,59.30,63.09,53.35,59.92,70.67,52.87,59.18,53.92,62.36,72.28,64.12,72.47,67.35,63.41,69.74,78.35,65.16,59.54,65.47,49.73,55.67,,,,,,,,,,,,,,,
"  General expenditure, by function:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Education,31.70,39.06,20.81,32.96,37.26,31.70,38.42,21.65,30.92,32.12,42.29,27.92,37.05,27.65,39.67,38.48,42.14,33.78,32.36,25.43,28.77,20.14,41.18,35.19,32.58,35.60,32.46,35.41,34.00,19.95,26.69,34.78,19.93,38.59,32.05,29.59,39.41,31.26,26.99,24.77,31.00,28.62,33.30,38.71,42.56,29.59,36.48,35.83,32.19,34.53,30.52,,,,,,,,,,,,,,,
    Public welfare,22.36,22.05,13.08,19.87,22.17,25.27,21.29,20.92,14.47,20.81,21.59,15.69,15.71,24.95,19.15,19.91,14.22,24.30,19.83,30.33,19.63,22.73,18.27,24.75,20.22,21.56,14.28,23.32,13.40,26.59,16.51,16.93,32.67,19.86,18.30,20.78,17.57,17.46,25.77,25.66,21.77,18.26,28.40,21.21,13.95,24.63,16.66,18.97,23.05,15.74,12.14,,,,,,,,,,,,,,,
    Hospitals,3.11,6.91,0.45,0.47,4.58,2.02,1.34,7.27,1.64,1.28,3.22,3.95,1.19,2.26,1.26,5.52,3.71,3.28,8.13,1.07,2.03,1.93,2.99,1.26,4.99,3.01,1.22,2.96,1.53,1.35,3.22,4.24,3.83,3.37,1.78,2.59,2.58,3.47,3.77,1.97,5.21,1.81,3.76,4.51,4.73,0.38,6.21,2.57,1.10,2.55,1.34,,,,,,,,,,,,,,,
    Health,3.77,4.04,2.78,4.93,3.35,5.31,2.50,2.77,5.31,4.69,3.14,4.61,2.47,4.86,2.45,2.00,3.82,2.35,2.55,5.46,4.66,5.14,5.88,2.54,2.67,3.94,5.79,4.57,1.71,3.52,2.57,3.55,2.69,3.91,1.80,3.78,3.42,2.76,3.34,3.27,4.62,2.67,3.54,2.84,2.46,2.55,2.61,4.73,1.84,2.75,3.59,,,,,,,,,,,,,,,
    Highways,6.84,6.43,9.48,8.95,9.62,3.85,8.77,4.72,8.30,8.30,5.90,4.24,10.49,6.94,9.99,10.85,12.20,8.66,6.58,7.07,7.23,8.78,5.84,6.74,9.30,8.35,10.70,12.05,7.21,9.15,5.88,11.61,3.17,8.44,12.74,6.71,8.66,7.39,7.52,4.78,5.24,15.48,9.30,6.89,12.52,9.60,10.87,6.68,11.29,7.08,13.85,,,,,,,,,,,,,,,
    Police protection,0.86,0.74,1.00,1.01,0.78,0.95,0.55,0.79,1.57,0.86,0.69,0.12,0.95,0.93,1.04,0.68,0.59,0.95,1.39,0.88,1.65,1.13,0.68,0.62,0.60,1.01,1.07,0.99,0.81,0.94,0.80,0.72,0.48,1.04,0.43,0.53,0.27,1.03,1.72,0.64,1.25,0.76,0.70,0.57,0.82,1.40,1.70,0.94,0.61,0.32,0.64,,,,,,,,,,,,,,,
    Correction,3.29,1.87,2.74,5.38,2.54,2.86,5.49,3.31,4.10,4.93,3.94,2.06,3.27,2.99,2.60,2.34,3.32,2.25,3.00,1.57,4.48,3.17,3.51,1.80,2.36,3.01,2.66,2.50,3.81,1.74,3.37,2.60,2.72,3.99,1.25,3.49,4.18,3.51,3.01,3.19,3.11,2.56,2.99,5.09,2.51,1.70,4.55,2.47,1.68,3.43,1.91,,,,,,,,,,,,,,,
    Natural resources,1.46,1.31,4.56,1.17,2.00,1.73,1.38,0.50,1.23,2.72,1.92,1.49,3.11,0.80,0.97,2.26,2.06,1.79,2.41,2.56,1.85,0.92,1.01,2.15,2.04,1.61,4.54,2.86,1.16,0.94,0.96,1.13,0.39,1.84,3.29,0.79,1.54,1.96,1.24,0.95,1.36,3.55,1.20,1.26,1.78,2.80,0.72,2.18,1.97,1.62,5.50,,,,,,,,,,,,,,,
    Parks and recreation,0.48,0.15,0.29,0.36,0.61,0.22,0.44,0.29,1.02,0.34,0.75,0.85,0.55,0.62,0.34,0.20,0.08,0.78,1.85,0.20,1.43,0.52,0.12,0.68,1.49,0.25,0.22,0.57,0.34,0.24,1.95,0.56,0.43,0.55,0.32,0.29,0.53,0.25,0.30,0.86,0.37,0.93,0.84,0.13,0.34,0.39,0.27,0.34,0.68,0.29,0.85,,,,,,,,,,,,,,,
    Governmental administration,3.29,2.32,5.95,3.15,3.23,3.10,2.96,4.66,7.93,4.26,2.44,4.66,3.28,2.97,2.53,3.54,3.43,3.70,2.84,3.77,4.22,3.93,2.02,3.63,2.49,3.60,5.35,2.70,3.79,4.58,3.71,3.67,4.00,2.54,2.82,2.67,3.69,4.91,2.80,4.93,2.13,3.93,2.44,2.57,4.74,6.17,4.20,2.03,3.94,2.51,3.95,,,,,,,,,,,,,,,
    Interest on general debt,2.88,1.48,3.87,1.13,1.53,2.01,2.10,6.77,6.15,2.65,1.78,5.90,2.93,4.52,1.68,1.20,1.03,3.15,2.85,3.65,3.71,6.53,2.34,1.68,1.67,3.12,4.12,2.25,3.23,11.09,3.87,2.02,4.23,1.57,2.07,2.17,1.65,2.41,2.95,6.79,1.63,5.22,1.39,1.78,2.15,5.31,3.21,2.38,3.56,3.33,2.90,,,,,,,,,,,,,,,
    Other and unallocable,8.96,4.52,25.12,11.19,5.77,9.64,4.34,13.70,9.81,10.53,5.65,18.29,8.19,10.19,12.83,5.82,5.06,5.72,6.20,8.60,7.68,17.58,7.21,9.43,10.92,7.62,6.17,5.87,16.02,7.32,12.41,10.27,10.03,6.46,15.25,8.10,3.83,5.04,7.84,8.28,9.56,10.65,6.06,5.30,4.17,9.32,5.25,6.87,4.98,14.75,11.20,,,,,,,,,,,,,,,
  Utility expenditure,0.90,0.00,0.42,0.21,0.00,0.07,0.05,1.38,1.24,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.00,2.22,0.41,0.00,0.00,0.00,0.00,0.00,0.00,1.54,0.02,4.46,0.00,5.67,0.00,0.00,0.00,2.56,0.01,0.00,0.96,4.86,0.00,0.03,0.00,0.00,0.17,0.03,0.00,0.05,0.00,0.00,,,,,,,,,,,,,,,
  Liquor stores expenditure,0.30,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.06,0.00,0.00,0.67,0.00,0.00,0.00,1.04,0.00,0.00,1.06,0.00,1.28,0.00,0.92,0.00,0.00,6.31,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.90,1.76,0.00,0.00,0.00,0.00,0.00,1.03,1.15,1.15,1.06,0.56,0.00,1.57,,,,,,,,,,,,,,,
  Insurance trust expenditure,9.81,8.06,9.45,9.23,6.56,11.27,10.35,11.26,6.32,6.33,6.69,10.22,9.74,10.31,5.49,6.52,8.34,9.23,10.00,8.36,10.43,7.10,7.88,9.53,7.40,7.33,10.50,3.97,11.46,6.26,13.61,7.90,9.75,7.86,7.90,17.86,10.10,17.64,10.99,12.93,7.88,5.56,6.07,9.13,6.25,4.83,6.09,12.97,12.51,11.11,10.05,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Debt at end of fiscal year,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Cash and security holdings,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per capita amounts (dollars),United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,,,,,,,,,,,,,
,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,Per capita,,,,,,,,,,,,,,,
Population (thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,"4,062.13","3,410.84","14,721.64","3,551.90","3,737.60","4,438.33","3,403.27","5,045.83","6,178.02","3,469.56","3,363.85","5,667.00","3,829.44","3,359.01","3,137.33","3,503.79","3,211.78","4,061.75","4,029.63","4,572.73","4,003.87","4,593.15","4,081.49","5,186.58","3,855.70","3,497.37","4,118.18","3,389.45","4,190.27","3,384.08","4,560.35","5,215.26","5,289.13","4,416.22","4,901.67","4,293.96","3,641.15","4,780.14","4,041.47","4,489.25","3,963.28","3,893.78","3,070.59","2,925.52","4,172.88","4,015.31","3,816.37","4,918.04","4,311.29","4,095.83","5,516.57",,,,,,,,,,,,,,,
  General revenue,"3,205.86","2,856.94","12,985.64","2,530.46","3,043.16","3,400.66","2,758.39","4,414.14","5,221.99","2,465.83","2,638.61","4,588.21","2,923.22","2,804.97","2,900.86","3,081.65","2,961.11","3,294.54","3,124.05","3,670.39","3,035.96","4,197.27","3,675.63","3,778.75","3,052.20","2,736.76","3,385.10","2,904.46","2,641.75","2,504.64","3,494.43","4,103.23","4,441.20","3,173.64","3,969.27","2,881.48","2,812.04","3,434.87","3,069.07","3,825.27","2,975.83","2,842.65","2,593.87","2,432.53","3,156.26","3,717.19","2,837.12","3,353.52","3,426.39","3,478.25","4,858.58",,,,,,,,,,,,,,,
