"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone	 not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Clinton County","KY","19.7","22.2","5.9","10.3","73.2","757","0.3","0.3","0.6","2.9","0.4","1.3","97.1","94.9","69.5","3985","5331","72800","2.52","32184","21019","1.1","197.25","3.1","93.0","-1","17.6","50.9","631","9253","10272","52.1","-1","59416","978","238","583","0","947","51","886"
"Clinton County","MI","17.5","22.1","5.5","32.1","94.5","5626","0.5","1.6","2.1","4.6","0.1","2.0","93.6","89.5","80.0","29728","32155","172800","2.61","70390","34761","3.1","566.41","4.3","89.8","625461","24.6","50.7","4668","79128","75382","133.1","55921","749244","6485","2101","3724","497","5832","378","5912"
"Clinton County","MO","18.2","23.2","5.7","21.6","92.0","1406","0.8","0.5","1.4","2.3","0.1","2.0","95.3","93.3","76.4","8177","9087","159700","2.45","62701","29081","1.4","418.96","1.5","86.5","-1","32.7","50.0","1728","21184","20743","49.5","13153","158016","1643","445","843","45","1550","129","1315"
"Clinton County","NY","17.7","17.9","4.8","22.9","87.6","4020","0.4","1.4","4.4","3.0","0.0","1.5","92.2","90.0","66.5","31301","36835","134100","2.33","56365","27761","4.3","1037.85","5.6","82.8","1279423","19.3","48.6","5821","79843","82128","79.1","139172","1385341","5155","1528","2842","176","4575","345","4392"
"Clinton County","OH","17.6","22.8","6.0","18.9","88.3","2573","0.3","0.6","2.2","1.7","0.1","2.2","94.7","93.3","64.6","16528","18229","128400","2.46","52815","26690","1.5","408.68","2.2","86.0","1029063","26.7","50.6","3042","42018","42040","102.9","75153","443085","3277","983","1810","72","3029","399","2648"
"Clinton County","PA","19.2","19.9","5.1","19.5","89.3","1897","0.2","0.7","1.7","1.6","0.1","1.1","96.2","94.9","70.2","14690","19298","136600","2.54","50923","25794","1.5","887.98","6.3","86.9","1676778","24.1","50.9","2895","37450","39238","44.2","58041","582590","2623","788","1369","91","2428","198","2286"
"Cloud County","KS","21.6","23.2","6.2","24.0","93.0","664","0.7","1.2","1.1","3.4","0.0","2.0","95.0","92.5","72.9","3689","4593","75800","2.33","45373","27279","1.9","715.34","3.7","83.7","-1","15.9","50.4","590","9032","9533","13.3","14054","136515","1053","358","506","35","971","47","905"
"Coahoma County","MS","16.0","27.0","7.9","16.5","79.5","1658","0.2","0.5","77.6","1.7","0.1","0.8","20.9","19.9","50.6","8782","10708","68300","2.56","29121","18985","0.5","552.44","1.4","85.5","288392","20.8","53.7","998","21390","26151","47.3","82277","295392","2075","965","907","1225","724","183","1752"
"Coal County","OK","21.0","23.7","6.9","17.3","82.7","468","19.9","0.3","0.9","4.4","-1.0","8.9","70.0","67.7","74.0","2227","2821","83800","2.48","40938","24055","1.1","516.68","4.1","88.3","-1","25.4","50.1","353","5266","5925","11.5","-1","41864","532","117","382","82","438","91","420"
"Cobb County","GA","12.7","23.3","6.1","47.4","92.1","83097","0.5","5.6","28.8","13.3","0.1","2.6","62.4","51.1","64.5","280374","304819","253900","2.64","77932","40031","15.7","339.55","20.9","83.9","8587163","31.9","51.5","41345","766149","688078","2026.4","1516090","10368694","80947","31390","41717","31280","46785","7431","69782"
"Cochise County","AZ","23.1","21.4","5.7","23.1","87.4","6885","1.8","2.3","4.5","35.7","0.4","3.3","87.7","54.8","68.9","50163","61601","146800","2.34","49260","26819","10.7","6165.69","28.3","83.7","140955","20.7","49.4","18217","125447","131346","21.3","173384","1267266","8545","3403","3768","2751","5263","1316","6462"
"Cochran County","TX","16.4","26.8","6.8","8.0","67.7","188","3.0","0.5","4.4","60.9","0.2","1.1","90.7","33.7","78.4","998","1352","38800","2.78","40962","21463","13.1","775.15","46.1","81.1","-1","26.9","49.3","92","2547","3127","4.0","-1","50218","309","102","122","162","136","0","266"
"Cocke County","TN","21.6","20.2","5.1","11.6","80.1","2159","0.6","0.5","2.1","2.6","0.1","1.7","95.0","92.9","67.1","14060","17664","112900","2.5","36716","21867","0.8","434.57","2.1","92.0","659601","28.1","51.5","2822","35999","35662","82.1","48174","340991","2098","776","1010","106","1900","273","1666"
"Coconino County","AZ","13.0","20.0","5.3","36.2","90.5","9691","27.4","2.1","1.5","14.3","0.2","3.1","65.7","54.1","61.0","47447","67504","280900","2.67","59460","27339","4.4","18618.89","24.0","76.9","2181292","18.6","50.7","7342","145101","134421","7.2","765727","1896542","10934","3998","4766","2106","8172","848","9317"
"Codington County","SD","18.3","23.7","6.1","21.5","91.5","2226","2.7","0.7","0.8","2.4","0.0","1.5","94.2","92.5","65.3","12075","13352","174500","2.27","56376","30043","1.8","688.5","2.4","85.5","1029900","14.8","49.8","2266","28325","27227","39.5","82625","649066","2955","941","1314","39","2778","203","2522"
"Coffee County","AL","17.3","23.7","6.1","22.8","85.9","2764","1.4","1.7","17.6","8.0","0.4","3.1","75.8","69.4","65.7","19924","23403","147400","2.56","55637","27806","4.0","678.97","6.4","82.2","1089871","22.7","50.8","6285","53465","49948","73.6","61277","610054","3690","1482","1847","716","2846","611","2867"
"Coffee County","GA","14.1","24.4","6.9","13.0","75.7","3086","0.5","0.9","28.8","12.1","0.1","1.5","68.2","57.3","63.1","14438","17422","100600","2.71","40859","19905","6.6","575.1","12.2","90.0","670414","19.8","48.6","2058","43092","42356","73.7","54669","487511","3684","1499","1913","845","2732","226","3279"
"Coffee County","TN","17.4","24.0","6.4","20.5","85.4","3795","0.5","1.2","4.0","4.7","0.1","2.3","92.0","88.0","68.1","21646","24490","141900","2.52","50351","26557","2.8","428.96","3.4","84.0","-1","23.7","51.2","4199","57889","52796","123.1","89827","827639","4824","1715","2619","375","4263","502","4069"
"Coffey County","KS","21.9","21.8","5.7","24.5","92.7","656","1.0","1.0","0.9","2.8","0.0","1.7","95.3","93.0","75.9","3585","4148","119100","2.27","59583","33371","0.4","626.95","1.0","85.1","-1","21.9","50.6","785","8360","8601","13.7","7150","111354","929","293","448","0","863","124","759"
"Coke County","TX","28.0","20.9","6.3","17.8","83.7","288","2.5","0.1","1.0","22.1","0.0","1.9","94.3","74.2","74.1","1644","2736","69100","1.95","45000","25285","4.0","911.47","10.8","87.9","-1","21.4","50.0","199","3285","3320","3.6","-1","32379","406","117","255","55","342","32","365"
"Colbert County","AL","20.0","20.9","5.7","18.1","85.2","3599","0.7","0.7","16.2","3.2","0.1","1.9","80.4","77.7","72.2","21880","26861","120800","2.48","48065","25536","1.9","592.62","2.7","90.6","2546996","23.4","52.2","3843","57227","54428","91.8","72753","1011336","5090","1872","2809","678","4244","472","4403"
"Cole County","MO","17.3","22.1","5.8","33.3","92.3","4965","0.4","1.4","12.2","2.9","0.1","2.2","83.7","81.4","66.3","30154","33624","162300","2.38","60066","30422","3.3","393.75","4.4","84.5","1877500","18.1","49.5","5172","77279","75990","193.0","132351","1257946","6476","2085","3343","522","5593","681","5250"
"Coleman County","TX","25.9","20.3","5.0","15.8","86.5","733","1.4","1.1","3.2","17.5","0.0","2.1","92.1","76.4","74.6","3423","5559","76500","2.42","46743","27752","5.6","1261.95","10.1","86.7","-1","24.8","49.1","667","7684","8895","7.0","-1","68168","835","234","504","36","754","169","647"
"Coles County","IL","17.5","17.9","4.8","26.0","91.4","2581","0.3","1.1","4.0","2.7","0.1","1.7","92.8","90.7","61.5","20926","23459","100500","2.27","46202","28084","2.2","508.29","3.8","77.2","-1","16.9","51.4","3060","46863","53873","106.0","84677","701272","3582","1004","1873","223","3143","350","2866"
"Colfax County","NE","13.8","29.5","8.8","15.4","69.3","579","3.5","1.3","5.8","45.7","0.5","1.2","87.6","47.7","72.3","3731","4252","101100","2.85","58872","23603","31.9","411.66","45.5","88.5","-1","18.9","46.5","331","10582","10515","25.5","-1","105973","769","213","387","150","588","45","678"
"Colfax County","NM","27.4","17.9","4.6","21.7","88.2","794","2.9","0.8","0.9","49.2","0.2","2.1","93.1","46.9","71.0","5853","10356","104800","1.98","36302","24035","3.2","3758.06","24.0","83.1","-1","16.9","49.2","1158","12387","13750","3.7","67041","151562","1167","319","596","306","786","126","838"
"Colleton County","SC","20.7","22.5","6.1","14.6","86.6","3140","0.9","0.5","37.1","3.3","0.1","1.8","59.7","57.2","74.9","15075","20251","90400","2.45","36324","21377","2.3","1056.49","3.2","93.6","137785","32.1","52.0","2684","38604","38892","36.8","65596","408338","3455","1345","1866","1001","2353","457","2873"
"Collier County","FL","32.9","16.8","4.3","36.4","87.1","43851","0.5","1.6","7.3","28.6","0.1","1.2","89.3","62.2","73.3","142979","222284","360800","2.57","69653","45567","25.4","1998.32","33.7","83.8","607484","24.7","50.7","27416","375752","321520","160.9","1406488","5304147","40670","13667","22178","10945","28411","4236","34539"
"Collin County","TX","11.3","25.6","6.1","52.3","93.8","101380","0.7","16.3","10.9","15.5","0.1","2.8","69.3","55.1","65.0","341163","390216","315300","2.84","96913","44548","21.1","841.23","28.7","85.1","8652862","28.9","50.8","41918","1064465","782341","930.0","1892304","14623924","82009","28588","43440","24828","54508","6983","71627"
"Collingsworth County","TX","19.0","25.0","5.7","20.2","73.9","230","3.2","0.5","6.4","34.0","-1.0","2.0","87.9","57.5","75.3","1035","1598","52200","2.81","39120","25681","8.8","918.44","23.4","90.6","-1","13.1","51.0","169","2652","3057","3.3","1241","15787","192","96","84","57","124","0","165"
"Colonial Heights city","VA","20.4","22.8","6.1","25.5","91.5","-1","0.3","4.2","15.3","5.9","0.1","3.1","75.5","72.3","62.9","7036","-1","171700","2.45","54550","28364","7.3","7.52","10.3","82.5","-1","24.3","53.8","1681","18170","17411","2315.3","99888","763254","1600","430","871","236","1193","150","1269"
"Colorado County","TX","22.6","23.0","6.2","21.0","83.1","1948","1.1","0.7","12.5","30.7","0.1","1.9","83.7","55.7","82.4","7450","10801","124400","2.8","52559","29552","10.0","960.27","21.6","91.6","556576","23.9","49.6","1002","20557","20874","21.7","33414","256499","2086","458","1220","558","1453","319","1569"
"Colquitt County","GA","16.1","25.6","6.6","12.8","74.7","2975","1.2","0.9","23.8","19.6","0.2","1.3","72.7","55.4","63.0","15505","18753","85600","2.88","36435","20529","9.9","544.15","17.9","83.8","760075","22.6","50.6","2431","45898","45498","83.6","-1","460046","3851","1531","2067","1371","2359","404","3217"
"Columbia County","AR","17.7","20.6","5.7","19.6","85.9","1304","0.6","0.9","35.6","2.8","0.0","1.3","61.4","59.5","70.4","8562","11696","81900","2.57","36193","21189","1.7","766.05","3.2","84.9","602802","17.2","51.7","1332","22801","24552","32.1","30753","197023","1647","572","793","242","1315","110","1430"
"Columbia County","FL","19.3","21.5","5.8","14.9","86.1","4267","0.6","1.0","18.7","6.7","0.1","1.9","77.7","71.8","71.4","25133","29300","124200","2.59","46494","24275","3.9","797.57","6.8","81.1","249044","24.8","48.2","7137","69698","67531","84.7","106605","815928","4574","1436","2473","640","3659","537","3707"
"Columbia County","GA","14.0","25.1","6.3","36.4","92.7","11171","0.4","4.3","18.8","7.1","0.2","3.3","73.0","67.4","79.5","47215","59836","203400","3.18","82339","34579","7.1","290.09","9.5","88.2","2023663","26.6","51.2","17438","156010","124053","427.6","153214","1580571","9544","3673","5002","2412","6917","1177","7884"
"Columbia County","NY","24.4","17.0","4.2","32.7","90.3","6383","0.3","2.0","5.3","5.0","0.1","2.3","90.0","86.1","73.7","24966","33698","233600","2.32","66787","38268","6.7","634.71","7.1","90.9","462642","26.3","50.0","3975","61570","63096","99.4","72656","748848","7454","2155","4460","456","6701","901","6189"
"Columbia County","OR","19.2","20.8","5.3","18.5","91.3","2869","1.5","1.1","0.8","5.6","0.2","3.9","92.4","87.8","75.4","19671","21602","264900","2.59","62257","31883","2.7","657.36","3.5","83.3","458268","33.9","49.9","4859","52589","49351","75.1","42862","318072","3032","1065","1286","178","2711","277","2466"
"Columbia County","PA","20.1","17.5","4.3","22.9","90.3","3362","0.3","1.2","2.0","3.0","0.1","1.2","95.3","93.0","69.2","26372","30425","151700","2.32","50550","26787","2.1","483.11","2.7","88.6","1613375","22.8","51.9","4136","64727","67295","139.3","109255","904832","4590","1162","2771","121","4221","557","3750"
"Columbia County","WA","28.5","18.0","4.7","25.6","91.2","222","1.8","1.4","0.7","7.9","2.0","3.0","91.1","84.4","67.9","1795","2175","179400","2.18","53423","36551","7.4","868.63","8.9","85.3","-1","19.2","51.2","393","3952","4078","4.7","3153","30494","376","191","142","51","312","0","348"
"Columbia County","WI","18.4","21.0","5.4","23.3","92.7","3805","0.8","0.8","1.7","3.7","0.1","1.3","95.3","92.3","74.4","24112","27036","192900","2.31","68005","34984","2.6","765.53","5.3","87.8","2530526","26.7","48.9","3802","58490","56833","74.2","157987","795235","5217","1085","2810","79","4898","565","4209"
"Columbiana County","OH","21.2","20.2","5.2","14.9","88.5","6017","0.2","0.3","2.5","1.9","0.0","1.7","95.2","93.7","73.5","41537","46850","109400","2.39","48345","26469","1.1","531.89","2.6","88.7","1443150","25.5","49.3","8254","101877","107841","202.7","102934","1126378","7526","2499","4074","109","7201","631","6626"
"Columbus County","NC","20.6","20.7","5.2","13.8","83.0","3506","3.8","0.5","30.6","5.6","0.1","1.9","63.1","59.1","72.5","21580","26425","88900","2.46","37628","22608","2.7","937.29","6.0","88.1","900932","27.0","50.4","3657","50623","58098","62.0","52247","553126","4395","1294","2596","823","3388","502","3573"
"Colusa County","CA","14.9","27.1","6.9","15.0","71.3","1051","2.8","1.6","1.3","60.4","0.6","2.7","91.1","34.1","61.0","7227","8125","265200","2.94","59401","26932","27.0","1150.73","51.7","87.8","474519","25.7","49.1","830","21839","21419","18.6","97807","127885","1138","306","539","397","656","55","944"
"Comal County","TX","18.3","22.5","5.7","36.8","92.6","15676","0.9","1.4","2.7","28.1","0.1","2.0","92.9","66.5","74.9","51367","63391","282300","2.74","79936","38991","6.2","559.48","18.0","86.1","960302","31.8","50.5","13697","161501","108472","193.9","304924","1894490","11805","3981","6111","2337","8888","1372","9707"
"Comanche County","KS","25.5","23.7","5.4","16.0","93.9","176","1.1","0.5","0.5","7.9","0.2","1.9","95.8","88.9","79.6","751","1028","70300","2.22","54821","30355","0.6","788.3","3.2","93.4","-1","11.8","51.3","99","1689","1891","2.4","1531","18733","231","32","99","0","222","37","188"
"Comanche County","OK","12.9","23.5","6.9","22.2","90.0","5058","6.7","2.8","17.3","13.5","0.7","6.8","65.7","55.9","53.1","42842","51644","124600","2.62","52161","26449","5.5","1069.29","8.8","72.1","-1","17.3","48.1","15996","121125","124098","116.1","220487","1407794","6293","2044","3164","1418","4487","947","4798"
"Comanche County","TX","24.4","22.1","5.8","20.3","84.5","1117","1.3","0.7","1.1","28.6","0.1","1.5","95.4","68.7","80.0","5487","7444","105000","2.43","53516","26728","7.9","937.75","22.0","93.0","-1","24.6","50.2","909","13594","13974","14.9","-1","138127","1025","254","490","130","809","100","841"
"Concho County","TX","25.3","18.2","4.8","13.0","67.9","244","0.9","1.8","2.2","34.7","0.0","1.3","93.7","60.5","75.2","912","1669","101500","2.41","47500","21420","26.3","983.8","35.3","80.6","-1","23.5","46.8","208","3303","4087","4.2","-1","17131","139","0","90","0","110","0","96"
"Concordia Parish","LA","17.8","23.7","6.5","14.1","80.2","1184","0.5","0.4","39.8","1.7","0.0","1.0","58.3","56.9","66.1","7162","9686","80600","2.48","32500","19092","1.6","696.92","2.8","86.4","79685","25.2","49.1","878","18687","20822","29.9","17890","275384","1574","443","837","376","1114","100","1318"
"Conecuh County","AL","23.5","20.5","5.3","12.8","84.3","734","0.6","0.2","46.1","2.3","0.0","1.4","51.8","50.4","76.1","4553","7223","81000","2.71","37837","19769","0.9","850.16","0.4","96.7","79712","27.9","52.3","575","11597","13228","15.6","6234","136398","833","303","438","236","567","81","722"
"Conejos County","CO","19.9","25.2","6.1","21.0","88.0","638","4.0","0.9","1.0","51.3","0.2","2.3","91.6","45.7","79.4","3183","4483","120500","2.53","36084","20640","1.8","1287.39","29.5","89.8","-1","23.1","49.9","544","7461","8256","6.4","3949","35930","758","197","439","385","353","52","646"
"Contra Costa County","CA","16.3","22.4","5.6","42.4","89.5","100779","1.0","18.3","9.5","26.0","0.6","5.4","65.1","42.7","65.9","394769","418707","625800","2.87","99716","48178","25.4","715.94","35.8","87.6","33681206","38.7","51.1","46968","1165927","1049025","1465.2","1659988","11847866","93083","34296","47721","35831","53403","7291","81940"
"Converse County","WY","17.2","24.4","6.3","17.3","90.8","1110","1.2","0.5","0.7","8.4","0.1","1.8","95.7","88.4","73.7","5378","6699","206700","2.58","69647","33693","1.9","4254.88","8.5","85.9","-1","26.3","48.9","1385","13751","13833","3.3","-1","141457","1358","480","698","47","1239","216","1054"
"Conway County","AR","19.7","22.6","6.0","15.6","87.0","1382","0.9","0.4","11.4","4.0","0.0","2.5","84.8","81.4","67.3","8309","9885","107600","2.49","42802","25158","2.4","552.25","3.2","86.2","384398","25.0","50.8","1745","20715","21273","38.5","13926","287615","1341","477","677","147","1143","135","1137"
"Cook County","GA","16.8","25.0","6.5","13.5","79.1","1167","0.4","0.7","27.9","6.0","0.1","1.5","69.4","64.2","66.4","6217","7487","87500","2.74","41854","20128","2.5","227.16","4.7","88.8","201847","25.8","52.0","1022","17229","17212","75.8","-1","136640","1406","452","804","258","1093","188","1183"
"Cook County","IL","15.1","21.6","6.0","38.8","87.1","492996","0.7","7.9","23.8","25.6","0.1","2.0","65.4","42.0","56.9","1972108","2204019","246600","2.59","64660","37552","21.1","945.33","35.3","87.4","79526980","33.4","51.4","156000","5275541","5194675","5495.1","14553105","62767358","549686","216929","291278","216374","319115","38665","495450"
"Cook County","MN","29.3","15.1","4.1","40.4","97.1","753","8.6","1.0","1.4","2.4","0.0","2.9","86.1","84.6","76.9","2691","6249","240100","1.97","57432","33194","4.9","1452.28","6.8","85.6","12461","14.4","50.1","386","5600","5176","3.6","46837","66659","933","185","608","26","845","27","803"
"Cooke County","TX","18.9","23.6","6.7","20.9","86.1","3622","1.4","1.0","3.6","18.9","0.1","2.0","92.0","74.4","69.3","15351","17076","161100","2.57","60202","30704","8.9","874.76","14.8","83.8","999722","25.0","50.1","2459","41668","38437","43.9","61564","543416","3919","1161","2089","668","3022","363","3327"
"Cooper County","MO","18.3","21.6","5.7","22.1","88.7","1092","0.6","0.7","7.0","2.1","0.1","2.6","89.1","87.7","72.6","6397","7495","132900","2.51","52735","23961","1.0","564.77","2.8","85.9","-1","27.1","47.9","1238","17103","17601","31.2","-1","301246","1062","292","411","38","965","129","835"
"Coos County","NH","24.2","16.1","4.0","18.2","87.8","2271","0.5","0.6","0.9","1.9","0.0","1.5","96.4","94.8","70.7","13768","21723","128000","2.14","47117","27393","3.3","1794.69","10.5","85.6","189307","21.4","47.4","2886","31268","33055","18.4","81038","566621","3208","822","1834","100","2982","476","2556"
"Coos County","OR","26.5","18.3","4.8","17.8","88.8","3791","3.0","1.3","0.6","6.8","0.3","4.4","90.4","84.9","65.9","27025","31368","198100","2.32","45051","27582","3.4","1596.17","5.4","84.1","315734","19.1","50.6","7366","64929","63043","39.5","126230","745808","4388","1283","2289","394","3755","577","3400"
"Coosa County","AL","24.1","16.4","4.3","12.8","80.0","426","0.6","0.2","30.9","2.6","0.2","1.4","66.8","65.1","79.2","4032","6635","84000","2.57","38990","23694","0.5","650.93","0.7","89.1","-1","28.8","50.0","931","10387","11539","17.7","-1","37904","460","159","276","86","363","25","427"
"Copiah County","MS","18.3","22.7","5.9","14.5","80.2","2040","0.3","0.4","51.9","3.3","0.0","1.1","46.3","43.9","77.2","9414","12381","95200","2.93","42151","20093","1.6","777.24","2.9","93.4","626768","30.9","52.0","1091","28368","29449","37.9","16808","181455","2104","920","1000","922","1109","376","1613"
"Corson County","SD","12.0","36.6","10.4","17.8","83.8","145","65.4","0.6","0.5","5.3","0.0","3.3","30.2","29.0","53.8","1195","1544","58500","3.47","35759","16449","0.3","2469.69","14.9","98.7","-1","21.6","50.3","251","3902","4050","1.6","-1","15148","160","66","71","55","97","0","123"
"Cortland County","NY","16.9","19.2","5.2","28.0","90.7","2395","0.4","1.1","2.1","2.8","0.0","2.0","94.5","92.3","65.6","17745","20872","123800","2.5","56023","28229","1.9","498.76","3.3","84.1","711373","21.2","51.1","2769","46809","49336","98.9","100992","694401","3063","821","1867","108","2814","490","2340"
"Coryell County","TX","10.6","22.6","6.7","16.1","88.0","3221","1.2","2.2","17.7","18.9","1.0","4.5","73.5","57.6","57.9","22322","27089","114300","2.71","52893","22400","6.8","1052.07","13.7","77.6","-1","22.2","50.2","10289","83093","75388","71.7","60701","493604","2562","825","1413","513","1969","348","2049"
"Coshocton County","OH","19.8","23.9","6.5","13.2","85.5","2405","0.3","0.4","1.2","1.2","0.0","1.6","96.5","95.6","74.0","14476","16420","99200","2.5","46606","23432","0.7","563.91","8.6","87.3","1195138","24.4","50.4","2301","36612","36901","65.4","32754","307273","2945","859","1454","52","2744","267","2468"
"Costilla County","CO","26.9","19.1","4.8","19.3","81.0","275","5.3","1.6","2.1","61.2","0.2","2.9","87.9","33.9","69.0","1746","2880","113000","2.14","30965","21732","9.2","1226.95","43.5","89.9","-1","22.9","48.6","406","3499","3524","2.9","-1","11670","235","95","82","128","93","0","180"
"Cottle County","TX","24.2","23.0","5.7","16.8","76.2","137","0.5","0.1","11.2","24.2","0.1","2.1","86.1","63.8","56.2","707","945","46600","2.32","32305","19797","2.5","900.56","20.0","79.5","-1","15.4","51.3","86","1380","1505","1.7","-1","11641","86","0","32","0","39","0","51"
"Cotton County","OK","20.5","22.1","5.5","13.7","84.5","287","10.0","0.3","2.4","8.4","0.3","6.2","80.8","75.7","77.8","2195","2990","76700","2.61","50885","23564","0.5","632.65","3.2","87.7","-1","23.4","50.8","491","5527","6193","9.8","2673","36863","466","184","247","67","379","65","381"
"Cottonwood County","MN","23.1","24.6","6.6","20.0","89.4","820","0.9","4.1","1.3","8.4","0.4","2.0","91.3","84.7","78.1","4846","5436","94200","2.27","52087","27459","6.5","638.61","10.0","89.3","1059603","16.8","49.9","753","11517","11687","18.3","9655","102814","1028","288","526","44","912","127","785"
"Covington County","AL","21.4","22.0","5.9","15.3","83.4","2312","0.8","0.5","12.5","1.9","0.0","1.7","84.5","83.1","74.5","14852","19068","97600","2.46","42189","23687","0.8","1030.46","1.7","89.1","671895","25.0","51.6","2898","37570","37765","36.6","33061","452011","2657","891","1468","375","2177","181","2287"
"Covington County","MS","17.2","24.5","6.4","14.7","83.2","1511","0.2","0.4","36.1","2.4","0.0","1.2","62.0","60.3","78.2","6759","8761","77100","2.77","38178","19180","0.6","413.79","1.2","96.7","432024","28.8","51.2","1027","18340","19568","47.3","-1","188345","1778","770","757","741","991","153","1527"
"Covington city","VA","20.2","20.5","5.9","15.6","87.3","-1","0.0","1.2","13.1","2.4","0.2","3.5","82.1","81.0","74.5","2384","-1","72900","2.31","40655","25309","3.4","5.47","2.3","90.9","-1","16.5","52.1","418","5737","5961","1090.1","-1","158331","430","80","253","55","330","0","364"
"Coweta County","GA","14.3","24.1","5.9","30.3","89.2","12141","0.4","2.2","18.4","7.3","0.1","2.0","76.8","70.5","72.8","52035","56539","211600","2.74","75913","33875","5.7","440.89","8.2","86.6","1908865","31.1","51.3","10112","146158","127317","288.8","168514","1479459","10794","4016","5928","2967","7503","1247","8903"
"Cowley County","KS","18.8","23.4","6.0","21.8","90.7","1920","2.3","1.9","2.8","11.2","0.5","3.6","88.9","79.2","67.4","13499","16209","89000","2.45","50102","24726","3.6","1125.75","6.7","83.2","2043862","19.1","49.7","2330","34549","36311","32.3","48017","337100","2604","1022","1229","257","2242","91","2357"
"Cowlitz County","WA","19.3","22.8","6.1","17.0","89.3","4618","2.1","1.6","1.1","9.3","0.4","3.7","91.1","83.2","66.1","41952","45282","219300","2.52","54506","28876","4.0","1140.13","6.9","80.9","3264480","25.7","50.5","9522","110730","102410","89.8","124212","1188331","5848","1795","2698","483","4934","682","4554"
"Craig County","OK","20.1","21.4","5.1","14.7","86.8","900","21.5","0.7","3.2","4.0","0.1","9.4","65.1","62.5","69.5","5422","6741","109000","2.44","43329","21318","1.5","761.35","3.2","86.2","89850","21.7","48.8","850","14107","15029","19.7","14362","204927","1380","375","698","330","891","189","1090"
"Craig County","VA","24.1","17.5","4.1","23.6","90.8","277","0.4","0.2","0.4","1.6","-1.0","0.9","98.1","96.8","76.4","2297","2907","165800","2.22","55708","30103","0.2","329.53","0.7","89.5","-1","33.9","50.2","320","4892","5190","15.7","-1","18648","200","74","94","0","188","0","181"
"Craighead County","AR","14.0","25.0","7.0","26.2","89.3","8431","0.5","1.3","16.8","5.3","0.1","1.9","79.5","74.9","57.1","41375","46934","140700","2.5","47286","26948","4.0","707.21","5.7","76.9","2101745","19.0","51.5","5425","111231","96443","136.4","-1","1680884","8947","2668","4666","1088","7482","1065","7219"
"Crane County","TX","12.4","28.9","7.3","14.7","79.5","347","1.5","1.0","3.7","66.1","0.1","1.5","92.2","29.3","85.6","1421","1695","100400","3.31","65969","27893","15.7","785.07","45.2","93.6","-1","29.2","49.6","192","4675","4375","5.6","-1","30225","378","111","198","161","183","0","328"
"Craven County","NC","19.7","21.3","6.2","25.3","88.8","6270","0.7","2.9","21.4","7.6","0.2","3.0","71.8","65.6","62.9","41226","47674","157900","2.36","52687","29521","4.7","708.96","8.4","81.4","1261429","20.5","49.5","11691","100720","103505","146.0","-1","1213554","6409","2680","2912","1153","4952","779","5173"
"Crawford County","AR","17.2","24.3","6.4","16.0","85.0","3947","2.6","1.5","1.7","8.1","0.1","3.3","90.7","83.6","76.0","23958","27078","115200","2.59","46828","24547","4.0","593.09","7.2","86.1","1207843","22.3","50.6","4298","60133","61948","104.4","64835","525417","4474","1274","2559","487","3817","638","3567"
"Crawford County","GA","19.4","20.2","4.6","10.5","83.1","787","0.7","1.3","20.8","3.6","0.1","1.4","75.7","72.8","77.9","4510","5409","93400","2.7","46283","23204","0.9","324.89","1.6","89.1","-1","29.4","49.5","913","12130","12630","38.9","1399","23119","801","371","391","233","540","60","713"
"Crawford County","IA","17.9","25.1","6.7","14.3","80.2","897","1.3","2.5","3.6","28.9","0.3","1.0","91.4","64.6","69.1","6437","7068","93400","2.55","55755","29196","17.1","714.19","30.4","89.7","1657856","16.7","49.0","805","16525","17096","23.9","14923","184393","1392","328","678","72","1251","97","1145"
"Crawford County","IL","19.4","19.8","5.4","17.1","85.0","1305","0.4","0.7","5.2","2.3","0.0","1.2","92.5","90.5","77.7","7666","8695","87800","2.16","49779","26546","1.7","443.63","4.3","85.0","-1","15.9","47.5","1226","18679","19817","44.7","17240","187142","1457","313","811","100","1296","172","1068"
