"State","Year","Population.12-17","Population.18-25","Population.26+","Totals.Alcohol.Use Disorder Past Year.12-17","Totals.Alcohol.Use Disorder Past Year.18-25","Totals.Alcohol.Use Disorder Past Year.26+","Rates.Alcohol.Use Disorder Past Year.12-17","Rates.Alcohol.Use Disorder Past Year.18-25","Rates.Alcohol.Use Disorder Past Year.26+","Totals.Alcohol.Use Past Month.12-17","Totals.Alcohol.Use Past Month.18-25","Totals.Alcohol.Use Past Month.26+","Rates.Alcohol.Use Past Month.12-17","Rates.Alcohol.Use Past Month.18-25","Rates.Alcohol.Use Past Month.26+","Totals.Tobacco.Cigarette Past Month.12-17","Totals.Tobacco.Cigarette Past Month.18-25","Totals.Tobacco.Cigarette Past Month.26+","Rates.Tobacco.Cigarette Past Month.12-17","Rates.Tobacco.Cigarette Past Month.18-25","Rates.Tobacco.Cigarette Past Month.26+","Totals.Illicit Drugs.Cocaine Used Past Year.12-17","Totals.Illicit Drugs.Cocaine Used Past Year.18-25","Totals.Illicit Drugs.Cocaine Used Past Year.26+","Rates.Illicit Drugs.Cocaine Used Past Year.12-17","Rates.Illicit Drugs.Cocaine Used Past Year.18-25","Rates.Illicit Drugs.Cocaine Used Past Year.26+","Totals.Marijuana.New Users.12-17","Totals.Marijuana.New Users.18-25","Totals.Marijuana.New Users.26+","Rates.Marijuana.New Users.12-17","Rates.Marijuana.New Users.18-25","Rates.Marijuana.New Users.26+","Totals.Marijuana.Used Past Month.12-17","Totals.Marijuana.Used Past Month.18-25","Totals.Marijuana.Used Past Month.26+","Rates.Marijuana.Used Past Month.12-17","Rates.Marijuana.Used Past Month.18-25","Rates.Marijuana.Used Past Month.26+","Totals.Marijuana.Used Past Year.12-17","Totals.Marijuana.Used Past Year.18-25","Totals.Marijuana.Used Past Year.26+","Rates.Marijuana.Used Past Year.12-17","Rates.Marijuana.Used Past Year.18-25","Rates.Marijuana.Used Past Year.26+","Totals.Tobacco.Use Past Month.12-17","Totals.Tobacco.Use Past Month.18-25","Totals.Tobacco.Use Past Month.26+","Rates.Tobacco.Use Past Month.12-17","Rates.Tobacco.Use Past Month.18-25","Rates.Tobacco.Use Past Month.26+"
"Mississippi","2006","259663","330771","1756337","10","47","92","0.038763","0.143575","0.052244","32","160","679","0.122597","0.482821","0.386748","24","124","472","0.093352","0.374473","0.268622","2","12","24","0.008176","0.037557","0.013465","11","10","1","0.041893","0.045682","0.001099","12","40","57","0.047285","0.120502","0.032696","24","67","91","0.093502","0.202884","0.051929","31","146","588","0.121274","0.44187","0.33504"
"Missouri","2006","494026","633170","3701021","29","121","237","0.058283","0.191311","0.064132","81","405","1955","0.163528","0.638877","0.528317","59","265","1091","0.119226","0.418437","0.294758","8","38","59","0.0159","0.060787","0.015896","24","21","2","0.05173","0.062833","0.001116","32","90","145","0.064227","0.141907","0.039304","62","157","266","0.125593","0.247966","0.071971","70","301","1256","0.140955","0.476154","0.339481"
"Montana","2006","79003","105557","611324","6","25","45","0.081705","0.240881","0.07367","15","71","355","0.187655","0.675925","0.580875","10","42","137","0.121072","0.394987","0.224324","1","9","9","0.014319","0.080862","0.014803","4","3","0","0.065346","0.08313","0.001052","7","23","39","0.093974","0.219416","0.063403","13","38","49","0.163151","0.360686","0.079402","13","53","179","0.166315","0.499413","0.293442"
"Nebraska","2006","149456","209102","1085658","10","43","76","0.065324","0.205634","0.06978","27","142","604","0.180779","0.677898","0.55616","16","82","264","0.10794","0.39256","0.242845","2","12","14","0.012434","0.058342","0.012689","7","7","1","0.046557","0.055854","0.001","8","29","36","0.055693","0.136559","0.0331","16","52","58","0.105077","0.249327","0.053198","19","94","313","0.130427","0.450153","0.288084"
"Nevada","2006","211067","243884","1609285","13","43","109","0.06325","0.175809","0.068017","32","147","904","0.149985","0.600754","0.561583","21","90","435","0.100487","0.368648","0.27038","4","16","27","0.02057","0.066161","0.016926","9","6","1","0.055421","0.054466","0.001356","15","35","72","0.070515","0.142309","0.044613","29","61","120","0.138234","0.249673","0.074315","25","101","484","0.118463","0.412928","0.300454"
"New Hampshire","2006","111310","134161","868239","7","30","57","0.062736","0.221715","0.065893","20","99","570","0.180397","0.737446","0.656746","11","55","191","0.099359","0.406965","0.219758","2","12","15","0.01719","0.091045","0.017069","6","5","1","0.063167","0.107704","0.001344","10","35","47","0.086439","0.259262","0.054579","18","55","81","0.15785","0.410359","0.093821","14","62","223","0.126127","0.465325","0.257174"
"New Jersey","2006","727090","852072","5662105","38","136","301","0.051605","0.159365","0.053132","131","561","3295","0.179893","0.658523","0.582009","66","316","1205","0.091193","0.37069","0.212806","10","48","80","0.013145","0.056052","0.014149","36","26","3","0.052888","0.058339","0.000955","42","127","171","0.057687","0.148497","0.030258","89","231","344","0.121946","0.271673","0.060807","84","362","1437","0.115639","0.424444","0.253792"
"New Mexico","2006","172181","226537","1198968","11","41","76","0.065394","0.180143","0.063228","29","134","548","0.167997","0.592614","0.457197","20","94","264","0.117839","0.414278","0.219795","4","17","23","0.021428","0.077061","0.019489","9","6","1","0.075666","0.080741","0.000991","15","43","54","0.087281","0.190645","0.045258","28","71","82","0.161747","0.314348","0.068106","26","107","324","0.150167","0.470708","0.270208"
"New York","2006","1579916","2179143","12397704","74","342","663","0.046523","0.157062","0.053474","300","1417","7177","0.190026","0.650329","0.578877","130","734","2767","0.082103","0.336843","0.223153","21","154","274","0.013165","0.070581","0.022069","80","74","8","0.057596","0.067558","0.00108","117","437","570","0.074333","0.200599","0.045963","220","690","986","0.139329","0.316844","0.079539","163","829","3120","0.103486","0.380524","0.251657"
"North Carolina","2006","728599","907260","5664014","31","140","302","0.042194","0.15377","0.05324","103","486","2521","0.141319","0.535358","0.445044","80","354","1453","0.109558","0.390439","0.256613","9","62","106","0.012693","0.06836","0.018757","36","27","4","0.053267","0.055018","0.001095","45","140","201","0.062248","0.154646","0.035561","86","234","355","0.11823","0.257861","0.062625","98","398","1766","0.134098","0.438462","0.311841"
"North Dakota","2006","50947","88579","388842","4","20","29","0.079162","0.226675","0.074801","11","67","243","0.212102","0.753957","0.623889","6","35","92","0.124254","0.400262","0.236032","1","4","4","0.013167","0.047265","0.010989","2","3","0","0.052139","0.061035","0.000915","3","11","13","0.05018","0.118576","0.0342","6","20","19","0.114818","0.230177","0.048647","8","42","111","0.152978","0.476693","0.286506"
"Ohio","2006","971766","1226839","7315244","55","233","484","0.056584","0.18995","0.066099","175","811","3883","0.180476","0.661159","0.53075","125","557","2073","0.128913","0.453691","0.283389","14","90","135","0.014479","0.073631","0.018495","55","43","5","0.064733","0.070009","0.001176","71","213","289","0.073514","0.17388","0.039485","139","363","516","0.142661","0.295957","0.070473","159","637","2459","0.163951","0.519604","0.336114"
"Oklahoma","2006","299621","410759","2202862","14","66","123","0.046617","0.159616","0.055641","43","227","971","0.144946","0.553553","0.440948","40","172","683","0.132093","0.417923","0.31","4","22","28","0.014517","0.053258","0.012611","14","12","1","0.050691","0.054643","0.001054","19","51","82","0.062125","0.125208","0.037077","35","85","129","0.116634","0.206943","0.058786","49","199","810","0.162508","0.483372","0.36793"
"Oregon","2006","297325","387123","2436662","16","61","134","0.05322","0.157523","0.055007","52","237","1457","0.175421","0.610971","0.598119","29","131","553","0.096918","0.338551","0.227143","6","26","42","0.019492","0.066391","0.017259","17","14","2","0.067347","0.08071","0.001343","23","71","139","0.078085","0.184325","0.057079","48","131","231","0.160903","0.337901","0.094783","40","153","666","0.135047","0.39494","0.273211"
"Pennsylvania","2006","1018244","1324878","8099649","50","234","422","0.049104","0.176506","0.052116","174","847","4532","0.171174","0.639052","0.559561","128","515","2027","0.125681","0.388366","0.250223","14","80","120","0.013372","0.06024","0.014806","52","48","5","0.057184","0.06711","0.000961","70","210","279","0.069086","0.158627","0.034418","136","378","501","0.133217","0.285294","0.061906","154","606","2451","0.150966","0.457394","0.302587"
"Rhode Island","2006","85339","127016","683457","5","24","48","0.054753","0.187727","0.069757","18","95","450","0.216156","0.751338","0.659035","10","53","164","0.114723","0.42027","0.240612","2","12","22","0.020009","0.098399","0.032783","5","5","0","0.075851","0.108721","0.001234","8","38","47","0.097663","0.300214","0.068878","16","56","73","0.184846","0.44426","0.106653","12","61","195","0.142846","0.479884","0.285049"
"South Carolina","2006","362886","457237","2759373","18","76","179","0.050189","0.165344","0.064766","53","267","1370","0.145298","0.583308","0.496456","43","196","808","0.118681","0.428506","0.292805","4","26","43","0.011774","0.05674","0.015736","17","14","2","0.049872","0.06124","0.001044","19","63","90","0.052979","0.138187","0.032455","41","111","160","0.111684","0.242234","0.057896","51","217","927","0.13993","0.474303","0.336069"
"South Dakota","2006","66722","91328","484977","5","21","36","0.069027","0.227206","0.074122","12","66","292","0.187071","0.721211","0.602754","8","38","119","0.126227","0.417088","0.245782","1","5","6","0.012132","0.054732","0.011385","3","3","0","0.047037","0.060017","0.000994","4","13","18","0.057669","0.142019","0.036976","8","23","25","0.114252","0.24741","0.05069","11","46","146","0.158942","0.499792","0.300674"
"Tennessee","2006","496587","620435","3921118","27","112","238","0.055037","0.180016","0.060784","67","323","1654","0.135564","0.520139","0.421836","65","264","1204","0.12995","0.425967","0.30702","7","52","80","0.014857","0.083136","0.020466","24","19","3","0.05575","0.058191","0.001167","30","101","153","0.061231","0.162522","0.038929","62","165","276","0.125666","0.26668","0.070402","79","303","1417","0.159718","0.489031","0.361278"
"Texas","2006","2105817","2699382","13969152","105","398","856","0.050082","0.14732","0.061278","311","1565","7079","0.147784","0.579668","0.50678","199","929","3540","0.094731","0.344279","0.253415","43","156","233","0.020397","0.057928","0.016687","95","70","10","0.051409","0.045412","0.001062","115","297","385","0.054706","0.110131","0.027562","236","554","693","0.112224","0.20514","0.049589","239","1078","4201","0.113259","0.39923","0.300769"
"Utah","2006","243193","370864","1398474","11","47","74","0.043256","0.127475","0.052929","24","131","463","0.098515","0.353614","0.330841","15","94","239","0.062456","0.252531","0.171223","3","22","20","0.013852","0.059662","0.014281","9","9","1","0.034193","0.031091","0.001375","11","37","37","0.043198","0.098444","0.026417","21","63","58","0.087651","0.168938","0.041159","19","100","283","0.07924","0.270496","0.202687"
"Vermont","2006","50946","68687","415768","3","15","27","0.059708","0.213532","0.0642","11","49","262","0.213506","0.71218","0.631237","6","28","92","0.115381","0.412738","0.221721","1","7","8","0.015856","0.104732","0.019788","3","3","0","0.081474","0.114109","0.001151","6","20","28","0.109031","0.291595","0.067522","9","31","44","0.185242","0.445308","0.106256","8","34","116","0.151778","0.489292","0.279647"
"Virginia","2006","617354","798995","4833297","30","142","288","0.048824","0.177788","0.059649","98","520","2686","0.159327","0.65129","0.555789","68","316","1122","0.1101","0.395432","0.232134","9","64","92","0.015","0.07988","0.019036","30","26","3","0.054569","0.06675","0.001154","47","148","215","0.076269","0.18574","0.044478","82","236","318","0.132863","0.295064","0.065697","77","358","1332","0.123978","0.447611","0.27561"
"Washington","2006","534929","672222","4127451","30","116","260","0.056829","0.172867","0.063044","96","434","2379","0.179041","0.6451","0.576374","52","233","887","0.097686","0.345967","0.214843","10","52","75","0.018562","0.077624","0.018087","26","23","3","0.055514","0.069816","0.001263","40","128","232","0.074011","0.190554","0.056214","76","212","343","0.141429","0.315005","0.083158","70","275","1087","0.131218","0.409775","0.263248"
"West Virginia","2006","136317","181656","1221268","6","30","60","0.045712","0.166562","0.048721","21","100","449","0.151423","0.547924","0.367768","17","82","380","0.124389","0.452109","0.311073","2","15","19","0.015685","0.082734","0.015591","6","6","1","0.052822","0.06449","0.000889","9","30","41","0.063977","0.164205","0.033803","17","48","72","0.127688","0.265997","0.058864","23","95","464","0.167305","0.520861","0.379659"
"Wisconsin","2006","467728","619449","3562535","30","144","260","0.064407","0.23238","0.0729","92","449","2322","0.195825","0.72408","0.651813","58","273","976","0.123114","0.440476","0.274016","8","42","59","0.017004","0.068015","0.016548","25","21","3","0.061544","0.072548","0.001117","33","100","142","0.070601","0.161807","0.03985","63","193","236","0.135599","0.310917","0.066376","72","301","1125","0.15349","0.485208","0.315844"
"Wyoming","2006","42925","59433","327096","3","13","25","0.080591","0.216913","0.076331","9","42","192","0.204537","0.707964","0.585848","6","28","92","0.146969","0.4712","0.282058","1","5","5","0.015969","0.08163","0.015737","2","2","0","0.067516","0.089292","0.001219","3","11","15","0.080773","0.181262","0.04593","7","18","23","0.155255","0.309674","0.071665","9","33","116","0.212257","0.553397","0.355771"
"Alabama","2007","383012","499641","2945019","17","65","158","0.045596","0.131019","0.053541","50","262","1234","0.130411","0.524713","0.419022","43","192","804","0.113181","0.38397","0.272868","4","20","36","0.010322","0.039479","0.012175","16","15","2","0.045213","0.046279","0.001078","20","65","90","0.052351","0.129917","0.030587","42","103","163","0.10852","0.207027","0.055397","56","237","956","0.147446","0.473836","0.324691"
"Alaska","2007","62685","75733","402686","3","13","25","0.055828","0.173506","0.0627","9","47","241","0.142873","0.616401","0.597247","6","29","96","0.091419","0.387944","0.239215","1","6","10","0.01714","0.078195","0.023837","3","2","0","0.061479","0.072432","0.001555","5","15","29","0.080049","0.202775","0.072042","9","25","46","0.150352","0.334176","0.113748","9","34","119","0.136285","0.446308","0.294504"
"Arizona","2007","537098","672122","3970487","32","118","259","0.060259","0.175244","0.065195","86","407","2241","0.160495","0.604926","0.564538","50","233","955","0.093541","0.346677","0.240488","11","53","96","0.020627","0.079478","0.024222","25","22","3","0.054975","0.067064","0.001243","35","108","157","0.065748","0.160837","0.039644","73","188","275","0.136691","0.279259","0.069282","60","278","1108","0.110919","0.413057","0.279068"
"Arkansas","2007","232677","293615","1798383","12","48","101","0.053003","0.163035","0.056089","34","158","811","0.147727","0.539559","0.450748","31","129","564","0.131562","0.438075","0.313455","3","16","29","0.012307","0.054446","0.015952","10","9","1","0.049327","0.065813","0.001289","13","46","69","0.056759","0.155053","0.038406","27","81","140","0.114474","0.2747","0.077617","35","142","655","0.15018","0.48446","0.364462"
"California","2007","3209102","4257978","22463775","179","714","1389","0.055925","0.167796","0.061817","475","2462","11946","0.147934","0.578177","0.531786","213","1215","4371","0.066251","0.285424","0.194592","51","261","367","0.01585","0.061256","0.016316","157","170","19","0.055822","0.071455","0.001302","221","736","1037","0.068799","0.172889","0.04616","425","1254","1782","0.13245","0.294413","0.079338","269","1410","5074","0.083681","0.331231","0.225877"
"Colorado","2007","387018","520149","3099040","27","117","222","0.068692","0.224637","0.07156","74","371","2045","0.190211","0.712626","0.659816","38","219","751","0.09873","0.421769","0.242225","8","54","84","0.020721","0.104029","0.027215","22","18","2","0.074241","0.093812","0.001843","35","122","212","0.091267","0.234395","0.068407","64","185","299","0.166154","0.356056","0.096527","55","250","905","0.141317","0.480944","0.292181"
"Connecticut","2007","292219","356482","2270009","18","69","152","0.062254","0.193955","0.066909","54","247","1476","0.184208","0.694144","0.6503","26","132","481","0.089979","0.370585","0.211893","5","23","39","0.016193","0.064365","0.016973","17","12","2","0.065952","0.072507","0.001313","23","71","96","0.077891","0.19784","0.04208","40","123","169","0.136444","0.345547","0.074431","33","153","583","0.11399","0.428126","0.256692"
"Delaware","2007","69899","92374","555898","3","16","33","0.047075","0.175769","0.059029","11","62","324","0.155207","0.673484","0.582316","7","37","145","0.096731","0.400869","0.261513","1","6","12","0.011184","0.06675","0.021677","3","3","0","0.053768","0.085359","0.001264","5","20","26","0.071903","0.221084","0.046013","10","32","43","0.137926","0.343938","0.076563","9","41","168","0.12464","0.43882","0.302888"
"District of Columbia","2007","37001","84647","382077","1","16","31","0.032611","0.189924","0.080549","6","61","238","0.153966","0.724457","0.622009","3","29","104","0.068781","0.34376","0.272663","0","5","16","0.005966","0.054765","0.042654","2","3","0","0.06832","0.08384","0.002097","3","20","26","0.072093","0.237239","0.067865","5","31","43","0.138453","0.367415","0.111346","3","32","113","0.09345","0.374698","0.295641"
"Florida","2007","1368710","1777472","12159193","66","273","764","0.047918","0.153641","0.062827","221","1037","6794","0.161544","0.583154","0.558734","125","614","2937","0.091265","0.34564","0.241548","20","99","186","0.014668","0.055531","0.015327","64","58","7","0.051703","0.058111","0.00105","90","278","492","0.065489","0.156205","0.040436","169","463","849","0.123323","0.260407","0.06982","156","718","3501","0.113668","0.403789","0.287911"
"Georgia","2007","824664","999107","5874242","32","137","325","0.038451","0.136703","0.05537","108","543","3041","0.130885","0.543697","0.517629","81","368","1556","0.098056","0.368303","0.264838","9","49","102","0.010862","0.048631","0.017427","37","34","5","0.052416","0.059523","0.001473","45","147","227","0.05409","0.147214","0.038672","100","248","440","0.120805","0.248706","0.074962","110","421","1884","0.133551","0.421706","0.320698"
"Hawaii","2007","95794","128777","828347","5","23","59","0.056627","0.176606","0.071275","12","75","420","0.126381","0.586108","0.506842","7","46","175","0.069232","0.358267","0.211395","1","7","14","0.015275","0.055002","0.016523","5","4","0","0.06554","0.078045","0.000707","7","22","41","0.070893","0.173119","0.049735","13","38","59","0.136346","0.292883","0.070794","10","50","194","0.099676","0.388492","0.233917"
"Idaho","2007","132932","163520","913888","8","28","51","0.056848","0.16884","0.056055","16","84","414","0.123087","0.512013","0.45321","12","54","196","0.08793","0.331056","0.214306","2","9","8","0.014132","0.052301","0.008318","6","5","1","0.052843","0.053357","0.001247","9","24","36","0.070734","0.145533","0.039792","17","41","55","0.125398","0.252378","0.060652","14","62","230","0.108867","0.378333","0.251168"
"Illinois","2007","1082534","1442935","8046718","56","269","547","0.051677","0.186413","0.068021","173","936","4672","0.159574","0.64842","0.580553","111","563","1994","0.102632","0.390002","0.24783","13","74","133","0.011709","0.051219","0.016569","52","50","5","0.054559","0.064052","0.001222","67","210","296","0.061805","0.145582","0.036735","127","376","533","0.117725","0.260832","0.066206","140","639","2356","0.128974","0.442677","0.292811"
"Indiana","2007","535015","677663","4001008","28","111","222","0.052391","0.164313","0.055601","84","394","2092","0.156929","0.582004","0.522993","64","286","1084","0.120002","0.421343","0.271039","7","43","64","0.013011","0.063822","0.015875","27","26","3","0.058043","0.074073","0.001155","41","114","170","0.075782","0.168662","0.042497","71","186","279","0.131989","0.27409","0.069837","81","321","1313","0.151512","0.474061","0.328068"
"Iowa","2007","244378","340717","1894591","15","63","127","0.063025","0.185544","0.067039","38","226","1075","0.15506","0.662992","0.567394","25","118","445","0.103822","0.347634","0.234659","3","14","13","0.011354","0.041571","0.006888","11","11","1","0.045071","0.050472","0.000946","13","29","40","0.051285","0.086173","0.020907","24","61","70","0.096349","0.180008","0.037151","31","141","542","0.126639","0.414902","0.286175"
"Kansas","2007","232244","321431","1708875","14","65","108","0.059693","0.202764","0.063234","36","212","911","0.15487","0.660102","0.533082","26","135","410","0.110385","0.421064","0.240026","3","19","18","0.01425","0.057721","0.01028","11","11","1","0.052933","0.064661","0.001074","15","43","58","0.062671","0.134736","0.033667","27","81","95","0.117321","0.251312","0.055341","31","158","501","0.132919","0.493013","0.293339"
"Kentucky","2007","339631","425520","2745161","14","57","129","0.040892","0.133612","0.046817","47","228","1144","0.138291","0.535685","0.416704","49","200","879","0.143882","0.470589","0.320246","4","25","35","0.012891","0.059906","0.012585","19","14","2","0.064848","0.06256","0.00138","22","68","109","0.063754","0.159251","0.039568","43","109","191","0.125803","0.256154","0.069599","61","231","1055","0.179955","0.543179","0.384454"
"Louisiana","2007","370852","513946","2648484","15","74","163","0.040798","0.143756","0.061665","57","309","1320","0.153695","0.601894","0.498513","35","183","718","0.094974","0.356218","0.270957","4","26","63","0.009517","0.051336","0.023778","17","17","2","0.045225","0.054396","0.001153","19","70","88","0.052254","0.136458","0.033121","40","118","162","0.107297","0.228638","0.061029","43","213","831","0.116491","0.415407","0.313749"
"Maine","2007","102760","125395","897986","5","23","50","0.051358","0.180761","0.055336","17","80","494","0.164574","0.637889","0.549718","11","54","231","0.109744","0.426996","0.257413","1","10","16","0.01337","0.07849","0.017782","6","5","1","0.064102","0.085001","0.001427","9","29","53","0.091257","0.233801","0.059255","16","46","75","0.156857","0.364747","0.083857","13","58","266","0.127783","0.463145","0.296023"
"Maryland","2007","469557","598009","3582541","22","104","234","0.046143","0.173899","0.065245","69","394","2101","0.147155","0.659286","0.586445","37","190","755","0.078045","0.31804","0.210609","5","29","63","0.010346","0.048269","0.017675","26","25","3","0.059261","0.077087","0.001199","30","99","123","0.062834","0.165953","0.034201","61","176","258","0.129566","0.294043","0.071882","44","220","902","0.093768","0.367489","0.251833"
"Massachusetts","2007","506225","733229","4219456","27","142","278","0.052871","0.193146","0.065941","92","521","2722","0.181047","0.710929","0.645171","40","230","815","0.07829","0.31401","0.193188","7","47","64","0.013374","0.063518","0.015177","30","28","3","0.071578","0.090986","0.001468","41","161","184","0.081371","0.220109","0.043569","78","261","329","0.154242","0.356609","0.077915","55","288","987","0.108219","0.392473","0.233999"
"Michigan","2007","869168","1086307","6405116","47","191","406","0.054051","0.175825","0.0634","136","720","3706","0.156827","0.662734","0.578553","91","431","1608","0.104282","0.396636","0.251013","10","68","101","0.011347","0.062458","0.015768","43","41","5","0.05684","0.079897","0.001338","64","209","314","0.073572","0.19204","0.048992","118","349","497","0.136082","0.321217","0.077561","114","497","1923","0.131012","0.4572","0.300221"
"Minnesota","2007","429517","576248","3308617","29","135","267","0.066999","0.234199","0.080598","74","422","2208","0.171562","0.73296","0.667362","48","248","791","0.11071","0.430431","0.23893","7","37","57","0.015626","0.063755","0.017255","19","20","2","0.048991","0.081142","0.001305","28","121","158","0.066002","0.20953","0.047757","53","191","245","0.123447","0.331852","0.073989","59","284","948","0.137936","0.492201","0.286483"
"Mississippi","2007","256834","329777","1764673","10","47","91","0.038166","0.14102","0.051818","31","161","705","0.118886","0.487232","0.399426","23","117","454","0.09059","0.354213","0.257531","2","10","18","0.006572","0.031554","0.010087","11","11","1","0.042006","0.046892","0.000999","11","38","54","0.044608","0.115221","0.030647","23","63","84","0.09133","0.190252","0.04773","29","138","568","0.112577","0.419126","0.321607"
"Missouri","2007","488564","623849","3738674","28","115","232","0.057267","0.184529","0.061922","74","388","1978","0.150721","0.621834","0.52912","56","249","1020","0.113996","0.398416","0.272726","6","37","54","0.01327","0.059644","0.014362","23","20","2","0.053217","0.064418","0.001256","31","95","137","0.062987","0.152859","0.03651","60","159","242","0.123363","0.255312","0.064669","68","293","1219","0.139692","0.470345","0.325987"
"Montana","2007","78003","105436","621245","5","25","44","0.070306","0.234436","0.070069","15","71","381","0.187962","0.677006","0.612808","8","40","138","0.10839","0.382457","0.222879","1","8","9","0.012863","0.077159","0.014578","4","4","0","0.067982","0.08564","0.001144","7","24","36","0.086464","0.229928","0.058073","13","37","50","0.163945","0.352277","0.080091","12","51","181","0.156008","0.487707","0.291121"
"Nebraska","2007","147219","208669","1092664","9","40","74","0.063224","0.194039","0.068151","24","139","643","0.163565","0.667643","0.588741","15","78","263","0.104481","0.374288","0.240626","2","10","10","0.012084","0.045601","0.009084","7","7","1","0.050072","0.050746","0.001029","9","28","34","0.063213","0.13505","0.031573","17","50","61","0.116036","0.238609","0.0559","20","91","310","0.133786","0.438059","0.283327"
"Nevada","2007","213693","241972","1646368","13","42","111","0.060903","0.175389","0.067306","31","142","917","0.143896","0.586179","0.557071","21","85","452","0.099518","0.350407","0.274436","5","17","31","0.021226","0.069532","0.019044","10","7","2","0.057274","0.062291","0.00154","16","39","75","0.075762","0.163176","0.045621","32","67","128","0.150489","0.276107","0.077462","25","97","501","0.116951","0.402207","0.304152"
"New Hampshire","2007","109279","132548","872225","6","27","53","0.056276","0.204233","0.060891","20","99","584","0.184554","0.747499","0.668993","10","48","190","0.094652","0.365324","0.217812","2","10","13","0.014783","0.072242","0.015149","6","6","1","0.069438","0.108794","0.00169","10","35","55","0.094315","0.265339","0.063186","19","55","87","0.1708","0.415644","0.100187","14","57","228","0.123807","0.428122","0.261073"
"New Jersey","2007","715118","858459","5652902","32","144","313","0.044403","0.167673","0.055414","108","545","3254","0.151703","0.634844","0.575622","52","288","1270","0.073407","0.334917","0.224706","9","44","72","0.011887","0.050874","0.012687","30","27","4","0.041979","0.058112","0.001033","41","137","172","0.056908","0.159904","0.03045","75","230","299","0.104235","0.268232","0.052898","69","318","1457","0.096025","0.37072","0.257758"
"New Mexico","2007","167079","226011","1217991","10","43","75","0.058826","0.189559","0.061244","26","132","581","0.152864","0.5825","0.477012","18","86","261","0.105103","0.382563","0.214561","3","14","15","0.01652","0.063931","0.012691","9","7","1","0.071208","0.08571","0.001127","14","37","48","0.08271","0.164127","0.039592","26","64","76","0.157841","0.282835","0.062226","22","99","311","0.131062","0.438541","0.255555"
"New York","2007","1559314","2218415","12500501","74","377","702","0.047594","0.170141","0.056168","271","1453","7276","0.174098","0.655152","0.58202","129","740","2595","0.082977","0.333566","0.207612","20","143","261","0.012508","0.064631","0.020877","78","76","9","0.057224","0.067316","0.00126","122","473","535","0.078263","0.213108","0.042833","222","717","940","0.142539","0.323362","0.075191","163","852","2959","0.104421","0.384183","0.236729"
"North Carolina","2007","730031","926614","5782173","31","151","328","0.042541","0.163078","0.056694","103","533","2744","0.141497","0.57516","0.47451","80","361","1538","0.109907","0.389707","0.265907","8","57","128","0.010589","0.061232","0.022094","41","32","5","0.064608","0.064289","0.001352","50","153","244","0.069071","0.165556","0.042148","97","252","407","0.133348","0.271534","0.070407","99","408","1841","0.135932","0.440532","0.318422"
"North Dakota","2007","49767","89213","391328","3","20","26","0.068583","0.222449","0.067355","10","67","238","0.204315","0.754633","0.608302","6","36","91","0.11558","0.40349","0.23332","1","4","3","0.010729","0.042105","0.008632","2","3","0","0.05115","0.067023","0.000922","3","10","14","0.053393","0.115541","0.034934","5","22","19","0.105144","0.242973","0.047757","7","44","109","0.147138","0.495261","0.279043"
"Ohio","2007","956958","1210200","7350420","53","219","483","0.055685","0.181221","0.065753","155","780","3947","0.16248","0.644735","0.536916","109","523","2045","0.11371","0.432542","0.278235","12","71","97","0.01227","0.058588","0.013191","51","42","6","0.059706","0.07031","0.001348","71","204","282","0.074474","0.168494","0.038394","132","348","494","0.138254","0.287758","0.067219","142","618","2465","0.148173","0.510338","0.335342"
"Oklahoma","2007","295908","408764","2229744","14","69","122","0.04752","0.168448","0.054782","39","232","957","0.13192","0.568779","0.429381","36","165","603","0.121896","0.402934","0.270576","4","19","22","0.013858","0.047686","0.009704","14","13","1","0.048585","0.054592","0.001008","18","47","76","0.059809","0.115718","0.034142","34","84","129","0.114992","0.205259","0.058017","43","190","737","0.14486","0.465428","0.33073"
"Oregon","2007","295639","383360","2477185","17","69","161","0.058505","0.179343","0.064845","50","250","1563","0.167914","0.652234","0.630821","28","133","611","0.095315","0.345722","0.246738","5","34","63","0.016106","0.088134","0.025414","17","16","2","0.070909","0.09469","0.001692","24","84","161","0.081648","0.218897","0.064941","49","142","253","0.165457","0.369494","0.102052","43","162","737","0.145044","0.422054","0.29745"
"Pennsylvania","2007","998611","1325852","8116495","48","235","444","0.048208","0.177369","0.054703","167","858","4592","0.167164","0.6469","0.565763","118","507","2069","0.117816","0.382212","0.254899","14","81","134","0.013856","0.061341","0.016462","48","45","5","0.053507","0.067257","0.001071","69","203","267","0.069422","0.153238","0.032944","123","357","472","0.123139","0.268928","0.058137","144","596","2484","0.144476","0.449291","0.306017"
"Rhode Island","2007","83372","126249","680188","4","23","42","0.0533","0.179341","0.062022","17","94","437","0.207367","0.747971","0.641926","8","50","162","0.097888","0.396611","0.23767","1","13","23","0.016264","0.100485","0.033242","5","5","1","0.07462","0.106563","0.001561","8","38","51","0.093888","0.303829","0.074418","15","56","70","0.176688","0.441113","0.102796","10","59","187","0.125743","0.464282","0.275174"
