"Year","Country.Name","Country.Code","Country.GDP","Country.Population","Emissions.Production.CH4","Emissions.Production.N2O","Emissions.Production.CO2.Cement","Emissions.Production.CO2.Coal","Emissions.Production.CO2.Gas","Emissions.Production.CO2.Oil","Emissions.Production.CO2.Flaring","Emissions.Production.CO2.Other","Emissions.Production.CO2.Total","Emissions.Global Share.CO2.Cement","Emissions.Global Share.CO2.Coal","Emissions.Global Share.CO2.Gas","Emissions.Global Share.CO2.Oil","Emissions.Global Share.CO2.Flaring","Emissions.Global Share.CO2.Total"
"2004","Cyprus","CYP","21687285760.0","1010410","0.67","0.39","0.808","0.137","0.001","6.777","0.0","0.0779999999999994","7.801","0.09","0.0","0.0","0.06","0.0","0.03"
"2005","Cyprus","CYP","22703857664.0","1027657","0.67","0.36","0.788","0.152","0.001","6.941","0.0","0.07299999999999951","7.955","0.08","0.0","0.0","0.06","0.0","0.03"
"2006","Cyprus","CYP","23948568576.0","1045508","0.67","0.36","0.821","0.151","0.001","7.128","0.0","0.08199999999999896","8.183","0.08","0.0","0.0","0.06","0.0","0.03"
"2007","Cyprus","CYP","25336385536.0","1063708","0.67","0.37","0.812","0.119","0.001","7.484","0.0","0.0860000000000003","8.502","0.07","0.0","0.0","0.07","0.0","0.03"
"2008","Cyprus","CYP","26560141312.0","1081568","0.68","0.36","0.818","0.111","0.001","7.702","0.0","0.08200000000000074","8.714","0.07","0.0","0.0","0.07","0.0","0.03"
"2009","Cyprus","CYP","26331576320.0","1098089","0.68","0.38","0.673","0.059","0.001","7.682","0.0","0.053999999999998494","8.469","0.06","0.0","0.0","0.07","0.0","0.03"
"2010","Cyprus","CYP","26927026176.0","1112617","0.69","0.39","0.555","0.071","0.001","7.438","0.0","0.03500000000000014","8.1","0.04","0.0","0.0","0.07","0.0","0.02"
"2011","Cyprus","CYP","27264894976.0","1124837","0.69","0.38","0.546","0.031","0.001","7.183","0.0","0.024999999999999467","7.786","0.04","0.0","0.0","0.06","0.0","0.02"
"2012","Cyprus","CYP","26403463168.0","1135046","0.69","0.38","0.505","0.001","0.001","6.732","0.0","0.0229999999999988","7.262","0.04","0.0","0.0","0.06","0.0","0.02"
"2013","Cyprus","CYP","24831176704.0","1143866","0.69","0.34","0.752","0.001","0.001","5.814","0.0","0.0129999999999999","6.581","0.05","0.0","0.0","0.05","0.0","0.02"
"2014","Cyprus","CYP","24451190784.0","1152297","0.7","0.34","0.974","0.009","0.0","5.954","0.0","0.0129999999999999","6.95","0.07","0.0","0.0","0.05","0.0","0.02"
"2015","Cyprus","CYP","24862126080.0","1160987","0.71","0.35","0.877","0.015","0.0","6.067","0.0","0.01100000000000012","6.97","0.06","0.0","0.0","0.05","0.0","0.02"
"2016","Cyprus","CYP","25590757376.0","1170189","0.73","0.35","0.883","0.002","0.0","6.474","0.0","0.014000000000000234","7.373","0.06","0.0","0.0","0.05","0.0","0.02"
"2017","Cyprus","CYP","26706794496.0","1179685","0.74","0.36","0.923","0.012","0.0","6.572","0.0","0.016000000000000014","7.523","0.06","0.0","0.0","0.05","0.0","0.02"
"2018","Cyprus","CYP","27790155776.0","1189262","0.74","0.36","0.848","0.054","0.0","6.418","0.0","0.019999999999999574","7.34","0.05","0.0","0.0","0.05","0.0","0.02"
"1992","Czechia","CZE","131887431680.0","10353021","20.66","5.95","2.468","105.754","13.634","21.218","0.396","1.1470000000000198","144.617","0.46","1.25","0.34","0.23","0.17","0.64"
"1993","Czechia","CZE","133712371712.0","10358694","19.72","5.37","2.195","100.747","13.806","20.404","0.378","1.1040000000000134","138.634","0.39","1.18","0.34","0.22","0.16","0.61"
"1994","Czechia","CZE","139362828288.0","10360964","18.52","5.55","2.208","94.877","13.952","19.82","0.368","1.1450000000000102","132.37","0.37","1.11","0.34","0.21","0.16","0.58"
"1995","Czechia","CZE","149915926528.0","10358190","17.99","5.53","2.005","94.803","15.627","17.677","0.362","1.1270000000000095","131.601","0.32","1.07","0.37","0.19","0.15","0.56"
"1996","Czechia","CZE","158347427840.0","10350302","17.76","5.75","2.116","95.167","18.039","18.038","0.35","1.2450000000000045","134.955","0.33","1.05","0.41","0.19","0.15","0.56"
"1997","Czechia","CZE","159287115776.0","10338346","17.4","5.49","2.083","90.827","18.432","17.593","0.345","1.4449999999999932","130.725","0.32","1.01","0.42","0.18","0.14","0.54"
"1998","Czechia","CZE","160811499520.0","10323244","16.71","5.41","2.068","83.589","18.421","19.269","0.34","1.6219999999999999","125.309","0.32","0.95","0.41","0.2","0.15","0.52"
"1999","Czechia","CZE","165213880320.0","10306404","15.86","5.13","1.963","75.689","18.471","18.499","0.314","1.6780000000000257","116.614","0.29","0.87","0.4","0.18","0.14","0.48"
"2000","Czechia","CZE","174508441600.0","10289374","14.98","5.53","1.937","86.838","18.131","18.089","0.322","1.8100000000000023","127.127","0.27","0.96","0.38","0.18","0.12","0.5"
"2001","Czechia","CZE","182134898688.0","10271019","14.68","5.87","1.629","84.827","19.297","19.141","0.332","1.7980000000000018","127.024","0.22","0.94","0.4","0.18","0.12","0.5"
"2002","Czechia","CZE","187506016256.0","10252264","14.14","4.9","1.403","82.689","18.536","19.217","0.334","1.7609999999999957","123.94","0.18","0.87","0.38","0.19","0.12","0.48"
"2003","Czechia","CZE","196738662400.0","10239131","14.07","4.99","1.485","83.939","18.968","20.939","0.323","1.7590000000000146","127.413","0.18","0.82","0.37","0.2","0.11","0.47"
"2004","Czechia","CZE","209118199808.0","10239444","13.65","5.19","1.627","83.362","19.115","21.97","0.314","1.7810000000000343","128.169","0.18","0.77","0.36","0.2","0.1","0.45"
"2005","Czechia","CZE","225438384128.0","10258165","14.04","5.09","1.625","80.628","18.755","22.572","0.314","1.7850000000000108","125.679","0.17","0.7","0.35","0.2","0.09","0.42"
"2006","Czechia","CZE","244024344576.0","10298609","14.29","4.96","1.748","81.843","18.412","22.379","0.336","1.7749999999999915","126.493","0.17","0.67","0.33","0.2","0.1","0.41"
"2007","Czechia","CZE","260810031104.0","10357535","13.82","4.99","2.043","83.596","17.456","23.044","0.303","1.8649999999999807","128.307","0.18","0.65","0.31","0.2","0.09","0.41"
"2008","Czechia","CZE","271304294400.0","10425267","13.92","4.92","1.996","78.643","17.294","22.989","0.298","1.7750000000000057","122.995","0.18","0.59","0.29","0.21","0.08","0.38"
"2009","Czechia","CZE","261474025472.0","10488155","13.59","4.69","1.566","73.361","16.313","22.165","0.259","1.5750000000000028","115.239","0.13","0.56","0.28","0.2","0.07","0.36"
"2010","Czechia","CZE","270895333376.0","10536514","13.82","4.55","1.469","74.689","18.394","21.149","0.267","1.6350000000000051","117.603","0.12","0.53","0.3","0.19","0.07","0.35"
"2011","Czechia","CZE","279860772864.0","10566512","13.77","4.71","1.665","73.727","16.822","20.925","0.262","1.766999999999996","115.168","0.12","0.5","0.26","0.18","0.07","0.33"
"2012","Czechia","CZE","277620523008.0","10581302","13.62","5.14","1.517","70.732","16.622","20.467","0.266","1.6850000000000023","111.289","0.11","0.47","0.26","0.18","0.07","0.32"
"2013","Czechia","CZE","276285980672.0","10586529","12.82","4.99","1.332","67.318","16.822","19.648","0.201","1.2050000000000125","106.526","0.09","0.45","0.26","0.17","0.05","0.3"
"2014","Czechia","CZE","283780743168.0","10591104","12.76","5.1","1.483","65.367","15.106","20.703","0.203","1.2329999999999899","104.095","0.1","0.43","0.23","0.18","0.05","0.29"
"2015","Czechia","CZE","296649588736.0","10601390","12.76","5.55","1.558","64.743","15.909","21.268","0.192","1.1950000000000074","104.865","0.11","0.44","0.23","0.18","0.05","0.3"
"2016","Czechia","CZE","303850717184.0","10618868","12.47","5.58","1.698","65.231","17.008","21.291","0.159","1.2980000000000018","106.685","0.11","0.45","0.24","0.18","0.04","0.3"
"2017","Czechia","CZE","317076144128.0","10641032","12.49","5.28","1.728","64.727","17.713","22.037","0.127","1.281000000000006","107.613","0.12","0.45","0.25","0.18","0.03","0.3"
"2018","Czechia","CZE","326100320256.0","10665679","12.41","5.14","1.868","64.035","16.641","22.12","0.104","1.3640000000000185","106.132","0.12","0.44","0.22","0.18","0.03","0.29"
"1992","Denmark","DNK","158107713536.0","5171654","9.69","6.7","1.193","27.133","5.167","23.605","0.677","0.605000000000004","58.38","0.22","0.32","0.13","0.26","0.29","0.26"
"1993","Denmark","DNK","159029510144.0","5190745","9.84","6.74","1.206","28.451","5.851","23.981","0.582","0.5549999999999926","60.626","0.22","0.33","0.14","0.26","0.25","0.27"
"1994","Denmark","DNK","168468807680.0","5211334","9.69","6.64","1.192","30.578","6.546","25.148","0.578","0.6469999999999914","64.689","0.2","0.36","0.16","0.27","0.24","0.28"
"1995","Denmark","DNK","174565621760.0","5232709","9.65","6.64","1.204","25.6","7.574","26.007","0.454","0.762999999999991","61.602","0.19","0.29","0.18","0.28","0.19","0.26"
"1996","Denmark","DNK","180657864704.0","5254857","9.73","6.59","1.282","35.137","8.909","28.345","0.498","0.6810000000000116","74.852","0.2","0.39","0.2","0.3","0.21","0.31"
"1997","Denmark","DNK","187612758016.0","5277713","9.76","6.58","1.343","26.15","9.375","27.122","0.698","0.7630000000000052","65.451","0.2","0.29","0.21","0.28","0.29","0.27"
"1998","Denmark","DNK","192868466688.0","5300380","9.74","6.4","1.39","22.219","10.186","26.373","0.523","0.5279999999999987","61.219","0.21","0.25","0.23","0.27","0.23","0.25"
"1999","Denmark","DNK","199692681216.0","5321771","9.72","6.44","1.355","18.672","10.711","26.24","1.107","0.5499999999999972","58.635","0.2","0.21","0.23","0.26","0.49","0.24"
"2000","Denmark","DNK","208358719488.0","5341192","9.93","6.44","1.385","15.657","10.64","25.35","0.724","0.5360000000000014","54.292","0.19","0.17","0.22","0.25","0.27","0.22"
"2001","Denmark","DNK","211275268096.0","5358059","10.13","6.26","1.388","16.558","11.105","25.59","0.771","0.46699999999999875","55.879","0.19","0.18","0.23","0.25","0.28","0.22"
"2002","Denmark","DNK","213475426304.0","5372798","9.98","6.1","1.416","16.537","11.096","25.303","0.674","0.5120000000000005","55.538","0.18","0.17","0.23","0.24","0.24","0.21"
"2003","Denmark","DNK","215532699648.0","5386968","9.92","6.25","1.33","22.573","11.214","24.376","0.67","0.46299999999999386","60.626","0.16","0.22","0.22","0.23","0.23","0.22"
"2004","Denmark","DNK","222551113728.0","5402754","9.86","5.54","1.459","17.281","11.154","24.048","0.752","0.3819999999999979","55.076","0.16","0.16","0.21","0.22","0.24","0.19"
"2005","Denmark","DNK","229050957824.0","5421701","9.72","5.43","1.363","14.602","10.69","23.857","0.548","0.44599999999999795","51.506","0.14","0.13","0.2","0.21","0.17","0.17"
"2006","Denmark","DNK","239379202048.0","5444293","9.55","5.38","1.395","22.004","10.882","24.173","0.531","0.4440000000000026","59.429","0.13","0.18","0.2","0.22","0.16","0.19"
"2007","Denmark","DNK","242933465088.0","5469920","9.48","5.35","1.407","18.42","9.738","24.117","0.544","0.4299999999999997","54.656","0.13","0.14","0.17","0.21","0.16","0.17"
"2008","Denmark","DNK","243073646592.0","5497731","9.23","5.36","1.155","16.137","9.826","23.277","0.387","0.4379999999999953","51.22","0.1","0.12","0.17","0.21","0.11","0.16"
"2009","Denmark","DNK","232468676608.0","5526389","8.88","5.07","0.764","15.786","9.412","22.258","0.261","0.33499999999999375","48.816","0.07","0.12","0.16","0.2","0.07","0.15"
"2010","Denmark","DNK","238176026624.0","5554849","9.05","4.98","0.672","15.351","10.569","21.912","0.353","0.31400000000000006","49.171","0.05","0.11","0.17","0.19","0.1","0.15"
"2011","Denmark","DNK","242738380800.0","5582980","8.73","4.97","0.862","12.916","8.983","20.881","0.252","0.32099999999999795","44.215","0.06","0.09","0.14","0.18","0.07","0.13"
"2012","Denmark","DNK","243290013696.0","5610909","8.56","5.0","0.871","10.079","8.414","19.92","0.217","0.33899999999999864","39.84","0.06","0.07","0.13","0.17","0.06","0.11"
"2013","Denmark","DNK","245558509568.0","5638152","8.35","4.91","0.867","12.756","7.939","19.546","0.244","0.39400000000000546","41.746","0.06","0.08","0.12","0.17","0.07","0.12"
"2014","Denmark","DNK","249673711616.0","5664199","8.2","5.09","0.887","10.144","6.816","19.05","0.25","0.3960000000000008","37.543","0.06","0.07","0.1","0.16","0.07","0.11"
"2015","Denmark","DNK","253683007488.0","5688695","8.2","5.26","0.932","7.243","6.907","19.559","0.247","0.3159999999999954","35.204","0.06","0.05","0.1","0.16","0.07","0.1"
"2016","Denmark","DNK","256821805056.0","5711346","8.15","5.24","1.095","8.414","7.012","19.842","0.273","0.375","37.011","0.07","0.06","0.1","0.17","0.07","0.1"
"2017","Denmark","DNK","262051119104.0","5732277","8.08","5.25","1.194","6.254","6.679","19.996","0.24","0.38000000000000256","34.743","0.08","0.04","0.09","0.16","0.06","0.1"
"2018","Denmark","DNK","268317622272.0","5752131","7.95","4.88","1.16","6.359","6.476","20.042","0.232","0.4029999999999987","34.672","0.07","0.04","0.09","0.16","0.06","0.09"
"1992","Ecuador","ECU","70873808896.0","10716131","19.3","3.97","1.016","0.0","0.465","19.138","1.341","0.0","21.96","0.19","0.0","0.01","0.21","0.57","0.1"
"1993","Ecuador","ECU","72804343808.0","10961460","20.6","4.1","0.947","0.0","0.535","21.119","1.488","0.0","24.089","0.17","0.0","0.01","0.23","0.64","0.11"
"1994","Ecuador","ECU","76428115968.0","11207999","21.9","4.21","0.976","0.0","0.484","10.648","1.433","0.0","13.54","0.16","0.0","0.01","0.12","0.6","0.06"
"1995","Ecuador","ECU","78692040704.0","11455205","22.2","4.28","1.179","0.0","0.465","19.558","1.484","0.0","22.686","0.19","0.0","0.01","0.21","0.63","0.1"
"1996","Ecuador","ECU","80612106240.0","11703169","22.9","4.55","1.363","0.0","0.495","20.863","1.304","0.0","24.025","0.21","0.0","0.01","0.22","0.55","0.1"
"1997","Ecuador","ECU","84682932224.0","11951457","23.4","4.91","1.304","0.0","0.451","15.253","1.198","0.0","18.206","0.2","0.0","0.01","0.16","0.49","0.07"
"1998","Ecuador","ECU","88055963648.0","12198449","22.4","4.72","1.169","0.0","0.462","19.28","1.403","0.0","22.313","0.18","0.0","0.01","0.2","0.61","0.09"
"1999","Ecuador","ECU","84464762880.0","12442109","22.7","4.37","1.033","0.0","0.432","18.478","1.422","0.0","21.364","0.15","0.0","0.01","0.18","0.63","0.09"
"2000","Ecuador","ECU","85978873856.0","12681123","21.84","4.1","1.256","0.0","0.473","17.324","1.509","0.0","20.562","0.18","0.0","0.01","0.17","0.56","0.08"
"2001","Ecuador","ECU","90060685312.0","12914660","23.52","5.35","1.297","0.0","0.48","19.647","1.517","0.0","22.94","0.17","0.0","0.01","0.19","0.56","0.09"
"2002","Ecuador","ECU","94405017600.0","13143465","23.74","4.84","1.318","0.0","0.476","21.233","1.726","0.0","24.753","0.17","0.0","0.01","0.2","0.6","0.1"
"2003","Ecuador","ECU","97644568576.0","13369678","24.46","4.77","1.348","0.0","0.931","22.871","1.597","0.0","26.747","0.16","0.0","0.02","0.21","0.55","0.1"
"2004","Ecuador","ECU","106398015488.0","13596390","26.74","4.98","1.493","0.0","1.136","24.659","1.499","0.0","28.786","0.16","0.0","0.02","0.22","0.48","0.1"
"2005","Ecuador","ECU","112806723584.0","13825839","26.65","4.78","1.57","0.0","0.894","26.007","1.499","0.0","29.97","0.16","0.0","0.02","0.23","0.45","0.1"
"2006","Ecuador","ECU","118595035136.0","14059379","27.1","4.87","1.737","0.0","0.762","24.915","1.48","0.0009999999999976694","28.895","0.17","0.0","0.01","0.22","0.44","0.09"
"2007","Ecuador","ECU","122035339264.0","14296554","26.5","4.6","1.834","0.0","1.022","29.312","1.517","0.0009999999999976694","33.686","0.16","0.0","0.02","0.26","0.44","0.11"
"2008","Ecuador","ECU","130681241600.0","14535740","26.76","4.98","2.222","0.0","0.931","24.915","1.506","0.0","29.573","0.2","0.0","0.02","0.22","0.42","0.09"
"2009","Ecuador","ECU","132343726080.0","14774412","27.18","5.22","2.11","0.0","1.099","27.975","1.319","0.0","32.503","0.18","0.0","0.02","0.25","0.36","0.1"
"2010","Ecuador","ECU","137955147776.0","15011114","27.69","5.5","2.088","0.0","1.158","30.335","1.246","0.0","34.826","0.17","0.0","0.02","0.27","0.34","0.1"
"2011","Ecuador","ECU","149848326144.0","15243885","27.87","5.57","2.239","0.0","1.048","32.877","1.235","0.0","37.398","0.17","0.0","0.02","0.29","0.35","0.11"
"2012","Ecuador","ECU","158295818240.0","15474099","27.84","5.45","2.353","0.0","1.4","32.152","1.249","0.0","37.154","0.17","0.0","0.02","0.28","0.34","0.11"
"2013","Ecuador","ECU","166128254976.0","15707473","28.27","5.4","2.612","0.0","1.59","33.962","1.198","0.0","39.362","0.18","0.0","0.02","0.29","0.32","0.11"
"2014","Ecuador","ECU","172762087424.0","15951832","27.83","5.33","2.602","0.0","1.63","37.611","1.363","0.0010000000000047748","43.207","0.17","0.0","0.02","0.32","0.36","0.12"
"2015","Ecuador","ECU","173044858880.0","16212022","27.06","4.86","2.445","0.0","1.535","35.442","1.337","0.0","40.759","0.17","0.0","0.02","0.3","0.36","0.11"
"2016","Ecuador","ECU","169282355200.0","16491115","27.32","4.95","2.208","0.0","1.656","34.295","1.345","0.0","39.504","0.15","0.0","0.02","0.29","0.35","0.11"
"2017","Ecuador","ECU","173290962944.0","16785356","27.15","5.02","2.248","0.0","1.539","34.288","1.202","0.0","39.276","0.15","0.0","0.02","0.28","0.28","0.11"
"2018","Ecuador","ECU","175524675584.0","17084360","26.55","5.14","2.287","0.0","1.403","32.983","1.246","0.0","37.919","0.15","0.0","0.02","0.27","0.3","0.1"
"1992","Egypt","EGY","254191042560.0","58666812","35.74","13.5","8.1","2.59","16.118","53.132","0.0","0.0","79.94","1.52","0.03","0.41","0.58","0.0","0.35"
"1993","Egypt","EGY","269984907264.0","59880656","38.64","14.48","7.596","3.415","18.511","62.757","0.0","0.0","92.278","1.37","0.04","0.45","0.68","0.0","0.4"
"1994","Egypt","EGY","286215798784.0","61095804","40.49","13.82","7.615","3.693","20.158","53.089","0.0","0.0010000000000047748","84.556","1.29","0.04","0.49","0.57","0.0","0.37"
"1995","Egypt","EGY","305979195392.0","62334024","42.51","15.73","8.325","2.451","26.011","58.104","0.0","0.0","94.89","1.33","0.03","0.62","0.62","0.0","0.4"
"1996","Egypt","EGY","328668905472.0","63601632","44.42","16.41","8.78","3.43","27.707","53.652","0.0","0.0","93.569","1.37","0.04","0.63","0.56","0.0","0.39"
"1997","Egypt","EGY","354474459136.0","64892268","46.26","16.34","9.215","2.851","25.063","70.384","0.0","0.0","107.513","1.4","0.03","0.57","0.72","0.0","0.44"
"1998","Egypt","EGY","380472688640.0","66200256","46.27","17.19","9.787","2.792","26.293","82.594","0.0","0.0","121.466","1.5","0.03","0.59","0.84","0.0","0.5"
"1999","Egypt","EGY","409778257920.0","67515592","50.26","17.6","10.825","2.506","31.625","79.54","0.0","0.0","124.496","1.58","0.03","0.68","0.79","0.0","0.51"
"2000","Egypt","EGY","443940929536.0","68831560","50.86","18.65","11.168","3.144","40.718","85.32","0.0","0.0","140.35","1.56","0.03","0.86","0.83","0.0","0.56"
"2001","Egypt","EGY","475162705920.0","70152664","52.01","18.92","11.751","2.748","43.361","66.434","0.0","0.0","124.294","1.57","0.03","0.91","0.64","0.0","0.49"
"2002","Egypt","EGY","501186265088.0","71485048","53.92","19.63","12.722","2.957","52.97","57.133","0.0","0.0","125.782","1.61","0.03","1.08","0.55","0.0","0.48"
"2003","Egypt","EGY","527963291648.0","72826104","55.01","20.05","11.895","3.063","58.212","73.293","0.0","0.0","146.463","1.4","0.03","1.14","0.69","0.0","0.54"
"2004","Egypt","EGY","560813244416.0","74172072","55.51","21.24","12.689","3.191","57.625","75.638","0.0","0.0","149.143","1.4","0.03","1.09","0.69","0.0","0.52"
"2005","Egypt","EGY","599346511872.0","75523576","59.17","21.06","14.145","3.067","68.622","79.21","0.0","0.0","165.044","1.47","0.03","1.27","0.71","0.0","0.56"
"2006","Egypt","EGY","649072410624.0","76873672","60.94","21.58","15.569","2.928","73.833","83.689","0.0","2.842170943040401e-14","176.019","1.49","0.02","1.34","0.75","0.0","0.58"
"2007","Egypt","EGY","711521730560.0","78232128","63.15","21.92","17.1","2.917","81.128","84.763","0.0","0.0","185.907","1.52","0.02","1.42","0.75","0.0","0.59"
"2008","Egypt","EGY","772704108544.0","79636080","64.85","22.99","16.195","2.854","83.31","92.404","0.0","0.0010000000000047748","194.764","1.42","0.02","1.42","0.82","0.0","0.61"
"2009","Egypt","EGY","828245147648.0","81134792","63.57","23.72","19.973","2.689","81.788","98.719","0.0","0.0010000000000047748","203.17","1.71","0.02","1.42","0.9","0.0","0.64"
"2010","Egypt","EGY","895092326400.0","82761240","62.71","24.15","20.514","4.126","81.948","94.255","0.0","0.0","200.841","1.64","0.03","1.32","0.83","0.0","0.6"
"2011","Egypt","EGY","919296081920.0","84529248","64.93","24.19","20.098","1.7","92.679","98.549","0.0","0.0009999999999763531","213.027","1.5","0.01","1.45","0.87","0.0","0.62"
"2012","Egypt","EGY","945768431616.0","86422240","67.26","23.26","20.971","1.803","92.919","93.025","0.0","0.0","208.718","1.52","0.01","1.43","0.81","0.0","0.6"
"2013","Egypt","EGY","971071815680.0","88404648","65.77","22.75","20.21","1.7","90.4","94.639","0.0","2.842170943040401e-14","206.949","1.4","0.01","1.38","0.82","0.0","0.59"
"2014","Egypt","EGY","1018607042560.0","90424672","66.61","22.32","20.76","1.495","81.7","117.713","0.0","0.0","221.668","1.39","0.01","1.23","1.01","0.0","0.62"
"2015","Egypt","EGY","1058643968000.0","92442544","65.54","22.37","21.648","1.345","84.151","112.023","0.0","2.842170943040401e-14","219.167","1.51","0.01","1.24","0.94","0.0","0.62"
"2016","Egypt","EGY","1104510713856.0","94447072","67.96","22.9","22.82","1.608","94.824","114.87","0.0","0.0009999999999763531","234.123","1.54","0.01","1.36","0.96","0.0","0.66"
"2017","Egypt","EGY","1159010320384.0","96442592","69.79","22.83","21.77","1.392","108.407","119.036","0.0","0.0","250.605","1.45","0.01","1.52","0.98","0.0","0.7"
"2018","Egypt","EGY","1221832605696.0","98423600","70.55","22.59","21.002","1.085","102.698","102.936","0.0","0.0","227.721","1.34","0.01","1.38","0.84","0.0","0.62"
"1992","Estonia","EST","20260763648.0","1520811","2.31","1.57","0.315","17.736","1.607","4.63","0.0","0.06700000000000017","24.355","0.06","0.21","0.04","0.05","0.0","0.11"
"1993","Estonia","EST","18240808960.0","1488060","2.09","1.43","0.228","13.568","0.803","4.784","0.0","0.020999999999997243","19.404","0.04","0.16","0.02","0.05","0.0","0.09"
"1994","Estonia","EST","17654292480.0","1457090","1.79","1.3","0.33","14.113","1.119","4.455","0.0","0.019000000000005457","20.036","0.06","0.16","0.03","0.05","0.0","0.09"
"1995","Estonia","EST","18507421696.0","1433026","1.73","1.23","0.348","13.071","1.289","3.485","0.0","0.020000000000003126","18.213","0.06","0.15","0.03","0.04","0.0","0.08"
"1996","Estonia","EST","19179796480.0","1417741","1.67","1.2","0.361","13.572","1.422","3.759","0.0","0.019999999999999574","19.134","0.06","0.15","0.03","0.04","0.0","0.08"
"1997","Estonia","EST","21099665408.0","1409678","1.63","1.19","0.396","13.168","1.393","3.664","0.0","0.023999999999997357","18.645","0.06","0.15","0.03","0.04","0.0","0.08"
"1998","Estonia","EST","21616367616.0","1406350","1.57","1.22","0.404","11.495","1.334","3.627","0.0","0.05700000000000216","16.917","0.06","0.13","0.03","0.04","0.0","0.07"
"1999","Estonia","EST","21088651264.0","1403784","1.52","1.2","0.361","10.896","1.296","3.307","0.0","0.0519999999999996","15.912","0.05","0.13","0.03","0.03","0.0","0.06"
"2000","Estonia","EST","22945026048.0","1399111","1.47","1.22","0.374","10.848","1.503","2.715","0.0","0.04499999999999815","15.485","0.05","0.12","0.03","0.03","0.0","0.06"
"2001","Estonia","EST","24006164480.0","1391739","1.45","1.2","0.38","10.665","1.611","3.161","0.0","0.04899999999999949","15.866","0.05","0.12","0.03","0.03","0.0","0.06"
"2002","Estonia","EST","25057701888.0","1382737","1.44","1.19","0.356","10.369","1.36","3.21","0.0","0.05400000000000027","15.349","0.05","0.11","0.03","0.03","0.0","0.06"
"2003","Estonia","EST","26485059584.0","1372904","1.4","1.23","0.335","12.146","1.547","3.152","0.0","0.054999999999999716","17.235","0.04","0.12","0.03","0.03","0.0","0.06"
"2004","Estonia","EST","27701385216.0","1363570","1.41","1.25","0.365","12.055","1.742","3.156","0.0","0.05000000000000071","17.368","0.04","0.11","0.03","0.03","0.0","0.06"
"2005","Estonia","EST","29813616640.0","1355650","1.35","1.23","0.373","11.804","1.741","3.19","0.0","0.047999999999998266","17.156","0.04","0.1","0.03","0.03","0.0","0.06"
"2006","Estonia","EST","32350019584.0","1349373","1.34","1.23","0.414","11.096","1.729","3.211","0.0","0.05199999999999605","16.502","0.04","0.09","0.03","0.03","0.0","0.05"
"2007","Estonia","EST","34297835520.0","1344295","1.33","1.28","0.597","14.318","1.737","3.317","0.0","0.05299999999999727","20.022","0.05","0.11","0.03","0.03","0.0","0.06"
"2008","Estonia","EST","31920816128.0","1340067","1.31","1.34","0.603","12.376","1.682","3.168","0.0","0.045999999999999375","17.875","0.05","0.09","0.03","0.03","0.0","0.06"
"2009","Estonia","EST","26784890880.0","1336140","1.27","1.28","0.257","10.075","1.224","2.907","0.0","0.026000000000001577","14.489","0.02","0.08","0.02","0.03","0.0","0.05"
"2010","Estonia","EST","26952075264.0","1332103","1.29","1.31","0.31","14.267","1.328","3.052","0.0","0.03800000000000381","18.995","0.02","0.1","0.02","0.03","0.0","0.06"
"2011","Estonia","EST","28535476224.0","1327701","1.23","1.32","0.416","14.287","1.19","3.157","0.0","0.04100000000000037","19.091","0.03","0.1","0.02","0.03","0.0","0.06"
"2012","Estonia","EST","29763610624.0","1323163","1.23","1.35","0.407","12.647","1.275","3.249","0.0","0.2680000000000007","17.846","0.03","0.08","0.02","0.03","0.0","0.05"
"2013","Estonia","EST","30185959424.0","1319068","1.2","1.37","0.399","14.569","1.212","3.256","0.0","0.3019999999999996","19.738","0.03","0.1","0.02","0.03","0.0","0.06"
"2014","Estonia","EST","31037874176.0","1316273","1.19","1.4","0.422","14.083","1.022","3.307","0.0","0.05100000000000193","18.885","0.03","0.09","0.02","0.03","0.0","0.05"
"2015","Estonia","EST","31485411328.0","1315330","1.18","1.42","0.206","11.269","0.915","3.403","0.0","0.06600000000000072","15.859","0.01","0.08","0.01","0.03","0.0","0.04"
"2016","Estonia","EST","31962619904.0","1316507","1.1","1.36","0.185","12.751","1.052","3.513","0.0","0.0660000000000025","17.567","0.01","0.09","0.02","0.03","0.0","0.05"
"2017","Estonia","EST","33800136704.0","1319389","1.11","1.4","0.307","13.879","0.95","3.569","0.0","0.08300000000000196","18.788","0.02","0.1","0.01","0.03","0.0","0.05"
"2018","Estonia","EST","35409424384.0","1322913","1.11","1.39","0.298","13.088","0.987","3.487","0.0","0.0850000000000044","17.945","0.02","0.09","0.01","0.03","0.0","0.05"
"1992","Finland","FIN","122115850240.0","5044928","8.4","5.74","0.473","20.678","5.575","26.673","0.11","0.7749999999999986","54.284","0.09","0.25","0.14","0.29","0.05","0.24"
"1993","Finland","FIN","121309724672.0","5071782","8.37","5.83","0.361","23.401","5.822","25.639","0.157","0.9680000000000106","56.348","0.06","0.27","0.14","0.28","0.07","0.25"
"1994","Finland","FIN","126178762752.0","5097090","8.3","6.02","0.364","27.593","6.295","26.385","0.066","1.0080000000000027","61.711","0.06","0.32","0.15","0.29","0.03","0.27"
"1995","Finland","FIN","131584983040.0","5119012","8.08","6.0","0.378","24.657","6.509","25.616","0.075","0.9050000000000011","58.14","0.06","0.28","0.15","0.27","0.03","0.25"
