"County","Population","State","Housing Data.Residing in Group Quarters","Housing Data.Total Housing Units","Vehicle Access.1 Mile","Vehicle Access.1/2 Mile","Vehicle Access.10 Miles","Vehicle Access.20 Miles","Low Access Numbers.Children.1 Mile","Low Access Numbers.Children.1/2 Mile","Low Access Numbers.Children.10 Miles","Low Access Numbers.Children.20 Miles","Low Access Numbers.Low Income People.1 Mile","Low Access Numbers.Low Income People.1/2 Mile","Low Access Numbers.Low Income People.10 Miles","Low Access Numbers.Low Income People.20 Miles","Low Access Numbers.People.1 Mile","Low Access Numbers.People.1/2 Mile","Low Access Numbers.People.10 Miles","Low Access Numbers.People.20 Miles","Low Access Numbers.Seniors.1 Mile","Low Access Numbers.Seniors.1/2 Mile","Low Access Numbers.Seniors.10 Miles","Low Access Numbers.Seniors.20 Miles"
"Macon County","110768","Illinois","4059.0","45855","1036.0","3379.0","29.0","0.0","12608.0","21301.0","593.0","0.0","13089.0","30028.0","722.0","0.0","55573.0","92485.0","2226.0","0.0","9402.0","15071.0","299.0","0.0"
"Macoupin County","47765","Illinois","876.0","19381","357.0","640.0","40.0","0.0","6059.0","8505.0","553.0","0.0","7317.0","11395.0","820.0","0.0","26954.0","37771.0","2419.0","0.0","4522.0","6421.0","450.0","0.0"
"Madison County","269282","Illinois","3754.0","108094","3695.0","5898.0","0.0","0.0","36887.0","53458.0","1.0","0.0","43268.0","65784.0","1.0","0.0","161213.0","233152.0","9.0","0.0","22045.0","32586.0","1.0","0.0"
"Marion County","39437","Illinois","758.0","16148","485.0","962.0","41.0","0.0","5801.0","7885.0","898.0","0.0","8760.0","13164.0","1136.0","0.0","24794.0","33691.0","3984.0","0.0","4110.0","5869.0","691.0","0.0"
"Marshall County","12640","Illinois","255.0","5161","92.0","112.0","17.0","0.0","1785.0","2100.0","429.0","0.0","2179.0","2594.0","548.0","0.0","8275.0","9785.0","1665.0","0.0","1525.0","1891.0","296.0","0.0"
"Mason County","14666","Illinois","206.0","6079","178.0","235.0","62.0","0.0","2247.0","2795.0","920.0","0.0","3548.0","4868.0","1227.0","0.0","10165.0","12818.0","3819.0","0.0","1794.0","2443.0","595.0","0.0"
"Massac County","15429","Illinois","292.0","6362","177.0","321.0","14.0","0.0","2151.0","2789.0","110.0","0.0","3191.0","4633.0","169.0","0.0","9474.0","12387.0","524.0","0.0","1647.0","2290.0","106.0","0.0"
"McDonough County","32612","Illinois","4036.0","13057","305.0","918.0","27.0","0.0","2602.0","4331.0","384.0","0.0","5133.0","10795.0","664.0","0.0","15537.0","27877.0","1700.0","0.0","2351.0","4038.0","319.0","0.0"
"McHenry County","308760","Illinois","1647.0","109199","1764.0","2985.0","0.0","0.0","54968.0","73948.0","0.0","0.0","30710.0","45186.0","0.0","0.0","197427.0","270455.0","0.0","0.0","19045.0","27771.0","0.0","0.0"
"McLean County","169572","Illinois","10676.0","65104","1079.0","2809.0","31.0","0.0","19666.0","30057.0","556.0","0.0","19364.0","38588.0","614.0","0.0","80156.0","130913.0","2297.0","0.0","7362.0","13140.0","328.0","0.0"
"Menard County","12705","Illinois","154.0","5140","126.0","174.0","2.0","0.0","2407.0","2748.0","22.0","0.0","2286.0","2635.0","16.0","0.0","10240.0","11547.0","90.0","0.0","1537.0","1742.0","10.0","0.0"
"Mercer County","16434","Illinois","185.0","6734","319.0","369.0","55.0","0.0","3129.0","3565.0","261.0","0.0","3642.0","3967.0","551.0","0.0","13903.0","15741.0","1325.0","0.0","2471.0","2805.0","272.0","0.0"
"Monroe County","32957","Illinois","343.0","12589","290.0","407.0","0.0","0.0","6484.0","7537.0","26.0","0.0","3726.0","4280.0","35.0","0.0","25992.0","30356.0","139.0","0.0","3307.0","4046.0","18.0","0.0"
"Montgomery County","30104","Illinois","2419.0","11652","328.0","601.0","5.0","0.0","3977.0","5622.0","175.0","0.0","6575.0","9426.0","309.0","0.0","19940.0","26958.0","729.0","0.0","3273.0","4633.0","125.0","0.0"
"Morgan County","35547","Illinois","3064.0","14104","425.0","782.0","71.0","0.0","4592.0","6891.0","1278.0","0.0","6558.0","10404.0","1673.0","0.0","20766.0","30905.0","5327.0","0.0","3431.0","5049.0","844.0","0.0"
"Moultrie County","14846","Illinois","395.0","5758","419.0","478.0","5.0","0.0","2574.0","3138.0","31.0","0.0","2355.0","3281.0","62.0","0.0","9834.0","12310.0","176.0","0.0","1578.0","2105.0","42.0","0.0"
"Ogle County","53497","Illinois","525.0","20856","404.0","619.0","2.0","0.0","8850.0","11011.0","29.0","0.0","8645.0","11527.0","29.0","0.0","34320.0","43862.0","119.0","0.0","4509.0","6332.0","11.0","0.0"
"Peoria County","186494","Illinois","4979.0","75793","3249.0","6208.0","10.0","0.0","23666.0","37315.0","775.0","0.0","29549.0","52637.0","605.0","0.0","94920.0","151981.0","2810.0","0.0","13382.0","20906.0","420.0","0.0"
"Perry County","22350","Illinois","2500.0","8335","271.0","458.0","5.0","0.0","3481.0","4185.0","76.0","0.0","5615.0","6846.0","126.0","0.0","17084.0","20187.0","362.0","0.0","2407.0","3025.0","73.0","0.0"
"Piatt County","16729","Illinois","72.0","6782","109.0","155.0","2.0","0.0","2939.0","3566.0","82.0","0.0","2353.0","2881.0","54.0","0.0","12121.0","14764.0","366.0","0.0","1793.0","2380.0","52.0","0.0"
"Pike County","16430","Illinois","627.0","6639","200.0","287.0","68.0","0.0","2609.0","3135.0","776.0","0.0","4344.0","5226.0","1323.0","0.0","10945.0","13261.0","3264.0","0.0","1955.0","2429.0","615.0","0.0"
"Pope County","4470","Illinois","389.0","1829","59.0","73.0","19.0","0.0","672.0","707.0","218.0","0.0","1322.0","1417.0","479.0","0.0","3754.0","3966.0","1301.0","0.0","783.0","853.0","307.0","0.0"
"Pulaski County","6161","Illinois","21.0","2642","243.0","254.0","102.0","0.0","1145.0","1172.0","430.0","0.0","2634.0","2716.0","992.0","0.0","5227.0","5365.0","1936.0","0.0","988.0","1014.0","387.0","0.0"
"Putnam County","6006","Illinois","2.0","2509","58.0","58.0","0.0","0.0","1275.0","1278.0","1.0","0.0","1370.0","1372.0","3.0","0.0","5993.0","6004.0","8.0","0.0","1068.0","1069.0","5.0","0.0"
"Randolph County","33476","Illinois","4298.0","12314","304.0","579.0","0.0","0.0","3877.0","5564.0","16.0","0.0","5779.0","9358.0","15.0","0.0","18603.0","27833.0","70.0","0.0","3210.0","4385.0","12.0","0.0"
"Richland County","16233","Illinois","364.0","6726","50.0","217.0","5.0","0.0","1427.0","2411.0","99.0","0.0","1979.0","3780.0","162.0","0.0","6709.0","11055.0","444.0","0.0","1197.0","2109.0","76.0","0.0"
"Rock Island County","147546","Illinois","4313.0","61303","1247.0","3290.0","2.0","0.0","11325.0","24029.0","268.0","0.0","14251.0","33049.0","167.0","0.0","49034.0","105334.0","1190.0","0.0","7359.0","16537.0","207.0","0.0"
"Saline County","24913","Illinois","878.0","10379","334.0","681.0","23.0","0.0","3191.0","4743.0","164.0","0.0","5248.0","8824.0","261.0","0.0","13657.0","20667.0","716.0","0.0","2405.0","3828.0","109.0","0.0"
"Sangamon County","197465","Illinois","3966.0","82986","1407.0","4443.0","65.0","0.0","20214.0","37484.0","1186.0","0.0","17089.0","41952.0","816.0","0.0","84579.0","155998.0","4453.0","0.0","11556.0","21140.0","579.0","0.0"
"Schuyler County","7544","Illinois","463.0","3040","49.0","103.0","3.0","0.0","923.0","1320.0","221.0","0.0","1369.0","2282.0","319.0","0.0","4119.0","6275.0","969.0","0.0","716.0","1095.0","181.0","0.0"
"Scott County","5355","Illinois","43.0","2214","103.0","103.0","79.0","0.0","1272.0","1272.0","861.0","0.0","1537.0","1537.0","1061.0","0.0","5355.0","5355.0","3562.0","0.0","966.0","966.0","658.0","0.0"
"Shelby County","22363","Illinois","205.0","9216","247.0","316.0","94.0","0.0","3958.0","4554.0","1153.0","0.0","5052.0","6221.0","1314.0","0.0","17047.0","19949.0","4734.0","0.0","3014.0","3696.0","869.0","0.0"
"St. Clair County","270056","Illinois","4451.0","105045","4537.0","7468.0","0.0","0.0","37490.0","56232.0","0.0","0.0","44865.0","70551.0","0.0","0.0","142553.0","218015.0","0.0","0.0","16785.0","26571.0","0.0","0.0"
"Stark County","5994","Illinois","92.0","2425","83.0","83.0","40.0","0.0","1411.0","1411.0","932.0","0.0","1928.0","1928.0","1180.0","0.0","5994.0","5994.0","3752.0","0.0","1194.0","1194.0","688.0","0.0"
"Stephenson County","47711","Illinois","835.0","19845","417.0","1061.0","2.0","0.0","4508.0","7319.0","69.0","0.0","5328.0","9963.0","64.0","0.0","21495.0","34328.0","230.0","0.0","4405.0","6843.0","27.0","0.0"
"Tazewell County","135394","Illinois","2843.0","54146","1661.0","2516.0","20.0","0.0","20547.0","27055.0","701.0","0.0","20129.0","28211.0","709.0","0.0","87808.0","115388.0","3042.0","0.0","13729.0","18091.0","489.0","0.0"
"Union County","17808","Illinois","566.0","7167","206.0","286.0","13.0","0.0","2468.0","3060.0","109.0","0.0","3911.0","5201.0","128.0","0.0","11428.0","14259.0","471.0","0.0","1919.0","2551.0","63.0","0.0"
"Vermilion County","81625","Illinois","2903.0","32655","1093.0","2451.0","38.0","0.0","10257.0","15960.0","743.0","0.0","14159.0","24406.0","988.0","0.0","44870.0","65898.0","2993.0","0.0","7329.0","10582.0","476.0","0.0"
"Wabash County","11947","Illinois","88.0","5012","49.0","154.0","0.0","0.0","1242.0","1855.0","94.0","0.0","1427.0","2523.0","78.0","0.0","5451.0","8405.0","387.0","0.0","892.0","1418.0","66.0","0.0"
"Warren County","17707","Illinois","1116.0","6918","89.0","179.0","8.0","0.0","1735.0","2644.0","54.0","0.0","2007.0","3222.0","56.0","0.0","7939.0","12568.0","212.0","0.0","1454.0","2123.0","42.0","0.0"
"Washington County","14716","Illinois","246.0","5926","94.0","113.0","43.0","0.0","2153.0","2438.0","325.0","0.0","2231.0","2544.0","503.0","0.0","9851.0","11132.0","1634.0","0.0","1571.0","1799.0","287.0","0.0"
"Wayne County","16760","Illinois","76.0","7102","224.0","360.0","75.0","0.0","2543.0","3186.0","821.0","0.0","3631.0","4756.0","1102.0","0.0","10945.0","13823.0","3320.0","0.0","1896.0","2531.0","590.0","0.0"
"White County","14665","Illinois","391.0","6313","195.0","365.0","6.0","0.0","1762.0","2352.0","165.0","0.0","2921.0","4011.0","239.0","0.0","8239.0","11371.0","814.0","0.0","1555.0","2478.0","153.0","0.0"
"Whiteside County","58498","Illinois","1012.0","23740","454.0","996.0","2.0","0.0","6825.0","10977.0","36.0","0.0","7535.0","13541.0","50.0","0.0","30217.0","47110.0","156.0","0.0","5303.0","8236.0","24.0","0.0"
"Will County","677560","Illinois","8547.0","225256","3330.0","6217.0","0.0","0.0","99266.0","160796.0","0.0","0.0","55913.0","99641.0","0.0","0.0","335051.0","546951.0","0.0","0.0","29884.0","49537.0","0.0","0.0"
"Williamson County","66357","Illinois","1870.0","27421","1124.0","1675.0","11.0","0.0","10011.0","13011.0","366.0","0.0","14760.0","19482.0","576.0","0.0","44612.0","58503.0","1489.0","0.0","6890.0","9368.0","219.0","0.0"
"Winnebago County","295266","Illinois","4685.0","115501","2064.0","6024.0","0.0","0.0","25948.0","53879.0","0.0","0.0","27171.0","70226.0","0.0","0.0","106876.0","220532.0","0.0","0.0","14102.0","30244.0","0.0","0.0"
"Woodford County","38664","Illinois","1021.0","14276","287.0","477.0","0.0","0.0","6567.0","8245.0","1.0","0.0","4641.0","6473.0","1.0","0.0","24717.0","31877.0","7.0","0.0","3173.0","4618.0","2.0","0.0"
"Adams County","34387","Indiana","421.0","12011","1093.0","1232.0","0.0","0.0","8518.0","10188.0","0.0","0.0","8656.0","11564.0","0.0","0.0","25684.0","32222.0","1.0","0.0","3248.0","4343.0","0.0","0.0"
"Allen County","355329","Indiana","6107.0","137851","3744.0","6646.0","35.0","0.0","49257.0","79144.0","505.0","0.0","51797.0","92957.0","505.0","0.0","180749.0","292857.0","2161.0","0.0","21261.0","34447.0","388.0","0.0"
"Bartholomew County","76794","Indiana","1147.0","29860","616.0","1076.0","12.0","0.0","12668.0","17293.0","292.0","0.0","13744.0","19736.0","289.0","0.0","48674.0","67504.0","1120.0","0.0","6449.0","9181.0","158.0","0.0"
"Benton County","8854","Indiana","92.0","3479","56.0","67.0","1.0","0.0","1604.0","1948.0","33.0","0.0","2305.0","2888.0","98.0","0.0","6168.0","7513.0","153.0","0.0","904.0","1164.0","26.0","0.0"
"Blackford County","12766","Indiana","163.0","5236","136.0","244.0","0.0","0.0","1435.0","2094.0","0.0","0.0","2203.0","3515.0","0.0","0.0","6615.0","9396.0","0.0","0.0","1186.0","1621.0","0.0","0.0"
"Boone County","56640","Indiana","574.0","21149","212.0","514.0","3.0","0.0","9508.0","13498.0","164.0","0.0","4731.0","7368.0","186.0","0.0","32293.0","46359.0","743.0","0.0","3355.0","5140.0","99.0","0.0"
"Brown County","15242","Indiana","163.0","6199","118.0","136.0","9.0","0.0","3007.0","3146.0","104.0","0.0","3850.0","4090.0","162.0","0.0","14182.0","14982.0","450.0","0.0","2251.0","2493.0","62.0","0.0"
"Carroll County","20155","Indiana","106.0","7900","216.0","251.0","0.0","0.0","3536.0","4089.0","1.0","0.0","3834.0","4558.0","8.0","0.0","14476.0","16785.0","27.0","0.0","2167.0","2587.0","10.0","0.0"
"Cass County","38966","Indiana","1066.0","14858","318.0","639.0","17.0","0.0","4987.0","8009.0","293.0","0.0","6303.0","11345.0","281.0","0.0","20554.0","31118.0","1088.0","0.0","3358.0","4574.0","167.0","0.0"
"Clark County","110232","Indiana","1515.0","44248","599.0","1593.0","53.0","0.0","11752.0","20867.0","505.0","0.0","10155.0","22993.0","686.0","0.0","48758.0","86011.0","2008.0","0.0","5953.0","10883.0","262.0","0.0"
"Clay County","26890","Indiana","341.0","10447","183.0","305.0","6.0","0.0","3925.0","5176.0","41.0","0.0","4138.0","6204.0","48.0","0.0","16758.0","21836.0","198.0","0.0","2448.0","3251.0","29.0","0.0"
"Clinton County","33224","Indiana","830.0","12105","178.0","435.0","4.0","0.0","4268.0","6463.0","321.0","0.0","4431.0","7724.0","272.0","0.0","17006.0","25265.0","1303.0","0.0","2548.0","3866.0","202.0","0.0"
"Crawford County","10713","Indiana","62.0","4303","184.0","191.0","22.0","0.0","2391.0","2469.0","356.0","0.0","4122.0","4263.0","588.0","0.0","10309.0","10602.0","1672.0","0.0","1556.0","1587.0","308.0","0.0"
"Daviess County","31648","Indiana","581.0","11329","1246.0","1652.0","0.0","0.0","5910.0","8179.0","0.0","0.0","6896.0","10836.0","0.0","0.0","18816.0","27764.0","0.0","0.0","2240.0","3658.0","0.0","0.0"
"DeKalb County","42223","Indiana","615.0","15951","626.0","813.0","0.0","0.0","7896.0","10288.0","0.0","0.0","8679.0","11933.0","0.0","0.0","30505.0","39239.0","0.0","0.0","4076.0","5034.0","0.0","0.0"
"Dearborn County","50047","Indiana","530.0","18743","445.0","719.0","0.0","0.0","9907.0","11511.0","0.0","0.0","8830.0","11054.0","0.0","0.0","39656.0","46012.0","0.0","0.0","5176.0","5948.0","0.0","0.0"
"Decatur County","25740","Indiana","377.0","9977","221.0","325.0","33.0","0.0","4110.0","5492.0","745.0","0.0","4427.0","6043.0","954.0","0.0","16146.0","21272.0","2784.0","0.0","2347.0","2934.0","410.0","0.0"
"Delaware County","117671","Indiana","8830.0","46516","1742.0","3041.0","0.0","0.0","15058.0","20561.0","0.0","0.0","22348.0","42758.0","0.0","0.0","65398.0","99425.0","0.0","0.0","10737.0","14799.0","0.0","0.0"
"Dubois County","41889","Indiana","893.0","16133","185.0","326.0","35.0","0.0","5686.0","8129.0","289.0","0.0","4037.0","6635.0","309.0","0.0","21640.0","31242.0","1058.0","0.0","2719.0","4154.0","139.0","0.0"
"Elkhart County","197559","Indiana","3804.0","70244","2302.0","4214.0","0.0","0.0","27578.0","45841.0","0.0","0.0","24871.0","50849.0","0.0","0.0","95357.0","157945.0","0.0","0.0","10800.0","18148.0","0.0","0.0"
"Fayette County","24277","Indiana","367.0","9719","249.0","405.0","0.0","0.0","3564.0","4592.0","33.0","0.0","4494.0","6708.0","54.0","0.0","14941.0","19128.0","130.0","0.0","2480.0","3122.0","10.0","0.0"
"Floyd County","74578","Indiana","1329.0","29479","496.0","1437.0","0.0","0.0","9592.0","15626.0","0.0","0.0","7443.0","15572.0","0.0","0.0","38971.0","64263.0","0.0","0.0","4703.0","8211.0","0.0","0.0"
"Fountain County","17240","Indiana","172.0","6935","191.0","250.0","15.0","0.0","2687.0","3333.0","353.0","0.0","3428.0","4411.0","486.0","0.0","11115.0","13971.0","1435.0","0.0","1839.0","2500.0","230.0","0.0"
"Franklin County","23087","Indiana","187.0","8579","273.0","311.0","60.0","0.0","5114.0","5679.0","472.0","0.0","5216.0","5925.0","733.0","0.0","19614.0","21682.0","1717.0","0.0","2679.0","2987.0","202.0","0.0"
"Fulton County","20836","Indiana","224.0","8237","246.0","431.0","26.0","0.0","3427.0","4529.0","272.0","0.0","4073.0","5902.0","387.0","0.0","13697.0","18396.0","1031.0","0.0","2136.0","2987.0","162.0","0.0"
"Gibson County","33503","Indiana","738.0","13255","298.0","464.0","7.0","0.0","4968.0","6359.0","137.0","0.0","5546.0","7386.0","194.0","0.0","20571.0","26169.0","600.0","0.0","3119.0","3990.0","76.0","0.0"
"Grant County","70061","Indiana","5022.0","27245","694.0","1487.0","3.0","0.0","7790.0","12106.0","58.0","0.0","12136.0","22411.0","81.0","0.0","35527.0","55688.0","251.0","0.0","5592.0","8846.0","34.0","0.0"
"Greene County","33165","Indiana","281.0","13487","322.0","459.0","30.0","0.0","5616.0","6778.0","787.0","0.0","7793.0","9848.0","1439.0","0.0","23426.0","28158.0","3194.0","0.0","3506.0","4326.0","365.0","0.0"
"Hamilton County","274569","Indiana","1628.0","99835","1104.0","1914.0","1.0","0.0","50505.0","75306.0","102.0","0.0","20849.0","32624.0","29.0","0.0","164933.0","247176.0","403.0","0.0","14562.0","21049.0","58.0","0.0"
"Hancock County","70002","Indiana","649.0","26304","468.0","700.0","8.0","0.0","13932.0","16666.0","229.0","0.0","10440.0","12203.0","309.0","0.0","53226.0","63630.0","885.0","0.0","6581.0","8066.0","121.0","0.0"
"Harrison County","39364","Indiana","461.0","15192","485.0","535.0","0.0","0.0","8336.0","8941.0","1.0","0.0","9260.0","10006.0","7.0","0.0","35023.0","37606.0","15.0","0.0","4747.0","5197.0","2.0","0.0"
"Hendricks County","145448","Indiana","3360.0","52368","651.0","912.0","0.0","0.0","27891.0","36270.0","0.0","0.0","13416.0","19221.0","0.0","0.0","98875.0","131566.0","0.0","0.0","10786.0","13952.0","0.0","0.0"
"Henry County","49462","Indiana","3016.0","19077","446.0","672.0","4.0","0.0","7071.0","9249.0","127.0","0.0","10245.0","14582.0","227.0","0.0","32884.0","42096.0","547.0","0.0","5502.0","7034.0","103.0","0.0"
"Howard County","82752","Indiana","1282.0","34301","828.0","1804.0","0.0","0.0","10245.0","16664.0","34.0","0.0","12680.0","22932.0","14.0","0.0","43480.0","69333.0","145.0","0.0","6551.0","10711.0","21.0","0.0"
"Huntington County","37124","Indiana","1330.0","14218","304.0","553.0","19.0","0.0","5647.0","7812.0","656.0","0.0","6346.0","9330.0","850.0","0.0","24023.0","32640.0","2880.0","0.0","3588.0","4943.0","566.0","0.0"
"Jackson County","42376","Indiana","595.0","16501","291.0","726.0","23.0","0.0","5808.0","8708.0","342.0","0.0","7254.0","12241.0","474.0","0.0","23718.0","35567.0","1502.0","0.0","3421.0","5078.0","229.0","0.0"
"Jasper County","33478","Indiana","926.0","12232","150.0","237.0","0.0","0.0","5427.0","7012.0","0.0","0.0","4520.0","6439.0","1.0","0.0","20966.0","27096.0","1.0","0.0","2697.0","3721.0","1.0","0.0"
"Jay County","21253","Indiana","243.0","8133","515.0","700.0","0.0","0.0","4760.0","5330.0","0.0","0.0","6537.0","7709.0","0.0","0.0","17462.0","19879.0","0.0","0.0","2545.0","2943.0","0.0","0.0"
"Jefferson County","32428","Indiana","1905.0","12635","251.0","362.0","9.0","0.0","4473.0","6008.0","268.0","0.0","6248.0","8761.0","200.0","0.0","19325.0","26542.0","965.0","0.0","2751.0","3774.0","124.0","0.0"
"Jennings County","28525","Indiana","298.0","10680","337.0","418.0","15.0","0.0","6385.0","7155.0","272.0","0.0","7951.0","9086.0","361.0","0.0","24324.0","26932.0","1043.0","0.0","2967.0","3248.0","134.0","0.0"
"Johnson County","139654","Indiana","2332.0","52242","711.0","1381.0","0.0","0.0","21687.0","31838.0","0.0","0.0","17236.0","27253.0","0.0","0.0","82297.0","120566.0","0.0","0.0","9825.0","14867.0","0.0","0.0"
"Knox County","38440","Indiana","2645.0","15249","217.0","720.0","6.0","0.0","4067.0","6420.0","174.0","0.0","4345.0","9246.0","212.0","0.0","18240.0","28901.0","712.0","0.0","3178.0","4747.0","89.0","0.0"
"Kosciusko County","77358","Indiana","1568.0","29197","1082.0","1373.0","4.0","0.0","14706.0","17133.0","78.0","0.0","15316.0","18035.0","139.0","0.0","56719.0","66493.0","301.0","0.0","7798.0","9035.0","29.0","0.0"
"LaGrange County","37128","Indiana","324.0","11598","2788.0","3030.0","0.0","0.0","11211.0","11952.0","0.0","0.0","10107.0","10970.0","0.0","0.0","31713.0","34229.0","0.0","0.0","3435.0","3901.0","0.0","0.0"
"LaPorte County","111467","Indiana","6623.0","42331","1406.0","2378.0","1.0","0.0","15171.0","20793.0","23.0","0.0","19399.0","30610.0","22.0","0.0","67222.0","92125.0","108.0","0.0","9331.0","12777.0","6.0","0.0"
"Lake County","496005","Indiana","6349.0","188157","4260.0","9506.0","0.0","0.0","50398.0","94319.0","0.0","0.0","57770.0","117218.0","0.0","0.0","197975.0","371185.0","0.0","0.0","25745.0","49303.0","0.0","0.0"
"Lawrence County","46134","Indiana","653.0","18811","380.0","671.0","8.0","0.0","7308.0","9493.0","182.0","0.0","9823.0","13728.0","290.0","0.0","30552.0","40023.0","786.0","0.0","4578.0","6342.0","128.0","0.0"
"Madison County","131636","Indiana","6277.0","51927","1586.0","3120.0","0.0","0.0","17265.0","25813.0","0.0","0.0","26334.0","42379.0","0.0","0.0","77232.0","112487.0","0.0","0.0","11851.0","17192.0","0.0","0.0"
"Marion County","903393","Indiana","16675.0","366176","9036.0","22618.0","0.0","0.0","81721.0","170826.0","0.0","0.0","113768.0","266139.0","0.0","0.0","307944.0","667516.0","0.0","0.0","31277.0","71556.0","0.0","0.0"
"Marshall County","47051","Indiana","670.0","17406","745.0","1060.0","29.0","0.0","8925.0","11224.0","601.0","0.0","9413.0","13541.0","730.0","0.0","33110.0","41693.0","2219.0","0.0","4688.0","5990.0","273.0","0.0"
"Martin County","10334","Indiana","93.0","4216","39.0","89.0","0.0","0.0","1585.0","2085.0","49.0","0.0","1938.0","2611.0","95.0","0.0","6472.0","8693.0","194.0","0.0","930.0","1348.0","22.0","0.0"
"Miami County","36903","Indiana","3416.0","13456","247.0","417.0","1.0","0.0","5664.0","7050.0","46.0","0.0","9409.0","11794.0","60.0","0.0","25698.0","31655.0","223.0","0.0","3358.0","4481.0","38.0","0.0"
"Monroe County","137974","Indiana","14976.0","54864","682.0","2574.0","0.0","0.0","11487.0","19075.0","50.0","0.0","15283.0","40819.0","55.0","0.0","55394.0","108551.0","200.0","0.0","6279.0","11090.0","34.0","0.0"
"Montgomery County","38124","Indiana","1171.0","14979","228.0","396.0","21.0","0.0","5487.0","7260.0","689.0","0.0","6207.0","9014.0","905.0","0.0","22202.0","29630.0","2770.0","0.0","3389.0","4578.0","438.0","0.0"
"Morgan County","68894","Indiana","592.0","25765","401.0","647.0","0.0","0.0","12087.0","14498.0","4.0","0.0","10417.0","13331.0","6.0","0.0","48509.0","58165.0","28.0","0.0","6039.0","7525.0","4.0","0.0"
"Newton County","14244","Indiana","170.0","5503","182.0","192.0","33.0","0.0","2626.0","2881.0","455.0","0.0","4029.0","4429.0","769.0","0.0","11475.0","12580.0","2076.0","0.0","1902.0","2074.0","363.0","0.0"
"Noble County","47536","Indiana","831.0","17355","556.0","688.0","0.0","0.0","8200.0","10594.0","0.0","0.0","8405.0","11527.0","0.0","0.0","31039.0","39819.0","0.0","0.0","3870.0","4951.0","0.0","0.0"
"Ohio County","6128","Indiana","52.0","2477","35.0","77.0","0.0","0.0","840.0","1121.0","0.0","0.0","570.0","899.0","0.0","0.0","3846.0","5197.0","0.0","0.0","599.0","861.0","0.0","0.0"
"Orange County","19840","Indiana","258.0","7872","341.0","476.0","1.0","0.0","3232.0","4061.0","10.0","0.0","5019.0","6565.0","14.0","0.0","12851.0","16379.0","41.0","0.0","1837.0","2580.0","1.0","0.0"
"Owen County","21575","Indiana","197.0","8486","216.0","265.0","4.0","0.0","4201.0","4439.0","26.0","0.0","6491.0","6963.0","57.0","0.0","17924.0","19115.0","152.0","0.0","2503.0","2789.0","17.0","0.0"
"Parke County","17339","Indiana","1741.0","6222","354.0","406.0","28.0","0.0","3382.0","3624.0","241.0","0.0","5037.0","5786.0","321.0","0.0","14264.0","16734.0","1234.0","0.0","2295.0","2545.0","241.0","0.0"
"Perry County","19338","Indiana","1532.0","7476","151.0","238.0","41.0","0.0","2490.0","3507.0","755.0","0.0","3156.0","4835.0","1009.0","0.0","11784.0","16214.0","4375.0","0.0","1447.0","2209.0","394.0","0.0"
"Pike County","12845","Indiana","213.0","5186","169.0","186.0","1.0","0.0","2568.0","2822.0","70.0","0.0","3232.0","3601.0","109.0","0.0","11116.0","12385.0","334.0","0.0","1780.0","2027.0","53.0","0.0"
"Porter County","164343","Indiana","3405.0","61998","716.0","1469.0","0.0","0.0","24217.0","34265.0","0.0","0.0","17912.0","28718.0","0.0","0.0","97525.0","137667.0","0.0","0.0","11786.0","16845.0","0.0","0.0"
"Posey County","25910","Indiana","242.0","10171","207.0","299.0","63.0","0.0","4778.0","5610.0","910.0","0.0","4016.0","5254.0","1080.0","0.0","20312.0","23495.0","4113.0","0.0","2836.0","3259.0","675.0","0.0"
"Pulaski County","13402","Indiana","193.0","5282","96.0","122.0","1.0","0.0","2355.0","2717.0","47.0","0.0","3659.0","4299.0","83.0","0.0","9769.0","11418.0","206.0","0.0","1544.0","1852.0","34.0","0.0"
"Putnam County","37963","Indiana","5424.0","12917","220.0","439.0","24.0","0.0","5973.0","7172.0","234.0","0.0","7388.0","9947.0","442.0","0.0","27471.0","34487.0","972.0","0.0","3558.0","4461.0","145.0","0.0"
"Randolph County","26171","Indiana","329.0","10451","233.0","393.0","10.0","0.0","4917.0","6160.0","199.0","0.0","7099.0","9313.0","250.0","0.0","20428.0","24987.0","747.0","0.0","3401.0","4094.0","90.0","0.0"
"Ripley County","28818","Indiana","449.0","10789","268.0","415.0","0.0","0.0","4681.0","5959.0","34.0","0.0","4733.0","6329.0","46.0","0.0","18174.0","22994.0","136.0","0.0","2516.0","3320.0","27.0","0.0"
"Rush County","17392","Indiana","178.0","6767","139.0","282.0","18.0","0.0","2732.0","3916.0","456.0","0.0","3620.0","5329.0","624.0","0.0","10804.0","15544.0","1736.0","0.0","1608.0","2308.0","238.0","0.0"
"Scott County","24181","Indiana","312.0","9397","304.0","412.0","0.0","0.0","4294.0","4911.0","0.0","0.0","6685.0","7488.0","0.0","0.0","17701.0","20192.0","0.0","0.0","2265.0","2608.0","0.0","0.0"
"Shelby County","44436","Indiana","683.0","17302","216.0","480.0","24.0","0.0","6995.0","8964.0","364.0","0.0","6891.0","9571.0","337.0","0.0","29769.0","37452.0","1453.0","0.0","4399.0","5422.0","254.0","0.0"
"Spencer County","20952","Indiana","368.0","8082","158.0","234.0","0.0","0.0","3843.0","4493.0","6.0","0.0","3665.0","4455.0","2.0","0.0","16158.0","18709.0","28.0","0.0","2356.0","2767.0","4.0","0.0"
