Location Code,Region Code,Bldg Address1,Bldg Address2,Bldg City,Bldg County,Bldg State,Bldg Zip,Congressional District,Bldg Status,Property Type,Bldg ANSI Usable,Total Parking Spaces,Owned/Leased,Construction Date,Historical Type,Historical Status,ABA Accessibility Flag 
MD1392,11,11400 ROCKVILLE PIKE, ,ROCKVILLE,MONTGOMERY COUNTY,MD,208523004,8,ACTIVE,BUILDING,16216,2,LEASED,1.Jan.72,Field Not In Use,Not Evaluated,Will Conform
MD1428,11,12420 PARKLAWN DR, ,ROCKVILLE,MONTGOMERY COUNTY,MD,208521740,8,ACTIVE,BUILDING,78378,19,LEASED,1.Jan.74,Field Not In Use,Not Evaluated,Will Conform
MD1545,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1547,11,6500 BROOKS LANE, ,BROOKMONT,MONTGOMERY COUNTY,MD,203150000,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1559,11,1053 RIVERVIEW DRIVE, ,SILESIA,PRINCE GEORGE'S COUNTY,MD,200220000,98,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1585,11,ROUTE 1, ,BELTSVILLE,PRINCE GEORGE'S COUNTY,MD,567639998,5,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1586,11,W SIDE RT 1 AG FARM, ,BELTSVILLE,PRINCE GEORGE'S COUNTY,MD,567639998,5,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1587,11,QUINCE ORCHARD RD, ,GAITHERSBURG,MONTGOMERY COUNTY,MD,208781498,6,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1610,11,LAUREL MD, ,LAUREL,PRINCE GEORGE'S COUNTY,MD,207231562,8,ACTIVE,LAND,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1714,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1715,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1716,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1717,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1718,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1719,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1721,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1722,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1723,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1726,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1728,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1729,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1730,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1731,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1732,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1734,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1801,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1802,11,9000 ROCKVILLE PK, ,BETHESDA,MONTGOMERY COUNTY,MD,208920002,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1805,11,New Hampshire Ave, ,SILVER SPRING,MONTGOMERY COUNTY,MD,209049998,8,ACTIVE,BUILDING,64,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MD1806,11,1211 PORT ECHO LN, ,BOWIE,PRINCE GEORGE'S COUNTY,MD,207161843,5,ACTIVE,STRUCTURE,64,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD1807,11,8831 SPRINGFIELD RD, ,LAUREL,PRINCE GEORGE'S COUNTY,MD,207089757,5,ACTIVE,BUILDING,64,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD1808,11,9800 MEDICAL CENTER DR, ,ROCKVILLE,MONTGOMERY COUNTY,MD,208506386,6,ACTIVE,BUILDING,98350,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD1810,11,6555 Rock Spring Dr, ,BETHESDA,MONTGOMERY COUNTY,MD,208172849,8,ACTIVE,BUILDING,80950,7,LEASED,1.Apr.12,Field Not In Use,Not Evaluated,Will Conform
MD1811,11,2115 E Jefferson St, ,ROCKVILLE,MONTGOMERY COUNTY,MD,208524902,8,ACTIVE,BUILDING,0,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD1813,11,10903 NEW HAMPSHIRE AVE, ,SILVER SPRING,MONTGOMERY COUNTY,MD,209031046,8,ACTIVE,STRUCTURE,0,1234,OWNED,1.May.08,Field Not In Use,Non-Contributing Element,Will Conform
MD1815,11,10903 NEW HAMPSHIRE AVE. BLDG 100, ,SILVER SPRING,MONTGOMERY COUNTY,MD,209930000,3,ACTIVE,STRUCTURE,0,1150,OWNED,1.May.09,Field Not In Use,Non-Contributing Element,Will Conform
MD1818,11,1575 CABIN BRANCH DRIVE, ,LANDOVER,PRINCE GEORGE'S COUNTY,MD,207213816,4,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
MD1819,11,12101 Indian Creek Ct, ,BELTSVILLE,PRINCE GEORGE'S COUNTY,MD,207051240,5,ACTIVE,BUILDING,23813,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD1821,11,6511 AMERICA BLVD, ,HYATTSVILLE,PRINCE GEORGE'S COUNTY,MD,207822079,4,ACTIVE,BUILDING,50955,2,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD1822,11,4600 SILVER HILL ROAD, ,SUITLAND,PRINCE GEORGE'S COUNTY,MD,207462402,4,ACTIVE,BUILDING,524310,2238,OWNED,15.Dec.07,Field Not In Use,Not Evaluated,Will Conform
MD1823,11,20030 Century Blvd, ,GERMANTOWN,MONTGOMERY COUNTY,MD,208741111,6,ACTIVE,BUILDING,0,0,LEASED,6.Aug.74,Field Not In Use,Not Evaluated,Yes
MD1825,11,30 W Gude Dr, ,ROCKVILLE,MONTGOMERY COUNTY,MD,208501175,8,ACTIVE,BUILDING,9228,29,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD1832,11,10903 New Hampshire Ave, ,SILVER SPRING,MONTGOMERY COUNTY,MD,209930002,8,ACTIVE,BUILDING,0,0,OWNED,1.May.09,Field Not In Use,Not Evaluated,Will Conform
MD1833,11,10903 New Hampshire Ave, ,SILVER SPRING,MONTGOMERY COUNTY,MD,209930002,8,ACTIVE,BUILDING,0,0,OWNED,1.May.09,Field Not In Use,Not Evaluated,Will Conform
MD1835,11,7833 Walker Dr, ,GREENBELT,PRINCE GEORGE'S COUNTY,MD,207703211,5,ACTIVE,BUILDING,8223,23,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD1838,11,4401 Suitland Rd, ,SUITLAND,PRINCE GEORGE'S COUNTY,MD,20746,4,ACTIVE,BUILDING,0,0,OWNED,28.Feb.00,Field Not In Use,Not Evaluated,Yes
MD1840,11,2313 Knotweed Ct, ,BRANDYWINE,PRINCE GEORGE'S COUNTY,MD,206034946,5,ACTIVE,BUILDING,28,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD1843,11,6011 Executive Blvd, ,ROCKVILLE,MONTGOMERY COUNTY,MD,208523804,8,ACTIVE,BUILDING,0,0,LEASED,1.Oct.08,Field Not In Use,Not Evaluated,Yes
MD1844,11,5825 University Research Ct, ,RIVERDALE,PRINCE GEORGE'S COUNTY,MD,207403823,5,ACTIVE,BUILDING,4868,16,LEASED,1.Nov.10,Field Not In Use,Not Evaluated,No
MD1848,11,5 RESEARCH PL, ,ROCKVILLE,MONTGOMERY COUNTY,MD,208503213,8,ACTIVE,BUILDING,61448,12,LEASED,10.Jan.72,Field Not In Use,Not Evaluated,Yes
MD1850,11,SUITLAND ROAD & SILVER HILL ROAD, ,SUITLAND,PRINCE GEORGE'S COUNTY,MD,207460000,4,ACTIVE,STRUCTURE,0,0,OWNED,10.Sep.65,Field Not In Use,Not Evaluated,Will Conform
MD1851,11,10903 New Hampshire Ave, ,SILVER SPRING,MONTGOMERY COUNTY,MD,209930002,8,ACTIVE,BUILDING,55374,0,OWNED,1.Aug.10,Field Not In Use,Non-Contributing Element,Will Conform
MD1853,11,3300 75th Ave, ,HYATTSVILLE,PRINCE GEORGE'S COUNTY,MD,20785,4,ACTIVE,BUILDING,252687,445,LEASED,1.Jun.80,Field Not In Use,Not Evaluated,Yes
MD1855,11,11601 Landsdown St, ,ROCKVILLE,MONTGOMERY COUNTY,MD,208521823,8,ACTIVE,BUILDING,321976,656,LEASED,14.Sep.09,Field Not In Use,Not Evaluated,Yes
MD1856,11,6500 Sheriff Rd, ,LANDOVER,PRINCE GEORGE'S COUNTY,MD,207854392,4,ACTIVE,BUILDING,75004,20,LEASED,3.Mar.60,Field Not In Use,Not Evaluated,Yes
MD1857,11,10001 NEW HAMPSHIRE AVE, ,SILVER SPRING,MONTGOMERY COUNTY,MD,209031702,3,ACTIVE,BUILDING,46150,4,LEASED,1.Nov.10,Field Not In Use,Not Evaluated,Yes
MD1858,11,9609 Medical Center Dr, ,ROCKVILLE,MONTGOMERY COUNTY,MD,208502960,6,ACTIVE,BUILDING,508063,5,LEASED,1.Jan.10,Field Not In Use,Not Evaluated,Yes
MD1859,11,9150 HAMPTON OVERLOOK, ,CAPITOL HEIGHTS,PRINCE GEORGE'S COUNTY,MD,207433835,4,ACTIVE,BUILDING,18306,0,LEASED,26.May.10,Field Not In Use,Not Evaluated,Yes
MD1860,11,6707 DEMOCRACY BLVD, ,BETHESDA,MONTGOMERY COUNTY,MD,208171129,8,ACTIVE,BUILDING,192276,3,LEASED,15.Jul.90,Field Not In Use,Not Evaluated,Yes
MD1861,11,7501 WISCONSIN AVE, ,BETHESDA,MONTGOMERY COUNTY,MD,208146519,8,ACTIVE,BUILDING,39696,2,LEASED,15.Jun.01,Field Not In Use,Not Evaluated,Yes
MD1862,11,6301 Ivy Ln, ,GREENBELT,PRINCE GEORGE'S COUNTY,MD,207701465,5,ACTIVE,BUILDING,5083,0,LEASED,1.Jun.79,Field Not In Use,Not Evaluated,Yes
MD1863,11,7700 Wisconsin Ave, ,BETHESDA,MONTGOMERY COUNTY,MD,208143578,8,ACTIVE,BUILDING,72148,2,LEASED,1.Aug.90,Field Not In Use,Not Evaluated,Will Conform
MD1864,11,1220 Caraway Ct, ,LARGO,PRINCE GEORGE'S COUNTY,MD,207745388,4,ACTIVE,BUILDING,39579,144,LEASED,1.Jan.87,Field Not In Use,Not Evaluated,Yes
MD1865,11,12501 Ardennes Ave, ,ROCKVILLE,MONTGOMERY COUNTY,MD,208521741,8,ACTIVE,BUILDING,60816,5,LEASED,1.Dec.09,Field Not In Use,Not Evaluated,Yes
MD1866,11,4930 BOILING BROOK PKY, ,ROCKVILLE,MONTGOMERY COUNTY,MD,208522306,8,ACTIVE,BUILDING,46372,10,LEASED,23.Jun.71,Field Not In Use,Not Evaluated,Yes
MD1868,11,10903 New Hampshire Ave, ,SILVER SPRING,MONTGOMERY COUNTY,MD,209930002,8,ACTIVE,BUILDING,208510,0,OWNED,1.Apr.14,Field Not In Use,Non-Contributing Element,Will Conform
MD1869,11,5601 FISHERS LN, ,ROCKVILLE,MONTGOMERY COUNTY,MD,208521700,8,ACTIVE,BUILDING,434276,7,LEASED,0,Field Not In Use,Not Evaluated,Yes
MD1870,11,10903 NEW HAMPSHIRE AVE,Bldg 45,SILVER SPRING,MONTGOMERY COUNTY,MD,209031058,8,ACTIVE,BUILDING,0,0,OWNED,1.Jul.11,Field Not In Use,Not Evaluated,No
MD1872,11,4700 RIVER RD, ,RIVERDALE,PRINCE GEORGE'S COUNTY,MD,207371228,5,ACTIVE,BUILDING,304256,865,OWNED,25.Jul.94,Field Not In Use,Not Evaluated,Will Conform
MD1873,11,6701 DEMOCRACY BLVD, ,BETHESDA,MONTGOMERY COUNTY,MD,208171555,8,ACTIVE,BUILDING,107436,2,LEASED,0,Field Not In Use,Not Evaluated,No
MD1874,11,10903 New Hampshire Ave, ,SILVER SPRING,MONTGOMERY COUNTY,MD,209930002,8,ACTIVE,LAND,0,0,OWNED,0,Field Not In Use,Not Evaluated,No
MD1876,11,6710 ROCKLEDGE DR, ,BETHESDA,MONTGOMERY COUNTY,MD,208171827,8,ACTIVE,BUILDING,77853,5,LEASED,0,Field Not In Use,Not Evaluated,No
MD1877,11,10903 NEW HAMPSHIRE AVE, ,SILVER SPRING,MONTGOMERY COUNTY,MD,209031046,8,ACTIVE,BUILDING,0,0,OWNED,30.Jan.14,Field Not In Use,Not Evaluated,No
MD1878,11,10903 New Hampshire Ave, ,SILVER SPRING,MONTGOMERY COUNTY,MD,20903,8,ACTIVE,BUILDING,1788,4,OWNED,27.Mar.16,Field Not In Use,Not Evaluated,No
MD1879,11,6705 Rockledge Dr, ,BETHESDA,MONTGOMERY COUNTY,MD,208171816,8,ACTIVE,BUILDING,223294,5,LEASED,0,Field Not In Use,Evaluated - Not Historic,Will Conform
MD1880,11,7500 LINDBERGH DR, ,GAITHERSBURG,MONTGOMERY COUNTY,MD,208795413,6,ACTIVE,BUILDING,24678,4,LEASED,16.Jul.12,Field Not In Use,Not Evaluated,Yes
MD1881,11,Capital Gateway Dr, ,SUITLAND,PRINCE GEORGE'S COUNTY,MD,207465237,4,ACTIVE,BUILDING,521484,1783,LEASED,1.Jul.20,Field Not In Use,Evaluated - Not Historic,Yes
MD1882,11,Suitland Federal Center, ,SUITLAND,PRINCE GEORGE'S COUNTY,MD,207462402,4,ACTIVE,STRUCTURE,0,805,OWNED,1.Apr.20,Field Not In Use,Not Evaluated,No
MD1883,11,1029 E Gude Dr, ,ROCKVILLE,MONTGOMERY COUNTY,MD,20850,8,ACTIVE,BUILDING,9000,1,LEASED,0,Field Not In Use,Not Evaluated,No
MD1884,11,800 E Gude Dr, ,ROCKVILLE,MONTGOMERY COUNTY,MD,208508308,6,ACTIVE,BUILDING,0,0,LEASED,0,Field Not In Use,Not Evaluated,No
MD1885,11,6101 Executive Blvd, ,ROCKVILLE,MONTGOMERY COUNTY,MD,208523900,8,ACTIVE,BUILDING,18048,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MD1886,11,12410 Milestone Center Dr, ,GERMANTOWN,MONTGOMERY COUNTY,MD,208767101,6,ACTIVE,BUILDING,10,0,LEASED,0,Field Not In Use,Evaluated - Not Historic,No
MD1888,11,7077 Woodmont Ave, ,CHEVY CHASE,MONTGOMERY COUNTY,MD,208156293,8,ACTIVE,BUILDING,652,2,LEASED,0,Field Not In Use,Not Evaluated,Yes
MD1896,11,9615 Medical Center Dr, ,ROCKVILLE,MONTGOMERY COUNTY,MD,208503300,6,ACTIVE,BUILDING,60711,0,LEASED,0,Field Not In Use,Evaluated - Not Historic,Will Conform
MD1901,11,11785 Beltsville Dr, ,BELTSVILLE,PRINCE GEORGE'S COUNTY,MD,207053119,4,ACTIVE,BUILDING,85409,10,LEASED,0,Field Not In Use,Not Evaluated,No
MD1903,11,19901 Germantown Rd, ,GERMANTOWN,MONTGOMERY COUNTY,MD,208741299,6,ACTIVE,LAND,0,0,OWNED,0,Field Not In Use,National Register Listed,No
VA0006,11,2450 Crystal Dr, ,ARLINGTON,ARLINGTON COUNTY,VA,222023553,8,ACTIVE,BUILDING,44449,36,LEASED,15.Jan.73,Field Not In Use,Not Evaluated,Yes
VA0007,11,9325 DISCOVERY BLVD, ,MANASSAS,PRINCE WILLIAM COUNTY,VA,201093992,1,ACTIVE,BUILDING,194251,620,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0008,11,7980 Science Applications Ct, ,VIENNA,FAIRFAX COUNTY,VA,221824015,11,ACTIVE,BUILDING,68811,198,LEASED,1.Mar.78,Field Not In Use,Not Evaluated,Yes
VA0014,11,8430 TERMINAL RD, ,LORTON,FAIRFAX COUNTY,VA,220791424,8,ACTIVE,BUILDING,67961,20,LEASED,1.Jul.09,Field Not In Use,Not Evaluated,Yes
VA0015,11,8209 Terminal Rd, ,LORTON,FAIRFAX COUNTY,VA,220791433,8,ACTIVE,BUILDING,14442,39,LEASED,15.Nov.05,Field Not In Use,Not Evaluated,Yes
VA0026,11,2121 CRYSTAL DR, ,ARLINGTON,ARLINGTON COUNTY,VA,222023706,8,ACTIVE,BUILDING,38661,16,LEASED,1.Mar.86,Field Not In Use,Not Evaluated,Yes
VA0027,11,2345 CRYSTAL DR, ,ARLINGTON,ARLINGTON COUNTY,VA,222024801,8,ACTIVE,BUILDING,69080,0,LEASED,1.Jan.88,Field Not In Use,Not Evaluated,Will Conform
VA0028,11,1310 N COURTHOUSE RD, ,ARLINGTON,ARLINGTON COUNTY,VA,222012508,8,ACTIVE,BUILDING,59772,6,LEASED,23.Dec.08,Field Not In Use,Not Evaluated,Will Conform
VA0033,11,2800 S RANDOLPH ST, ,ARLINGTON,ARLINGTON COUNTY,VA,222062370,8,ACTIVE,BUILDING,160029,3,LEASED,12.Feb.08,Field Not In Use,Not Evaluated,Will Conform
VA0037,11,5301 Shawnee Rd, ,ALEXANDRIA,ALEXANDRIA CITY,VA,223122312,8,ACTIVE,BUILDING,30797,8,LEASED,1.Sep.88,Field Not In Use,Not Evaluated,Yes
VA0038,11,14501 GEORGE CARTER WAY, ,CHANTILLY,FAIRFAX COUNTY,VA,201511770,10,ACTIVE,BUILDING,47831,240,LEASED,1.Aug.08,Field Not In Use,Not Evaluated,Will Conform
VA0040,11,2331 MILL RD, ,ALEXANDRIA,ALEXANDRIA CITY,VA,223144677,8,ACTIVE,BUILDING,14968,25,LEASED,1.Nov.08,Field Not In Use,Not Evaluated,Yes
VA0042,11,675 N Randolph St, ,ARLINGTON,ARLINGTON COUNTY,VA,222031823,8,ACTIVE,BUILDING,302855,515,LEASED,1.Jan.11,Field Not In Use,Not Evaluated,Yes
VA0046,11,2900 Crystal Dr, ,ARLINGTON,ARLINGTON COUNTY,VA,222023556,8,ACTIVE,BUILDING,39956,0,LEASED,1.Sep.90,Field Not In Use,Not Evaluated,Yes
VA0055,11,44132 MERCURE CIR, ,STERLING,LOUDOUN COUNTY,VA,201662000,10,ACTIVE,BUILDING,72699,86,OWNED,29.Dec.11,Field Not In Use,Not Evaluated,No
VA0056,11,3320 NOBLE POND WAY,PWC Building #11,WOODBRIDGE,PRINCE WILLIAM COUNTY,VA,221931468,11,ACTIVE,BUILDING,10673,4,LEASED,0,Field Not In Use,Not Evaluated,Yes
VA0057,11,14797 Murdock St, ,CHANTILLY,FAIRFAX COUNTY,VA,201511041,10,ACTIVE,BUILDING,0,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
VA0058,11,18300 Quantico Gateway Drive, ,DUMFRIES,PRINCE WILLIAM COUNTY,VA,22172,11,ACTIVE,BUILDING,14905,32,LEASED,0,Field Not In Use,Not Evaluated,Yes
VA0059,11,8111 GATEHOUSE RD, ,FALLS CHURCH,INDEPENDENT CITY,VA,220421213,11,ACTIVE,BUILDING,57652,0,LEASED,1.May.80,Field Not In Use,Not Evaluated,Will Conform
VA0060,11,Fourth Street South & South Washington Blvd, ,ARLINGTON,ARLINGTON COUNTY,VA,22204,8,ACTIVE,LAND,0,0,OWNED,0,Field Not In Use,Not Evaluated,No
VA0061,11,1725 Duke St, ,ALEXANDRIA,ALEXANDRIA CITY,VA,223143425,8,ACTIVE,BUILDING,5366,3,LEASED,0,Field Not In Use,Evaluated - Not Historic,Yes
VA0064,11,23289 AUTOPILOT DR,DULLES INTERNATIONAL AIRPORT,STERLING,LOUDOUN COUNTY,VA,201667727,10,ACTIVE,BUILDING,8985,30,LEASED,15.Oct.98,Field Not In Use,Not Evaluated,Will Conform
VA0066,11,14360 Newbrook Dr, ,CHANTILLY,FAIRFAX COUNTY,VA,201513801,10,ACTIVE,BUILDING,81588,144,LEASED,1.Jul.07,Field Not In Use,Not Evaluated,Yes
VA0068,11,15015 Farm Creek Dr, ,WOODBRIDGE,PRINCE WILLIAM COUNTY,VA,221913553,11,ACTIVE,BUILDING,83333,250,LEASED,1.Jun.87,Field Not In Use,Not Evaluated,Yes
VA0070,11,15020 CONFERENCE CENTER DR, ,CHANTILLY,FAIRFAX COUNTY,VA,201513801,10,ACTIVE,BUILDING,156276,158,LEASED,1.Jul.07,Field Not In Use,Not Evaluated,Yes
VA0071,11,7700 Arlington Blvd, ,FALLS CHURCH,INDEPENDENT CITY,VA,220422900,8,ACTIVE,BUILDING,661801,2040,LEASED,1.May.54,Field Not In Use,Not Evaluated,Will Conform
VA0072,11,13958 PARK CENTER RD, ,HERNDON,FAIRFAX COUNTY,VA,201713222,10,ACTIVE,BUILDING,39967,20,LEASED,1.Oct.77,Field Not In Use,Not Evaluated,Yes
VA0073,11,12638 DARBY BROOK CT, ,WOODBRIDGE,PRINCE WILLIAM COUNTY,VA,221922457,11,ACTIVE,BUILDING,3106,4,LEASED,1.Jun.90,Field Not In Use,Not Evaluated,Yes
VA0075,11,13990 PARKEAST CIR, ,CHANTILLY,FAIRFAX COUNTY,VA,201512272,10,ACTIVE,BUILDING,0,0,LEASED,16.May.98,Field Not In Use,Not Evaluated,Yes
VA0076,11,5971 Kingstowne Village Pkwy, ,ALEXANDRIA,ALEXANDRIA CITY,VA,223155891,8,ACTIVE,BUILDING,0,0,LEASED,1.May.01,Field Not In Use,Not Evaluated,Yes
VA0077,11,1165 Herndon Pkwy, ,HERNDON,FAIRFAX COUNTY,VA,201705534,11,ACTIVE,BUILDING,23826,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
VA0081,11,10021 Balls Ford Rd, ,MANASSAS,PRINCE WILLIAM COUNTY,VA,201092666,1,ACTIVE,BUILDING,8500,30,LEASED,0,Field Not In Use,Evaluated - Not Historic,Yes
VA0082,11,22330 GLENN DR, ,STERLING,LOUDOUN COUNTY,VA,201647109,10,ACTIVE,BUILDING,149587,1056,LEASED,31.May.16,Field Not In Use,Evaluated - Not Historic,Yes
VA0083,11,2627 Oakton Glen Dr, ,VIENNA,FAIRFAX COUNTY,VA,221815344,11,ACTIVE,BUILDING,0,0,LEASED,0,Field Not In Use,Not Evaluated,No
VA0085,11,6801 Telegraph Rd, ,ALEXANDRIA,FAIRFAX COUNTY,VA,223103398,8,ACTIVE,BUILDING,71736,351,OWNED,1.Jan.58,Field Not In Use,Not Evaluated,Will Conform
VA0089,11,MCLEAN VA, ,MCLEAN,FAIRFAX COUNTY,VA,221019998,8,ACTIVE,BUILDING,0,0,OWNED,1.Jan.63,Field Not In Use,Not Evaluated,Will Conform
VA0091,11,525 Montgomery St, ,ALEXANDRIA,ALEXANDRIA CITY,VA,223141519,8,ACTIVE,BUILDING,0,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
VA0096,11,HEADQUARTERS COMPLEX, ,MCLEAN,FAIRFAX COUNTY,VA,221019998,8,ACTIVE,BUILDING,0,0,OWNED,1.Jan.67,Field Not In Use,Not Evaluated,Will Conform
VA0097,11,22001 Loudoun County Pkwy,Building E-1 & E-2,ASHBURN,LOUDOUN COUNTY,VA,20147,10,ACTIVE,BUILDING,47425,43,LEASED,0,Field Not In Use,Not Evaluated,Yes
VA0098,11,22001 Loudoun County Pkwy,"#105,#110,#115",ASHBURN,LOUDOUN COUNTY,VA,20147,10,ACTIVE,BUILDING,393407,791,LEASED,0,Field Not In Use,Not Evaluated,Yes
VA0100,11,MCLEAN HDQTRS, ,MCLEAN,FAIRFAX COUNTY,VA,221019998,10,ACTIVE,STRUCTURE,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
VA0108,11,1101 Wilson Blvd, ,ARLINGTON,ARLINGTON COUNTY,VA,222092203,8,ACTIVE,BUILDING,12933,6,LEASED,1.Jan.71,Field Not In Use,Not Evaluated,Will Conform
VA0112,11,7943 Cluny Ct, ,SPRINGFIELD,FAIRFAX COUNTY,VA,221532810,8,ACTIVE,BUILDING,117307,287,LEASED,1.Jan.74,Field Not In Use,Not Evaluated,Will Conform
VA0113,11,22153-2810 Cluny Ct, ,SPRINGFIELD,FAIRFAX COUNTY,VA,221532810,8,ACTIVE,BUILDING,52984,150,LEASED,1.Jul.95,Field Not In Use,Not Evaluated,Yes
VA0127,11,7351 LOCKPORT PL,SUITE I - M,LORTON,FAIRFAX COUNTY,VA,220791522,8,ACTIVE,BUILDING,25185,20,LEASED,0,Field Not In Use,Not Evaluated,Yes
VA0132,11,ARL NAT CEMETARY, ,ARLINGTON,ARLINGTON COUNTY,VA,222110000,8,ACTIVE,STRUCTURE,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
VA0136,11,MCLEAN HDQTRS, ,MCLEAN,FAIRFAX COUNTY,VA,221019998,8,ACTIVE,STRUCTURE,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
VA0137,11,WASHINGTON NAT.AIRPORT, ,ALEXANDRIA,ALEXANDRIA CITY,VA,200010000,8,ACTIVE,BUILDING,0,0,OWNED,0,Field Not In Use,Not Evaluated,Will Conform
VA0139,11,4000 Arlington Blvd, ,ARLINGTON,ARLINGTON COUNTY,VA,222041586,8,ACTIVE,BUILDING,2280,0,OWNED,1.Jan.93,Field Not In Use,Non-Contributing Element,No
VA0141,11,4000 Arlington Blvd, ,ARLINGTON,ARLINGTON COUNTY,VA,222041586,8,ACTIVE,BUILDING,20202,0,OWNED,1.Jan.93,Field Not In Use,Non-Contributing Element,No
